Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
"Education and Childcare Administrators, Preschool and Daycare (11-9031)","1,380",8.6,$25.35 ,"$52,720 ",3.3,$17.46 ,$20.00 ,$23.66 ,$27.70 ,$33.41 ,"$36,320 ","$41,600 ","$49,220 ","$57,610 ","$69,490 ",0.433,0.93
"Education Administrators, Kindergarten through Secondary (11-9032)","5,360",2.3,(4) -,"$93,280 ",1.2,(4) -,(4) -,(4) -,(4) -,(4) -,"$61,550 ","$78,390 ","$90,490 ","$105,240 ","$125,100 ",1.677,0.81
"Education Administrators, Postsecondary (11-9033)","5,550",2.3,$58.47 ,"$121,610 ",1,$30.75 ,$38.40 ,$49.08 ,$67.23 ,$102.77 ,"$63,960 ","$79,870 ","$102,080 ","$139,840 ","$213,770 ",1.735,1.52
"Education Administrators, All Other (11-9039)",440,17.2,$46.34 ,"$96,390 ",2.8,$29.16 ,$38.03 ,$45.41 ,$51.50 ,$65.79 ,"$60,640 ","$79,100 ","$94,450 ","$107,120 ","$136,840 ",0.137,0.4
Architectural and Engineering Managers (11-9041),"4,720",8.6,$94.92 ,"$197,440 ",6.9,$58.41 ,$68.79 ,$83.02 ,$108.27 ,(5) -,"$121,490 ","$143,080 ","$172,680 ","$225,210 ",(5) -,1.478,1.08
Food Service Managers (11-9051),"5,010",12.4,$32.69 ,"$68,000 ",3.8,$22.41 ,$24.73 ,$30.44 ,$36.83 ,$48.70 ,"$46,620 ","$51,440 ","$63,310 ","$76,600 ","$101,290 ",1.567,0.99
Gambling Managers (11-9071),200,2.2,$45.30 ,"$94,230 ",1.6,$23.19 ,$25.00 ,$38.68 ,$50.79 ,$86.92 ,"$48,240 ","$52,010 ","$80,460 ","$105,650 ","$180,790 ",0.061,2.05
"Entertainment and Recreation Managers, Except Gambling (11-9072)",880,10.7,$35.95 ,"$74,770 ",3.6,$19.78 ,$20.34 ,$29.36 ,$45.11 ,$61.53 ,"$41,150 ","$42,310 ","$61,080 ","$93,840 ","$127,970 ",0.274,1.15
Lodging Managers (11-9081),790,12.8,$36.98 ,"$76,920 ",4.3,$20.92 ,$27.49 ,$36.05 ,$43.95 ,$56.22 ,"$43,510 ","$57,170 ","$74,990 ","$91,410 ","$116,940 ",0.246,0.92
Medical and Health Services Managers (11-9111),"11,410",3.1,$67.64 ,"$140,700 ",1.8,$32.95 ,$44.56 ,$59.01 ,$79.29 ,$114.27 ,"$68,530 ","$92,670 ","$122,740 ","$164,930 ","$237,690 ",3.569,0.97
Natural Sciences Managers (11-9121),770,10.7,$65.65 ,"$136,550 ",3.3,$37.58 ,$48.72 ,$60.73 ,$77.09 ,$101.59 ,"$78,170 ","$101,330 ","$126,320 ","$160,340 ","$211,310 ",0.241,0.37
Postmasters and Mail Superintendents (11-9131),160,0,$46.11 ,"$95,920 ",0,$36.03 ,$41.25 ,$45.39 ,$48.68 ,$55.65 ,"$74,940 ","$85,800 ","$94,410 ","$101,250 ","$115,750 ",0.049,0.55
"Property, Real Estate, and Community Association Managers (11-9141)","8,610",11.1,$37.05 ,"$77,060 ",5.8,$20.78 ,$23.43 ,$30.02 ,$37.84 ,$59.61 ,"$43,220 ","$48,740 ","$62,440 ","$78,720 ","$123,990 ",2.694,1.4
Social and Community Service Managers (11-9151),"2,870",3.8,$37.75 ,"$78,510 ",1.4,$22.63 ,$28.92 ,$36.09 ,$44.46 ,$57.19 ,"$47,080 ","$60,150 ","$75,070 ","$92,470 ","$118,950 ",0.898,0.71
Emergency Management Directors (11-9161),150,2.7,$42.82 ,"$89,070 ",1.1,$27.14 ,$30.89 ,$38.34 ,$49.61 ,$61.77 ,"$56,450 ","$64,240 ","$79,740 ","$103,200 ","$128,490 ",0.046,0.57
Funeral Home Managers (11-9171),240,16.9,$38.36 ,"$79,780 ",7.9,$23.28 ,$24.64 ,$25.07 ,$45.53 ,$80.96 ,"$48,420 ","$51,240 ","$52,150 ","$94,710 ","$168,400 ",0.075,0.89
"Personal Service Managers, All Other (11-9179)",(8) -,(8) -,$38.39 ,"$79,850 ",4.3,$27.44 ,$28.99 ,$34.32 ,$41.69 ,$57.07 ,"$57,080 ","$60,300 ","$71,390 ","$86,710 ","$118,710 ",(8) -,(8) -
"Managers, All Other (11-9199)","9,280",3.5,$69.47 ,"$144,490 ",1.4,$40.44 ,$50.52 ,$63.48 ,$81.14 ,$103.10 ,"$84,120 ","$105,080 ","$132,040 ","$168,760 ","$214,450 ",2.903,0.71
Business and Financial Operations Occupations (13-0000),"223,150",1.5,$41.16 ,"$85,600 ",1.9,$22.04 ,$27.97 ,$36.67 ,$48.63 ,$64.08 ,"$45,840 ","$58,170 ","$76,270 ","$101,160 ","$133,290 ",69.807,1.04
"Agents and Business Managers of Artists, Performers, and Athletes (13-1011)",130,21.2,$43.62 ,"$90,730 ",8.5,$21.21 ,$29.40 ,$33.70 ,$48.33 ,$75.44 ,"$44,120 ","$61,140 ","$70,100 ","$100,530 ","$156,910 ",0.039,0.42
Buyers and Purchasing Agents (13-1020),"11,290",3.9,$39.71 ,"$82,600 ",1.4,$22.89 ,$28.14 ,$36.20 ,$46.90 ,$63.20 ,"$47,610 ","$58,520 ","$75,290 ","$97,550 ","$131,450 ",3.531,1.12
"Claims Adjusters, Examiners, and Investigators (13-1031)","14,840",6.2,$33.32 ,"$69,310 ",3.6,$22.83 ,$28.17 ,$30.40 ,$37.64 ,$47.78 ,"$47,490 ","$58,590 ","$63,240 ","$78,290 ","$99,380 ",4.642,2.35
"Insurance Appraisers, Auto Damage (13-1032)",100,14.2,$38.93 ,"$80,980 ",2.2,$31.68 ,$34.90 ,$35.02 ,$41.60 ,$49.37 ,"$65,890 ","$72,590 ","$72,830 ","$86,530 ","$102,690 ",0.032,0.63
Compliance Officers (13-1041),"11,590",3.5,$38.10 ,"$79,240 ",1.4,$21.91 ,$25.98 ,$35.13 ,$47.07 ,$59.29 ,"$45,570 ","$54,030 ","$73,070 ","$97,900 ","$123,320 ",3.625,1.41
Cost Estimators (13-1051),"4,540",10.1,$41.81 ,"$86,960 ",6.4,$18.07 ,$28.00 ,$38.13 ,$49.91 ,$65.64 ,"$37,590 ","$58,240 ","$79,310 ","$103,810 ","$136,540 ",1.42,1
Human Resources Specialists (13-1071),"19,840",3.9,$35.02 ,"$72,850 ",1.1,$22.04 ,$25.17 ,$31.45 ,$41.14 ,$51.13 ,"$45,840 ","$52,350 ","$65,410 ","$85,580 ","$106,350 ",6.207,1.04
Labor Relations Specialists (13-1075),470,11.9,$42.49 ,"$88,390 ",4.3,$25.93 ,$33.85 ,$36.94 ,$49.84 ,$56.05 ,"$53,940 ","$70,400 ","$76,820 ","$103,670 ","$116,580 ",0.146,0.35
Logisticians (13-1081),"3,530",5.6,$43.29 ,"$90,030 ",2.2,$27.00 ,$31.34 ,$39.27 ,$50.94 ,$62.57 ,"$56,170 ","$65,190 ","$81,680 ","$105,960 ","$130,140 ",1.105,0.72
Project Management Specialists (13-1082),"23,260",3.6,$49.97 ,"$103,930 ",1.3,$28.00 ,$36.13 ,$47.31 ,$62.24 ,$77.90 ,"$58,240 ","$75,140 ","$98,400 ","$129,450 ","$162,030 ",7.276,1.11
Management Analysts (13-1111),"18,110",9.8,$56.61 ,"$117,750 ",13.8,$24.43 ,$31.98 ,$43.04 ,$60.06 ,$81.26 ,"$50,820 ","$66,520 ","$89,520 ","$124,930 ","$169,020 ",5.665,0.98
"Meeting, Convention, and Event Planners (13-1121)","2,870",12.2,$28.63 ,"$59,560 ",3.1,$18.37 ,$22.28 ,$28.59 ,$32.36 ,$38.62 ,"$38,220 ","$46,350 ","$59,480 ","$67,310 ","$80,320 ",0.898,1.03
Fundraisers (13-1131),"1,460",7.6,$32.12 ,"$66,810 ",1.9,$17.83 ,$24.07 ,$29.81 ,$38.70 ,$46.93 ,"$37,080 ","$50,070 ","$62,010 ","$80,490 ","$97,610 ",0.456,0.66
"Compensation, Benefits, and Job Analysis Specialists (13-1141)","2,350",49.8,$41.44 ,"$86,200 ",6.3,$21.70 ,$29.21 ,$37.37 ,$49.31 ,$64.28 ,"$45,140 ","$60,750 ","$77,730 ","$102,570 ","$133,710 ",0.734,1.11
Training and Development Specialists (13-1151),"10,980",5.7,$36.10 ,"$75,090 ",3.3,$20.24 ,$25.00 ,$31.73 ,$44.88 ,$56.56 ,"$42,100 ","$52,000 ","$66,000 ","$93,350 ","$117,650 ",3.434,1.21
Market Research Analysts and Marketing Specialists (13-1161),"18,020",4.8,$36.24 ,"$75,390 ",2.3,$17.99 ,$23.04 ,$32.09 ,$43.37 ,$61.88 ,"$37,430 ","$47,930 ","$66,750 ","$90,210 ","$128,720 ",5.638,1.01
"Business Operations Specialists, All Other (13-1199)","14,700",3.6,$45.12 ,"$93,850 ",2,$24.00 ,$31.08 ,$41.06 ,$52.87 ,$65.92 ,"$49,920 ","$64,640 ","$85,390 ","$109,980 ","$137,110 ",4.598,0.63
Accountants and Auditors (13-2011),"26,030",6.8,$41.20 ,"$85,700 ",1.6,$25.06 ,$29.93 ,$37.80 ,$49.10 ,$60.57 ,"$52,130 ","$62,250 ","$78,620 ","$102,120 ","$125,990 ",8.143,0.87
Property Appraisers and Assessors (13-2020),"1,210",31,$30.13 ,"$62,660 ",5,$18.25 ,$21.63 ,$28.87 ,$35.46 ,$43.66 ,"$37,960 ","$44,990 ","$60,050 ","$73,750 ","$90,810 ",0.379,0.99
Budget Analysts (13-2031),850,2.1,$41.91 ,"$87,170 ",0.4,$29.79 ,$34.50 ,$41.29 ,$48.78 ,$53.90 ,"$61,950 ","$71,750 ","$85,880 ","$101,460 ","$112,110 ",0.265,0.87
Credit Analysts (13-2041),"2,430",8.4,$38.63 ,"$80,340 ",2.5,$25.01 ,$29.42 ,$35.85 ,$41.41 ,$58.91 ,"$52,030 ","$61,190 ","$74,580 ","$86,130 ","$122,520 ",0.759,1.74
Financial and Investment Analysts (13-2051),"4,910",7.2,$51.56 ,"$107,240 ",8,$29.53 ,$34.02 ,$42.40 ,$54.06 ,$77.32 ,"$61,430 ","$70,760 ","$88,190 ","$112,440 ","$160,830 ",1.535,0.7
Personal Financial Advisors (13-2052),"7,190",10.6,$50.16 ,"$104,330 ",11.9,$21.86 ,$24.04 ,$40.94 ,$63.81 ,$78.74 ,"$45,470 ","$50,000 ","$85,150 ","$132,710 ","$163,770 ",2.25,1.28
Insurance Underwriters (13-2053),"3,300",13.1,$37.66 ,"$78,330 ",2.3,$23.29 ,$29.16 ,$35.45 ,$46.84 ,$50.43 ,"$48,440 ","$60,640 ","$73,740 ","$97,430 ","$104,890 ",1.034,1.48
Financial Risk Specialists (13-2054),"1,150",9.7,$46.05 ,"$95,780 ",1.7,$19.58 ,$30.08 ,$44.43 ,$57.81 ,$81.21 ,"$40,720 ","$62,570 ","$92,410 ","$120,240 ","$168,920 ",0.36,0.99
Financial Examiners (13-2061),"1,560",6.6,$40.78 ,"$84,830 ",1.4,$28.85 ,$31.09 ,$37.29 ,$45.46 ,$60.97 ,"$60,000 ","$64,670 ","$77,570 ","$94,570 ","$126,820 ",0.488,1.2
Credit Counselors (13-2071),"1,240",18.1,$23.31 ,"$48,470 ",1.6,$18.47 ,$20.80 ,$22.74 ,$25.29 ,$29.67 ,"$38,420 ","$43,260 ","$47,300 ","$52,610 ","$61,720 ",0.388,2.13
Loan Officers (13-2072),"11,420",6.7,$31.56 ,"$65,640 ",3.4,$14.38 ,$21.86 ,$25.85 ,$38.28 ,$52.23 ,"$29,910 ","$45,470 ","$53,760 ","$79,620 ","$108,630 ",3.572,1.9
"Tax Examiners and Collectors, and Revenue Agents (13-2081)",230,0.2,$42.36 ,"$88,110 ",0.1,$24.64 ,$30.11 ,$42.56 ,$53.85 ,$59.04 ,"$51,250 ","$62,630 ","$88,520 ","$112,010 ","$122,800 ",0.071,0.2
Tax Preparers (13-2082),"2,480",14.5,$27.42 ,"$57,030 ",7.9,$16.88 ,$19.10 ,$21.02 ,$30.63 ,$47.75 ,"$35,110 ","$39,720 ","$43,710 ","$63,710 ","$99,320 ",0.777,1.63
"Financial Specialists, All Other (13-2099)","1,090",5.3,$42.93 ,"$89,290 ",1.6,$27.44 ,$31.07 ,$37.94 ,$50.29 ,$64.27 ,"$57,080 ","$64,620 ","$78,910 ","$104,600 ","$133,690 ",0.34,0.41
Computer and Mathematical Occupations (15-0000),"107,800",1.8,$51.59 ,"$107,310 ",1.1,$24.95 ,$35.06 ,$48.55 ,$63.68 ,$80.88 ,"$51,890 ","$72,930 ","$100,980 ","$132,450 ","$168,230 ",33.722,1
Computer Systems Analysts (15-1211),"10,010",8.2,$51.41 ,"$106,930 ",3.7,$29.96 ,$38.71 ,$48.91 ,$62.22 ,$78.52 ,"$62,320 ","$80,510 ","$101,730 ","$129,420 ","$163,320 ",3.13,0.97
Information Security Analysts (15-1212),"4,170",8.5,$59.51 ,"$123,780 ",3.9,$34.76 ,$42.56 ,$60.25 ,$77.52 ,$83.17 ,"$72,300 ","$88,520 ","$125,320 ","$161,250 ","$173,000 ",1.303,1.12
Computer and Information Research Scientists (15-1221),420,23.7,$76.01 ,"$158,100 ",5.7,$37.25 ,$49.28 ,$61.79 ,$80.95 ,(5) -,"$77,470 ","$102,500 ","$128,520 ","$168,370 ",(5) -,0.13,0.52
Computer Network Support Specialists (15-1231),"1,460",9.5,$34.82 ,"$72,430 ",3.6,$22.17 ,$25.53 ,$31.41 ,$40.80 ,$54.13 ,"$46,110 ","$53,110 ","$65,340 ","$84,860 ","$112,590 ",0.455,0.48
Computer User Support Specialists (15-1232),"20,400",5.9,$31.41 ,"$65,320 ",1.2,$20.74 ,$23.79 ,$29.80 ,$35.72 ,$43.24 ,"$43,140 ","$49,490 ","$61,990 ","$74,300 ","$89,940 ",6.381,1.41
Computer Network Architects (15-1241),"4,340",10.2,$62.01 ,"$128,990 ",3.5,$37.91 ,$47.99 ,$59.95 ,$76.14 ,$85.46 ,"$78,850 ","$99,810 ","$124,700 ","$158,370 ","$177,770 ",1.357,1.18
Database Administrators (15-1242),"1,330",10.4,$46.80 ,"$97,340 ",1.9,$24.64 ,$34.75 ,$46.31 ,$56.91 ,$70.30 ,"$51,240 ","$72,270 ","$96,320 ","$118,370 ","$146,220 ",0.415,0.88
Database Architects (15-1243),850,6,$64.94 ,"$135,080 ",2.1,$37.98 ,$50.19 ,$62.80 ,$78.12 ,$87.76 ,"$79,010 ","$104,390 ","$130,620 ","$162,490 ","$182,540 ",0.267,0.64
Network and Computer Systems Administrators (15-1244),"5,840",6.4,$45.57 ,"$94,780 ",1.8,$29.54 ,$35.02 ,$41.87 ,$52.91 ,$65.61 ,"$61,430 ","$72,850 ","$87,090 ","$110,040 ","$136,470 ",1.826,0.88
Computer Programmers (15-1251),"4,170",21.1,$38.09 ,"$79,220 ",15.9,$17.92 ,$19.23 ,$34.58 ,$56.04 ,$60.12 ,"$37,270 ","$39,990 ","$71,930 ","$116,550 ","$125,050 ",1.305,1.83
Software Developers (15-1252),"35,650",5,$64.01 ,"$133,140 ",1.6,$38.61 ,$48.23 ,$61.87 ,$75.82 ,$89.56 ,"$80,300 ","$100,320 ","$128,690 ","$157,710 ","$186,280 ",11.153,1.04
Software Quality Assurance Analysts and Testers (15-1253),"3,680",10,$50.21 ,"$104,440 ",2.9,$29.56 ,$38.61 ,$49.80 ,$58.88 ,$68.65 ,"$61,480 ","$80,310 ","$103,580 ","$122,480 ","$142,800 ",1.152,0.89
Web Developers (15-1254),"1,510",24.9,$48.87 ,"$101,650 ",10.9,$23.02 ,$31.20 ,$41.86 ,$69.97 ,$83.99 ,"$47,880 ","$64,900 ","$87,070 ","$145,540 ","$174,700 ",0.473,0.92
Web and Digital Interface Designers (15-1255),"1,430",11.9,$47.28 ,"$98,350 ",6.7,$24.03 ,$29.62 ,$37.66 ,$61.60 ,$85.19 ,"$49,990 ","$61,610 ","$78,330 ","$128,120 ","$177,190 ",0.449,0.62
"Computer Occupations, All Other (15-1299)","5,740",9.8,$55.07 ,"$114,540 ",3.2,$28.41 ,$38.21 ,$53.85 ,$65.79 ,$81.41 ,"$59,090 ","$79,470 ","$112,010 ","$136,840 ","$169,330 ",1.794,0.63
Actuaries (15-2011),170,11.7,$59.98 ,"$124,760 ",3.1,$38.63 ,$47.04 ,$59.62 ,$71.07 ,$80.19 ,"$80,350 ","$97,850 ","$124,000 ","$147,830 ","$166,790 ",0.054,0.3
Operations Research Analysts (15-2031),"2,170",12,$41.59 ,"$86,510 ",3.8,$24.41 ,$31.01 ,$40.14 ,$49.04 ,$61.48 ,"$50,760 ","$64,510 ","$83,500 ","$102,000 ","$127,880 ",0.678,0.97
Statisticians (15-2041),360,26.7,$49.08 ,"$102,090 ",5.9,$25.49 ,$32.54 ,$43.91 ,$61.02 ,$74.45 ,"$53,020 ","$67,690 ","$91,320 ","$126,930 ","$154,850 ",0.112,0.58
Data Scientists (15-2051),"4,080",14.1,$54.07 ,"$112,460 ",2.8,$32.17 ,$39.02 ,$51.00 ,$64.67 ,$79.39 ,"$66,910 ","$81,170 ","$106,080 ","$134,510 ","$165,120 ",1.275,0.84
"Mathematical Science Occupations, All Other (15-2099)",30,45.4,$42.59 ,"$88,580 ",9.9,$28.51 ,$29.98 ,$44.47 ,$55.03 ,$56.12 ,"$59,290 ","$62,350 ","$92,500 ","$114,450 ","$116,730 ",0.01,0.34
Architecture and Engineering Occupations (17-0000),"53,650",4.5,$50.78 ,"$105,620 ",1.4,$27.29 ,$36.38 ,$46.95 ,$62.24 ,$79.81 ,"$56,750 ","$75,680 ","$97,660 ","$129,460 ","$166,000 ",16.782,1.01
"Architects, Except Landscape and Naval (17-1011)","1,430",13.5,$47.94 ,"$99,720 ",4.2,$30.83 ,$39.29 ,$46.86 ,$55.76 ,$64.31 ,"$64,130 ","$81,710 ","$97,470 ","$115,970 ","$133,750 ",0.447,0.62
Landscape Architects (17-1012),380,25,$42.97 ,"$89,380 ",15.1,$29.33 ,$30.48 ,$32.24 ,$43.21 ,$53.69 ,"$61,000 ","$63,400 ","$67,060 ","$89,870 ","$111,670 ",0.119,0.94
Cartographers and Photogrammetrists (17-1021),360,8,$36.91 ,"$76,760 ",2.8,$24.92 ,$28.55 ,$36.04 ,$44.60 ,$50.16 ,"$51,830 ","$59,370 ","$74,970 ","$92,770 ","$104,330 ",0.114,1.37
Surveyors (17-1022),"1,440",14.1,$37.28 ,"$77,550 ",2.7,$23.68 ,$29.16 ,$37.73 ,$44.82 ,$47.89 ,"$49,250 ","$60,640 ","$78,480 ","$93,230 ","$99,620 ",0.452,1.31
Aerospace Engineers (17-2011),"1,770",7,$69.20 ,"$143,930 ",1.2,$41.79 ,$51.91 ,$65.20 ,$84.41 ,$108.48 ,"$86,920 ","$107,970 ","$135,620 ","$175,580 ","$225,640 ",0.554,1.25
Bioengineers and Biomedical Engineers (17-2031),410,16.3,$61.29 ,"$127,490 ",3.9,$39.64 ,$48.53 ,$58.50 ,$77.82 ,$79.70 ,"$82,460 ","$100,940 ","$121,680 ","$161,860 ","$165,770 ",0.127,0.89
Chemical Engineers (17-2041),170,20.7,$62.45 ,"$129,890 ",3.3,$41.67 ,$54.18 ,$60.12 ,$67.61 ,$91.35 ,"$86,670 ","$112,690 ","$125,050 ","$140,630 ","$190,000 ",0.054,0.41
Civil Engineers (17-2051),"6,270",14.6,$46.94 ,"$97,630 ",2.4,$30.41 ,$37.06 ,$44.95 ,$55.28 ,$65.67 ,"$63,260 ","$77,080 ","$93,500 ","$114,990 ","$136,600 ",1.96,0.85
Computer Hardware Engineers (17-2061),"3,390",9.4,$74.87 ,"$155,730 ",0.8,$47.83 ,$53.84 ,$78.41 ,$79.90 ,$101.32 ,"$99,480 ","$111,990 ","$163,090 ","$166,180 ","$210,740 ",1.061,2.16
Electrical Engineers (17-2071),"4,970",7.9,$59.66 ,"$124,080 ",2.8,$38.16 ,$42.49 ,$53.13 ,$69.68 ,$87.10 ,"$79,370 ","$88,390 ","$110,510 ","$144,930 ","$181,170 ",1.554,1.27
"Electronics Engineers, Except Computer (17-2072)","2,360",7.2,$65.05 ,"$135,310 ",2.6,$38.71 ,$48.13 ,$65.00 ,$82.16 ,$96.30 ,"$80,520 ","$100,110 ","$135,200 ","$170,900 ","$200,310 ",0.738,1.21
Environmental Engineers (17-2081),620,16.3,$45.45 ,"$94,530 ",1.6,$28.50 ,$35.92 ,$44.00 ,$54.98 ,$62.93 ,"$59,290 ","$74,710 ","$91,520 ","$114,360 ","$130,900 ",0.195,0.79
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors (17-2111)",180,7.6,$54.77 ,"$113,910 ",2,$36.33 ,$43.95 ,$52.78 ,$61.44 ,$75.77 ,"$75,560 ","$91,420 ","$109,790 ","$127,790 ","$157,600 ",0.057,0.38
Industrial Engineers (17-2112),"7,320",3.7,$57.64 ,"$119,890 ",1.4,$37.39 ,$42.12 ,$52.93 ,$65.26 ,$83.48 ,"$77,760 ","$87,610 ","$110,100 ","$135,740 ","$173,640 ",2.291,1.01
Materials Engineers (17-2131),380,8.6,$56.30 ,"$117,110 ",3.2,$38.12 ,$46.31 ,$52.05 ,$66.52 ,$78.93 ,"$79,290 ","$96,320 ","$108,260 ","$138,370 ","$164,160 ",0.119,0.81
Mechanical Engineers (17-2141),"5,440",6.8,$52.68 ,"$109,580 ",1.4,$35.10 ,$40.41 ,$49.29 ,$62.39 ,$77.77 ,"$73,010 ","$84,050 ","$102,510 ","$129,760 ","$161,770 ",1.701,0.91
"Mining and Geological Engineers, Including Mining Safety Engineers (17-2151)",680,26.2,$54.70 ,"$113,770 ",9.4,$36.35 ,$43.71 ,$49.41 ,$59.89 ,$82.56 ,"$75,600 ","$90,920 ","$102,780 ","$124,570 ","$171,730 ",0.212,4.82
"Engineers, All Other (17-2199)","2,660",11.1,$57.77 ,"$120,170 ",2.8,$30.80 ,$42.39 ,$52.96 ,$67.78 ,$88.05 ,"$64,060 ","$88,170 ","$110,160 ","$140,980 ","$183,130 ",0.832,0.85
Architectural and Civil Drafters (17-3011),"2,600",16.1,$30.89 ,"$64,240 ",5.6,$18.87 ,$24.30 ,$29.55 ,$37.46 ,$44.73 ,"$39,240 ","$50,540 ","$61,460 ","$77,920 ","$93,030 ",0.814,1.15
