Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Administrative Services Managers (11-3012),"2,100",5.3,$54.52 ,"$113,410 ",1.8,$31.31 ,$39.61 ,$50.25 ,$67.09 ,$84.79 ,"$65,120 ","$82,380 ","$104,520 ","$139,540 ","$176,370 ",2.436,1.48
Facilities Managers (11-3013),370,6.2,$53.14 ,"$110,530 ",1.8,$31.24 ,$41.20 ,$50.13 ,$62.51 ,$76.53 ,"$64,970 ","$85,700 ","$104,270 ","$130,020 ","$159,170 ",0.435,0.48
Computer and Information Systems Managers (11-3021),"1,410",10.4,$74.95 ,"$155,900 ",6.3,$44.56 ,$54.33 ,$66.99 ,$85.14 ,(5) -,"$92,690 ","$113,000 ","$139,330 ","$177,090 ",(5) -,1.635,0.39
Financial Managers (11-3031),"2,430",5.4,$64.52 ,"$134,210 ",1.4,$38.53 ,$47.29 ,$58.74 ,$75.51 ,$98.32 ,"$80,150 ","$98,360 ","$122,180 ","$157,060 ","$204,510 ",2.818,0.53
Industrial Production Managers (11-3051),650,7.3,$63.50 ,"$132,080 ",2.2,$37.03 ,$47.42 ,$58.80 ,$79.59 ,$97.72 ,"$77,020 ","$98,630 ","$122,310 ","$165,540 ","$203,270 ",0.757,0.5
Purchasing Managers (11-3061),190,5.3,$63.66 ,"$132,410 ",1.8,$37.51 ,$51.41 ,$63.32 ,$74.41 ,$90.77 ,"$78,010 ","$106,930 ","$131,710 ","$154,770 ","$188,800 ",0.217,0.41
"Transportation, Storage, and Distribution Managers (11-3071)",520,5.3,$46.35 ,"$96,400 ",1.6,$28.27 ,$34.06 ,$46.40 ,$53.36 ,$65.16 ,"$58,800 ","$70,850 ","$96,510 ","$110,990 ","$135,530 ",0.609,0.44
Compensation and Benefits Managers (11-3111),50,16.1,$64.81 ,"$134,810 ",3.1,$43.56 ,$48.66 ,$50.41 ,$70.24 ,$108.52 ,"$90,600 ","$101,210 ","$104,840 ","$146,100 ","$225,730 ",0.057,0.44
Human Resources Managers (11-3121),700,5,$60.82 ,"$126,500 ",1.6,$37.91 ,$45.30 ,$56.38 ,$69.34 ,$87.74 ,"$78,850 ","$94,220 ","$117,280 ","$144,220 ","$182,500 ",0.813,0.58
Training and Development Managers (11-3131),130,12.9,$60.67 ,"$126,190 ",4.7,$32.69 ,$42.16 ,$53.78 ,$81.73 ,$97.76 ,"$67,990 ","$87,700 ","$111,860 ","$169,990 ","$203,340 ",0.156,0.54
Construction Managers (11-9021),"1,780",8.6,$51.23 ,"$106,550 ",2,$30.34 ,$37.71 ,$48.36 ,$59.53 ,$75.64 ,"$63,110 ","$78,440 ","$100,580 ","$123,820 ","$157,320 ",2.07,0.92
"Education and Childcare Administrators, Preschool and Daycare (11-9031)",370,13.4,$34.57 ,"$71,900 ",4.7,$22.34 ,$28.37 ,$32.59 ,$37.84 ,$51.27 ,"$46,480 ","$59,000 ","$67,780 ","$78,700 ","$106,640 ",0.433,0.93
"Education Administrators, Kindergarten through Secondary (11-9032)","2,090",2.9,(4) -,"$103,570 ",0.9,(4) -,(4) -,(4) -,(4) -,(4) -,"$79,280 ","$89,950 ","$101,870 ","$118,220 ","$129,180 ",2.424,1.17
"Education Administrators, Postsecondary (11-9033)","1,140",2.7,$54.32 ,"$112,990 ",0.9,$33.30 ,$39.31 ,$50.65 ,$65.34 ,$82.73 ,"$69,270 ","$81,770 ","$105,350 ","$135,900 ","$172,080 ",1.321,1.15
"Education Administrators, All Other (11-9039)",(8) -,(8) -,$46.82 ,"$97,380 ",1.8,$32.63 ,$38.29 ,$44.39 ,$52.34 ,$66.39 ,"$67,880 ","$79,630 ","$92,330 ","$108,870 ","$138,080 ",(8) -,(8) -
Architectural and Engineering Managers (11-9041),"1,790",2.7,$100.83 ,"$209,730 ",1,$66.56 ,$85.06 ,$103.72 ,$108.35 ,(5) -,"$138,450 ","$176,930 ","$215,730 ","$225,380 ",(5) -,2.082,1.53
Food Service Managers (11-9051),"1,620",11.1,$37.38 ,"$77,740 ",7,$22.49 ,$27.16 ,$30.22 ,$45.29 ,$69.26 ,"$46,780 ","$56,480 ","$62,860 ","$94,200 ","$144,060 ",1.878,1.19
Gambling Managers (11-9071),60,10.4,$56.24 ,"$116,970 ",4.7,$29.24 ,$31.65 ,$47.98 ,$62.91 ,$100.71 ,"$60,820 ","$65,840 ","$99,810 ","$130,860 ","$209,480 ",0.071,2.37
Lodging Managers (11-9081),310,13.2,$31.89 ,"$66,340 ",10.9,$17.56 ,$23.18 ,$27.14 ,$38.55 ,$46.17 ,"$36,520 ","$48,200 ","$56,440 ","$80,180 ","$96,040 ",0.357,1.33
Medical and Health Services Managers (11-9111),"2,910",3.4,$65.45 ,"$136,140 ",1.5,$37.24 ,$46.54 ,$58.45 ,$74.20 ,$100.54 ,"$77,470 ","$96,800 ","$121,580 ","$154,330 ","$209,120 ",3.376,0.92
Natural Sciences Managers (11-9121),410,9.5,$73.74 ,"$153,380 ",13.8,$41.80 ,$47.88 ,$57.02 ,$73.39 ,$104.56 ,"$86,940 ","$99,590 ","$118,600 ","$152,650 ","$217,480 ",0.477,0.73
Postmasters and Mail Superintendents (11-9131),150,0,$41.28 ,"$85,860 ",0,$27.99 ,$34.29 ,$42.30 ,$47.03 ,$50.83 ,"$58,220 ","$71,320 ","$87,980 ","$97,820 ","$105,730 ",0.173,1.93
"Property, Real Estate, and Community Association Managers (11-9141)","1,310",10.4,$31.60 ,"$65,740 ",4.4,$18.66 ,$21.99 ,$28.99 ,$36.89 ,$45.61 ,"$38,810 ","$45,730 ","$60,300 ","$76,730 ","$94,870 ",1.52,0.79
Social and Community Service Managers (11-9151),"1,240",8,$40.44 ,"$84,120 ",2.4,$27.03 ,$31.60 ,$37.10 ,$46.34 ,$54.40 ,"$56,230 ","$65,720 ","$77,160 ","$96,380 ","$113,140 ",1.439,1.13
Emergency Management Directors (11-9161),140,7.7,$59.87 ,"$124,530 ",2.9,$33.45 ,$39.02 ,$53.84 ,$80.51 ,$90.92 ,"$69,580 ","$81,170 ","$111,980 ","$167,450 ","$189,110 ",0.163,2
Funeral Home Managers (11-9171),50,33.3,$37.10 ,"$77,160 ",14.9,$24.76 ,$27.60 ,$29.10 ,$40.48 ,$66.66 ,"$51,500 ","$57,400 ","$60,530 ","$84,190 ","$138,650 ",0.06,0.71
"Managers, All Other (11-9199)","3,580",7.6,$65.42 ,"$136,060 ",2.2,$41.72 ,$49.42 ,$61.09 ,$76.66 ,$103.93 ,"$86,780 ","$102,790 ","$127,060 ","$159,450 ","$216,160 ",4.159,1.02
Business and Financial Operations Occupations (13-0000),"47,650",1.2,$40.22 ,"$83,650 ",0.7,$22.13 ,$28.12 ,$36.51 ,$48.47 ,$64.07 ,"$46,030 ","$58,480 ","$75,940 ","$100,820 ","$133,260 ",55.353,0.82
Buyers and Purchasing Agents (13-1020),"2,020",7.2,$38.84 ,"$80,790 ",1.9,$22.48 ,$26.62 ,$35.02 ,$48.77 ,$61.88 ,"$46,760 ","$55,370 ","$72,840 ","$101,440 ","$128,700 ",2.341,0.74
"Claims Adjusters, Examiners, and Investigators (13-1031)","1,300",4.5,$33.45 ,"$69,570 ",1.4,$18.47 ,$23.01 ,$31.79 ,$43.20 ,$49.09 ,"$38,420 ","$47,860 ","$66,120 ","$89,860 ","$102,110 ",1.514,0.77
Compliance Officers (13-1041),"2,620",4,$37.93 ,"$78,900 ",3.5,$21.21 ,$24.26 ,$32.52 ,$48.77 ,$64.45 ,"$44,120 ","$50,460 ","$67,640 ","$101,440 ","$134,060 ",3.049,1.18
Cost Estimators (13-1051),980,7.7,$36.92 ,"$76,790 ",3.1,$20.39 ,$25.93 ,$33.19 ,$45.96 ,$56.08 ,"$42,400 ","$53,940 ","$69,040 ","$95,600 ","$116,650 ",1.134,0.8
Human Resources Specialists (13-1071),"4,330",3.5,$34.26 ,"$71,260 ",1.3,$20.06 ,$23.97 ,$31.34 ,$39.94 ,$51.91 ,"$41,730 ","$49,850 ","$65,180 ","$83,060 ","$107,970 ",5.024,0.84
Labor Relations Specialists (13-1075),230,20.5,$43.49 ,"$90,470 ",6.5,$27.16 ,$35.13 ,$48.28 ,$49.77 ,$61.41 ,"$56,490 ","$73,070 ","$100,420 ","$103,520 ","$127,720 ",0.262,0.62
Logisticians (13-1081),950,3.5,$45.90 ,"$95,470 ",1,$31.20 ,$35.26 ,$42.29 ,$51.70 ,$65.63 ,"$64,890 ","$73,340 ","$87,960 ","$107,530 ","$136,520 ",1.109,0.73
Project Management Specialists (13-1082),"5,890",4.4,$54.94 ,"$114,270 ",2.2,$30.74 ,$37.27 ,$49.49 ,$66.79 ,$86.15 ,"$63,940 ","$77,520 ","$102,940 ","$138,920 ","$179,180 ",6.844,1.05
Management Analysts (13-1111),"3,440",4.3,$43.48 ,"$90,440 ",2.5,$25.76 ,$30.22 ,$40.80 ,$51.68 ,$64.07 ,"$53,580 ","$62,850 ","$84,870 ","$107,480 ","$133,260 ",3.999,0.69
"Meeting, Convention, and Event Planners (13-1121)",300,7.6,$23.73 ,"$49,370 ",3.2,$15.56 ,$18.38 ,$22.89 ,$28.27 ,$30.19 ,"$32,360 ","$38,230 ","$47,600 ","$58,790 ","$62,790 ",0.352,0.4
Fundraisers (13-1131),300,17.4,$32.14 ,"$66,850 ",4.2,$20.35 ,$25.48 ,$30.64 ,$38.74 ,$44.81 ,"$42,320 ","$52,990 ","$63,740 ","$80,570 ","$93,200 ",0.351,0.51
"Compensation, Benefits, and Job Analysis Specialists (13-1141)",340,15,$40.77 ,"$84,800 ",4.4,$24.58 ,$29.54 ,$39.04 ,$49.08 ,$58.56 ,"$51,130 ","$61,440 ","$81,190 ","$102,090 ","$121,810 ",0.399,0.6
Training and Development Specialists (13-1151),"2,360",6.4,$33.08 ,"$68,800 ",2.9,$17.12 ,$23.08 ,$30.33 ,$39.57 ,$52.55 ,"$35,600 ","$48,000 ","$63,090 ","$82,300 ","$109,300 ",2.744,0.97
Market Research Analysts and Marketing Specialists (13-1161),"1,830",5.8,$30.71 ,"$63,880 ",1.5,$18.59 ,$22.65 ,$28.94 ,$36.43 ,$44.11 ,"$38,660 ","$47,110 ","$60,200 ","$75,780 ","$91,760 ",2.124,0.38
"Business Operations Specialists, All Other (13-1199)","8,270",3.4,$39.36 ,"$81,870 ",1.7,$22.94 ,$28.97 ,$36.78 ,$45.98 ,$58.93 ,"$47,710 ","$60,250 ","$76,490 ","$95,640 ","$122,570 ",9.609,1.31
Accountants and Auditors (13-2011),"6,660",2.5,$39.62 ,"$82,410 ",1.1,$24.80 ,$30.09 ,$37.22 ,$46.85 ,$57.22 ,"$51,590 ","$62,590 ","$77,420 ","$97,450 ","$119,020 ",7.739,0.82
Property Appraisers and Assessors (13-2020),630,10.8,$27.77 ,"$57,770 ",2.4,$18.32 ,$21.62 ,$24.93 ,$32.76 ,$38.50 ,"$38,110 ","$44,980 ","$51,860 ","$68,140 ","$80,090 ",0.737,1.92
Budget Analysts (13-2031),710,0.9,$46.45 ,"$96,610 ",1.1,$29.28 ,$34.88 ,$47.88 ,$50.85 ,$64.40 ,"$60,910 ","$72,550 ","$99,590 ","$105,760 ","$133,950 ",0.825,2.7
Credit Analysts (13-2041),90,24.4,$41.34 ,"$85,980 ",6.4,$30.59 ,$33.01 ,$37.00 ,$42.83 ,$68.21 ,"$63,630 ","$68,660 ","$76,950 ","$89,080 ","$141,880 ",0.104,0.24
Financial and Investment Analysts (13-2051),870,11,$41.18 ,"$85,660 ",4.8,$29.62 ,$29.80 ,$38.05 ,$45.54 ,$60.97 ,"$61,610 ","$61,990 ","$79,150 ","$94,720 ","$126,820 ",1.015,0.46
Personal Financial Advisors (13-2052),570,22.2,$64.96 ,"$135,110 ",17.1,$18.80 ,$32.97 ,$37.36 ,$55.37 ,(5) -,"$39,100 ","$68,580 ","$77,710 ","$115,170 ",(5) -,0.664,0.38
Insurance Underwriters (13-2053),130,18.3,$34.01 ,"$70,750 ",8.4,$22.42 ,$22.85 ,$30.00 ,$47.60 ,$50.78 ,"$46,620 ","$47,520 ","$62,390 ","$99,020 ","$105,630 ",0.153,0.22
Financial Risk Specialists (13-2054),150,7.1,$42.49 ,"$88,370 ",3.4,$26.69 ,$30.94 ,$38.57 ,$51.42 ,$66.58 ,"$55,500 ","$64,360 ","$80,220 ","$106,960 ","$138,490 ",0.171,0.47
Financial Examiners (13-2061),130,13.6,$41.16 ,"$85,610 ",4,$24.55 ,$30.49 ,$35.22 ,$47.61 ,$63.03 ,"$51,070 ","$63,410 ","$73,260 ","$99,020 ","$131,100 ",0.155,0.38
Credit Counselors (13-2071),240,19.2,$23.02 ,"$47,870 ",1,$19.51 ,$19.55 ,$22.28 ,$24.49 ,$27.55 ,"$40,570 ","$40,670 ","$46,340 ","$50,940 ","$57,300 ",0.28,1.54
Loan Officers (13-2072),970,8.6,$38.77 ,"$80,640 ",6.1,$16.65 ,$23.93 ,$34.95 ,$45.93 ,$64.06 ,"$34,630 ","$49,780 ","$72,690 ","$95,530 ","$133,250 ",1.13,0.6
"Tax Examiners and Collectors, and Revenue Agents (13-2081)",180,3.3,$29.19 ,"$60,710 ",1.1,$20.74 ,$23.34 ,$26.61 ,$29.79 ,$43.65 ,"$43,140 ","$48,550 ","$55,350 ","$61,960 ","$90,790 ",0.214,0.62
Tax Preparers (13-2082),340,17.5,$20.25 ,"$42,110 ",4.8,$13.30 ,$14.33 ,$18.30 ,$22.43 ,$30.20 ,"$27,660 ","$29,810 ","$38,070 ","$46,640 ","$62,820 ",0.397,0.83
"Financial Specialists, All Other (13-2099)",750,1.5,$37.59 ,"$78,190 ",0.4,$21.31 ,$26.02 ,$36.32 ,$45.82 ,$55.06 ,"$44,320 ","$54,120 ","$75,550 ","$95,310 ","$114,520 ",0.873,1.06
Computer and Mathematical Occupations (15-0000),"23,780",2.2,$49.94 ,"$103,880 ",1.5,$22.18 ,$30.03 ,$45.85 ,$65.52 ,$85.63 ,"$46,130 ","$62,460 ","$95,360 ","$136,290 ","$178,120 ",27.623,0.82
Computer Systems Analysts (15-1211),"2,500",9.4,$46.50 ,"$96,720 ",3.2,$27.62 ,$36.06 ,$45.46 ,$51.95 ,$64.74 ,"$57,450 ","$75,010 ","$94,570 ","$108,060 ","$134,670 ",2.905,0.9
Information Security Analysts (15-1212),"1,760",6.9,$63.09 ,"$131,220 ",1.6,$40.31 ,$49.01 ,$64.32 ,$79.95 ,$85.75 ,"$83,840 ","$101,940 ","$133,780 ","$166,300 ","$178,370 ",2.047,1.76
Computer and Information Research Scientists (15-1221),(8) -,(8) -,$85.77 ,"$178,400 ",1.3,$67.74 ,$67.74 ,$85.63 ,$86.79 ,$109.19 ,"$140,910 ","$140,910 ","$178,120 ","$180,520 ","$227,100 ",(8) -,(8) -
Computer Network Support Specialists (15-1231),"1,220",7.5,$33.86 ,"$70,430 ",1.7,$21.36 ,$24.78 ,$30.90 ,$39.57 ,$49.55 ,"$44,420 ","$51,550 ","$64,280 ","$82,310 ","$103,060 ",1.422,1.5
Computer User Support Specialists (15-1232),"4,210",8.5,$24.29 ,"$50,530 ",2.9,$17.33 ,$18.19 ,$22.86 ,$27.89 ,$33.43 ,"$36,040 ","$37,840 ","$47,540 ","$58,010 ","$69,530 ",4.886,1.08
Computer Network Architects (15-1241),730,6.6,$56.41 ,"$117,330 ",1.4,$39.52 ,$45.87 ,$54.36 ,$65.12 ,$72.40 ,"$82,200 ","$95,410 ","$113,070 ","$135,450 ","$150,600 ",0.842,0.73
Database Administrators (15-1242),520,7.3,$45.42 ,"$94,480 ",2.5,$29.86 ,$34.90 ,$45.60 ,$50.28 ,$62.50 ,"$62,100 ","$72,600 ","$94,850 ","$104,590 ","$130,010 ",0.609,1.28
Database Architects (15-1243),130,24.8,$56.55 ,"$117,620 ",8.9,$32.99 ,$46.80 ,$57.75 ,$67.41 ,$74.59 ,"$68,620 ","$97,340 ","$120,120 ","$140,210 ","$155,140 ",0.148,0.35
Network and Computer Systems Administrators (15-1244),"1,520",12.4,$44.58 ,"$92,730 ",5.4,$31.62 ,$37.92 ,$41.89 ,$51.55 ,$59.43 ,"$65,780 ","$78,880 ","$87,140 ","$107,220 ","$123,620 ",1.762,0.85
Computer Programmers (15-1251),490,7.2,$44.84 ,"$93,270 ",2.3,$31.49 ,$34.38 ,$40.23 ,$53.06 ,$64.51 ,"$65,510 ","$71,510 ","$83,680 ","$110,360 ","$134,170 ",0.573,0.8
Software Developers (15-1252),"4,810",6.6,$57.73 ,"$120,080 ",3.1,$29.36 ,$40.59 ,$58.09 ,$68.21 ,$86.19 ,"$61,070 ","$84,430 ","$120,820 ","$141,870 ","$179,270 ",5.591,0.52
Software Quality Assurance Analysts and Testers (15-1253),400,13.5,$60.93 ,"$126,740 ",11,$33.12 ,$39.37 ,$50.73 ,$66.04 ,(5) -,"$68,890 ","$81,890 ","$105,520 ","$137,360 ",(5) -,0.465,0.36
Web Developers (15-1254),(8) -,(8) -,$30.59 ,"$63,630 ",21.5,$13.17 ,$18.61 ,$28.85 ,$40.37 ,$50.06 ,"$27,380 ","$38,700 ","$60,010 ","$83,970 ","$104,120 ",(8) -,(8) -
Web and Digital Interface Designers (15-1255),280,20.3,$33.06 ,"$68,760 ",7.8,$18.50 ,$23.09 ,$27.73 ,$39.11 ,$58.50 ,"$38,480 ","$48,030 ","$57,680 ","$81,350 ","$121,680 ",0.326,0.45
"Computer Occupations, All Other (15-1299)",950,5.6,$53.07 ,"$110,390 ",2.7,$29.68 ,$38.82 ,$49.28 ,$59.66 ,$78.14 ,"$61,730 ","$80,750 ","$102,500 ","$124,090 ","$162,530 ",1.104,0.39
Operations Research Analysts (15-2031),500,12.7,$43.91 ,"$91,340 ",2.4,$23.56 ,$30.79 ,$37.47 ,$54.34 ,$69.06 ,"$49,000 ","$64,030 ","$77,930 ","$113,030 ","$143,640 ",0.578,0.83
Statisticians (15-2041),360,38.3,$36.99 ,"$76,930 ",8.2,$24.04 ,$25.44 ,$41.50 ,$41.50 ,$44.59 ,"$49,990 ","$52,920 ","$86,310 ","$86,310 ","$92,750 ",0.413,2.14
Data Scientists (15-2051),510,16.6,$41.60 ,"$86,520 ",4.2,$21.56 ,$29.96 ,$40.88 ,$50.14 ,$60.21 ,"$44,840 ","$62,310 ","$85,040 ","$104,290 ","$125,230 ",0.589,0.39
Architecture and Engineering Occupations (17-0000),"24,300",1.5,$57.80 ,"$120,230 ",0.8,$28.91 ,$40.13 ,$52.68 ,$69.34 ,$86.94 ,"$60,140 ","$83,470 ","$109,580 ","$144,220 ","$180,830 ",28.229,1.7
"Architects, Except Landscape and Naval (17-1011)",720,13.6,$41.00 ,"$85,290 ",5.4,$20.00 ,$28.43 ,$37.05 ,$50.22 ,$60.73 ,"$41,590 ","$59,120 ","$77,070 ","$104,470 ","$126,320 ",0.838,1.16
Landscape Architects (17-1012),60,29.8,$33.31 ,"$69,290 ",3.4,$18.98 ,$28.48 ,$30.79 ,$42.24 ,$46.81 ,"$39,480 ","$59,240 ","$64,040 ","$87,860 ","$97,360 ",0.073,0.58
Surveyors (17-1022),210,13.3,$37.36 ,"$77,700 ",6.4,$18.87 ,$23.87 ,$36.15 ,$46.91 ,$55.26 ,"$39,260 ","$49,640 ","$75,190 ","$97,570 ","$114,940 ",0.242,0.7
Aerospace Engineers (17-2011),"1,940",5.6,$67.96 ,"$141,350 ",2.4,$52.10 ,$52.10 ,$67.20 ,$85.72 ,$85.72 ,"$108,370 ","$108,370 ","$139,770 ","$178,300 ","$178,300 ",2.251,5.07
Bioengineers and Biomedical Engineers (17-2031),(8) -,(8) -,$61.51 ,"$127,940 ",17.3,$36.43 ,$40.30 ,$56.04 ,$88.46 ,$93.05 ,"$75,770 ","$83,820 ","$116,560 ","$184,000 ","$193,550 ",(8) -,(8) -
Chemical Engineers (17-2041),80,9.2,$72.41 ,"$150,610 ",3.5,$45.40 ,$56.54 ,$70.81 ,$88.36 ,$103.11 ,"$94,430 ","$117,600 ","$147,290 ","$183,790 ","$214,460 ",0.098,0.75
Civil Engineers (17-2051),"1,400",7.8,$51.92 ,"$108,000 ",3,$31.82 ,$37.16 ,$50.29 ,$60.37 ,$71.73 ,"$66,180 ","$77,290 ","$104,600 ","$125,560 ","$149,200 ",1.628,0.71
Electrical Engineers (17-2071),"1,580",6,$69.29 ,"$144,120 ",1.7,$39.26 ,$54.57 ,$69.16 ,$87.28 ,$87.28 ,"$81,670 ","$113,500 ","$143,850 ","$181,550 ","$181,550 ",1.836,1.5
"Electronics Engineers, Except Computer (17-2072)",980,10.9,$60.74 ,"$126,330 ",2.2,$36.61 ,$45.05 ,$58.56 ,$69.07 ,$87.23 ,"$76,150 ","$93,710 ","$121,800 ","$143,660 ","$181,430 ",1.14,1.87
Environmental Engineers (17-2081),480,16.2,$57.94 ,"$120,520 ",5.5,$35.83 ,$44.67 ,$49.89 ,$65.90 ,$102.82 ,"$74,530 ","$92,900 ","$103,770 ","$137,070 ","$213,870 ",0.559,2.27
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors (17-2111)",430,5.7,$49.79 ,"$103,570 ",2.9,$22.15 ,$32.57 ,$41.77 ,$64.73 ,$85.54 ,"$46,080 ","$67,740 ","$86,880 ","$134,640 ","$177,920 ",0.503,3.34
Industrial Engineers (17-2112),750,4.4,$62.72 ,"$130,470 ",1.5,$39.46 ,$46.62 ,$57.40 ,$78.73 ,$99.20 ,"$82,070 ","$96,960 ","$119,390 ","$163,760 ","$206,330 ",0.869,0.38
Mechanical Engineers (17-2141),"1,690",6.7,$65.16 ,"$135,530 ",1.7,$40.42 ,$51.96 ,$68.02 ,$80.99 ,$85.33 ,"$84,080 ","$108,080 ","$141,490 ","$168,460 ","$177,480 ",1.968,1.06
"Mining and Geological Engineers, Including Mining Safety Engineers (17-2151)",210,34.4,$57.22 ,"$119,020 ",13.7,$22.02 ,$37.33 ,$55.26 ,$70.88 ,$87.03 ,"$45,810 ","$77,650 ","$114,930 ","$147,430 ","$181,020 ",0.248,5.64
Nuclear Engineers (17-2161),"1,160",5.8,$77.93 ,"$162,090 ",4.3,$42.11 ,$54.98 ,$67.34 ,$86.94 ,$109.27 ,"$87,580 ","$114,360 ","$140,070 ","$180,830 ","$227,280 ",1.349,14.11
Petroleum Engineers (17-2171),390,25.7,$61.08 ,"$127,050 ",8.4,$35.38 ,$43.61 ,$56.74 ,$67.27 ,$90.85 ,"$73,580 ","$90,700 ","$118,010 ","$139,920 ","$188,970 ",0.447,3.64
"Engineers, All Other (17-2199)","1,720",6.6,$69.01 ,"$143,530 ",2.1,$40.45 ,$50.95 ,$68.52 ,$85.92 ,$95.64 ,"$84,130 ","$105,980 ","$142,520 ","$178,720 ","$198,940 ",1.994,2.04
Architectural and Civil Drafters (17-3011),340,16,$28.74 ,"$59,790 ",4,$16.67 ,$22.61 ,$28.39 ,$36.49 ,$39.87 ,"$34,670 ","$47,020 ","$59,050 ","$75,900 ","$82,930 ",0.399,0.56
Electrical and Electronics Drafters (17-3012),350,14.2,$40.53 ,"$84,300 ",4.5,$20.67 ,$29.51 ,$42.69 ,$52.70 ,$52.70 ,"$43,000 ","$61,380 ","$88,790 ","$109,620 ","$109,620 ",0.402,3.1
Mechanical Drafters (17-3013),120,10.8,$43.56 ,"$90,600 ",5.2,$28.61 ,$31.93 ,$40.97 ,$53.58 ,$60.00 ,"$59,500 ","$66,420 ","$85,220 ","$111,440 ","$124,800 ",0.145,0.56
"Drafters, All Other (17-3019)",30,20.1,$26.66 ,"$55,440 ",3.7,$20.47 ,$23.76 ,$25.64 ,$28.23 ,$36.50 ,"$42,570 ","$49,410 ","$53,320 ","$58,710 ","$75,930 ",0.035,0.34
Civil Engineering Technologists and Technicians (17-3022),700,8.5,$29.45 ,"$61,250 ",1,$21.94 ,$24.19 ,$29.02 ,$33.88 ,$38.42 ,"$45,640 ","$50,320 ","$60,360 ","$70,470 ","$79,900 ",0.81,2.01
Electrical and Electronic Engineering Technologists and Technicians (17-3023),"1,070",9,$39.26 ,"$81,650 ",1.6,$24.11 ,$31.73 ,$39.70 ,$47.52 ,$53.10 ,"$50,150 ","$66,000 ","$82,570 ","$98,840 ","$110,440 ",1.247,2.07
Environmental Engineering Technologists and Technicians (17-3025),100,28.7,$37.14 ,"$77,250 ",4.7,$25.26 ,$28.47 ,$37.24 ,$45.53 ,$53.31 ,"$52,530 ","$59,220 ","$77,460 ","$94,690 ","$110,890 ",0.119,1.47
Industrial Engineering Technologists and Technicians (17-3026),380,9.4,$32.90 ,"$68,430 ",2.1,$23.88 ,$28.51 ,$28.51 ,$36.21 ,$48.30 ,"$49,680 ","$59,290 ","$59,290 ","$75,320 ","$100,470 ",0.444,0.93
