,Ins AIA,,,,Date Paid,Amount,Payee - Select,Payment Note,Date Paid,Date Paid,Amount,,,,
$0.00 ,100%,$70.24 ,16,$70.24 ,UINT_1_ENTR2,FNC,Base shoe,26.9,$63.47 ,SHOE,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$31.32 ,17,$31.32 ,UINT_1_ENTR2,PNT,Seal & paint base shoe or quarter round,26.9,$26.89 ,SHOE,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$266.98 ,19,$266.98 ,UINT_1_ENTR2,FNC,"Door opening (jamb & casing) - 32""to36""wide - paint grade",1,$234.96 ,DOP,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$133.11 ,20,$133.11 ,UINT_1_ENTR2,PNT,Prime & paint door slab only - exterior (per side),2,$114.25 ,XDOR,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$92.83 ,21,$92.83 ,UINT_1_ENTR2,PNT,Paint door/window trim & jamb - 2 coats (per side),2,$79.68 ,DORT,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$146.66 ,22,$146.66 ,UINT_1_ENTR2,FNH,Door lockset & deadbolt - exterior,1,$131.56 ,DBX,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$455.92 ,23,$455.92 ,UINT_1_ENTR2,DOR,Storm door assembly,1,$402.73 ,STRMD,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$65.11 ,24,$65.11 ,UINT_1_ENTR2,PNT,Prime & paint/finish storm door assembly,1,$55.89 ,STRMD,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$266.98 ,26,$266.98 ,UINT_1_ENTR2,FNC,"Door opening (jamb & casing) - 32""to36""wide - paint grade",1,$234.96 ,DOP,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$91.23 ,27,$91.23 ,UINT_1_ENTR2,PNT,Paint single bifold door - slab only - 2 coats (per side),2,$78.30 ,BF<,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$92.83 ,28,$92.83 ,UINT_1_ENTR2,PNT,Paint door/window trim & jamb - 2 coats (per side),2,$79.68 ,DORT,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$48.88 ,29,$48.88 ,UINT_1_ENTR2,FNC,Closet shelf and rod package - Detach & reset,3,$48.88 ,CLOSRS,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$75.18 ,30,$75.18 ,UINT_1_ENTR2,PNT,Seal & paint closet shelving - single shelf,1,$64.54 ,CLOS,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$65.71 ,31,$65.71 ,UINT_1_ENTR2,FNC,"Shelving - 12"" - in place",4,$57.82 ,SH12,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$53.63 ,32,$53.63 ,UINT_1_ENTR2,PNT,Seal & paint closet shelving,4,$46.03 ,CLOSLF,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$75.39 ,33,$75.39 ,UINT_1_ENTR2,FNC,"Shelving - 12"" - in place",6,$75.39 ,SH12,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$80.44 ,34,$80.44 ,UINT_1_ENTR2,PNT,Seal & paint closet shelving,6,$69.04 ,CLOSLF,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$69.91 ,"3,277",$69.91 ,UINT_1_ENTR2,FNH,Door peep hole,2,$65.09 ,PEEP,1/13/25,25.7.31 | 11:14AM,,,
$0.00 ,100%,"$1,225.33 ","3,279","$1,225.33 ",UINT_1_ENTR2,DOR,Exterior door - metal - insulated / wood - High grade,1,"$1,076.81 ",X+,1/13/25,25.7.31 | 11:14AM,,,
$0.00 ,100%,$200.57 ,"3,282",$200.57 ,UINT_1_ENTR2,FNH,Door lockset & deadbolt - exterior - High grade,1,$178.73 ,DBX+,11/22/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$470.93 ,"3,281",$470.93 ,UINT_1_ENTR2,DOR,Bifold door set - Colonist - Double,1,$415.31 ,BF,1/14/25,25.7.31 | 11:14AM,,,
$0.00 ,100%,$491.14 ,"3,283",$491.14 ,UINT_1_ENTR2,DOR,Additional charge for a retrofit exterior door - difficult,1,$446.12 ,XRETR+,2/16/25,25.7.31 | 11:14AM,,,
$0.00 ,100%,$29.50 ,"3,284",$29.50 ,UINT_1_ENTR2,EQC,"Door numbers/letters - plastic or metal - up to 4""",1,$27.39 ,SNDN,11/22/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$46.92 ,"3,285",$46.92 ,UINT_1_ENTR2,ELE,Door bell/chime button (button only),1,$42.85 ,CBUTTON,11/22/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$458.17 ,"3,793",$458.17 ,UINT_1_ENTR2,WTR,Dehumidifier (per 24 hr period)- 110-159 ppd - No monitor.,3,$458.17 ,DHM>>,1/13/25,25.7.31 | 11:2AM,,,
$0.00 ,100%,$313.20 ,"3,794",$313.20 ,UINT_1_ENTR2,WTR,Air mover (per 24 hour period) - No monitoring,9,$313.20 ,DRY,1/13/25,25.7.31 | 11:2AM,,,
$0.00 ,100%,$228.50 ,37,$228.50 ,UNIT_1_HALL2,WTR,Muck-out/Flood loss cleanup - Heavy,36.8,$228.50 ,MUCK+,6/19/25,25.7.31 | 11:2AM,,,
$0.00 ,100%,$24.86 ,38,$24.86 ,UNIT_1_HALL2,WTR,Apply anti-microbial agent to the floor,36.8,$24.86 ,GRM,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$452.24 ,39,$452.24 ,UNIT_1_HALL2,FCV,Vinyl plank flooring - High grade,36.8,$411.27 ,PLK+,11/24/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$158.27 ,40,$158.27 ,UNIT_1_HALL2,FCW,Add for glued down vinyl flooring application over concrete,36.8,$158.27 ,GADDC,11/24/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$82.15 ,41,$82.15 ,UNIT_1_HALL2,WTR,Apply anti-microbial agent to part of the walls,121.5,$82.15 ,GRM,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$162.06 ,42,$162.06 ,UNIT_1_HALL2,CLN,Clean stud wall,121.5,$162.06 ,STD,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$192.40 ,43,$192.40 ,UNIT_1_HALL2,WTR,"Tear out wet drywall, no bagging, per LF - up to 4' tall",29.4,$192.40 ,DRYN4,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$648.06 ,44,$648.06 ,UNIT_1_HALL2,DRY,"1/2"" - drywall per LF - up to 4' tall",29.4,$567.05 ,LF>,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$214.37 ,45,$214.37 ,UNIT_1_HALL2,PNT,Seal/prime (1 coat) then paint (1 coat) part of the walls,151.9,$184.00 ,SP,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$27.73 ,46,$27.73 ,UNIT_1_HALL2,PNT,Scrape part of the walls & prep for paint,30.4,$27.73 ,SCRP,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$309.15 ,47,$309.15 ,UNIT_1_HALL2,DRY,Texture drywall - heavy hand texture,151.9,$270.51 ,TEX+,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$330.07 ,48,$330.07 ,UNIT_1_HALL2,PNT,Paint the walls - one coat,243,$283.31 ,P,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$44.00 ,49,$44.00 ,UNIT_1_HALL2,WTR,Tear out baseboard- up to Cat 3,29.4,$44.00 ,BASEB,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$166.14 ,50,$166.14 ,UNIT_1_HALL2,FNC,"Baseboard - 3 1/4""",29.4,$148.14 ,B3,11/24/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$61.88 ,51,$61.88 ,UNIT_1_HALL2,PNT,Paint baseboard - two coats,29.4,$53.12 ,B2,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$76.76 ,52,$76.76 ,UNIT_1_HALL2,FNC,Base shoe,29.4,$69.36 ,SHOE,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$34.23 ,53,$34.23 ,UNIT_1_HALL2,PNT,Seal & paint base shoe or quarter round,29.4,$29.38 ,SHOE,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$137.56 ,54,$137.56 ,UNIT_1_HALL2,FNC,"Casing - 3 1/4"" stain grade",20,$124.55 ,C>+,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$42.58 ,55,$42.58 ,UNIT_1_HALL2,PNT,Paint casing - two coats,20,$36.55 ,C2,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$470.41 ,56,$470.41 ,UNIT_1_HALL2,DOR,Interior door unit,1,$415.66 ,AV,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$111.59 ,57,$111.59 ,UNIT_1_HALL2,PNT,Paint door slab only - 2 coats (per side),2,$95.78 ,DOR,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$92.83 ,58,$92.83 ,UNIT_1_HALL2,PNT,Paint door/window trim & jamb - 2 coats (per side),2,$79.68 ,DORT,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$78.48 ,59,$78.48 ,UNIT_1_HALL2,FNH,Door knob - interior,1,$71.36 ,DORH,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$98.55 ,60,$98.55 ,UNIT_1_HALL2,FNC,"Shelving - 12"" - in place",6,$86.72 ,SH12,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$80.44 ,61,$80.44 ,UNIT_1_HALL2,PNT,Seal & paint closet shelving,6,$69.04 ,CLOSLF,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$113.09 ,62,$113.09 ,UNIT_1_HALL2,FNC,"Shelving - 12"" - in place",9,$113.09 ,SH12,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$120.68 ,63,$120.68 ,UNIT_1_HALL2,PNT,Seal & paint closet shelving,9,$103.59 ,CLOSLF,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$396.89 ,"3,287",$396.89 ,UNIT_1_HALL2,FNC,"Trim board - 1"" x 4"" - installed (pine)",64,$358.63 ,1X4,1/13/25,25.7.31 | 11:14AM,,,
$0.00 ,100%,$508.92 ,"3,288",$508.92 ,UNIT_1_HALL2,MPR,Caulking - acrylic,128,$445.30 ,CLKA,1/13/25,25.7.31 | 11:14AM,,,
$0.00 ,100%,$152.87 ,"3,289",$152.87 ,UNIT_1_HALL2,PNT,Seal (1 coat) & paint (1 coat) trim,64,$131.22 ,TRIM,1/13/25,25.7.31 | 11:5AM,,,
$0.00 ,100%,$921.96 ,66,$921.96 ,UNIT_1FRONT2,WTR,Muck-out/Flood loss cleanup - Heavy,148.3,$921.96 ,MUCK+,6/19/25,25.7.31 | 11:2AM,,Install 1 ea light labor only,
$0.00 ,100%,$100.30 ,67,$100.30 ,UNIT_1FRONT2,WTR,Apply anti-microbial agent to the floor,148.3,$100.30 ,GRM,11/24/24,25.7.31 | 11:2AM,,Install 1 ea smoke detector,
$0.00 ,100%,"$1,824.67 ",68,"$1,824.67 ",UNIT_1FRONT2,FCV,Vinyl plank flooring - High grade,148.3,"$1,659.39 ",PLK+,11/24/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$638.54 ,69,$638.54 ,UNIT_1FRONT2,FCW,Add for glued down vinyl flooring application over concrete,148.3,$638.54 ,GADDC,11/24/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$167.71 ,70,$167.71 ,UNIT_1FRONT2,WTR,Apply anti-microbial agent to part of the walls,248,$167.71 ,GRM,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$330.77 ,71,$330.77 ,UNIT_1FRONT2,CLN,Clean stud wall,248,$330.77 ,STD,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$405.48 ,72,$405.48 ,UNIT_1FRONT2,WTR,"Tear out wet drywall, no bagging, per LF - up to 4' tall",62,$405.48 ,DRYN4,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,"$1,365.69 ",73,"$1,365.69 ",UNIT_1FRONT2,DRY,"1/2"" - drywall per LF - up to 4' tall",62,"$1,194.98 ",LF>,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$437.51 ,74,$437.51 ,UNIT_1FRONT2,PNT,Seal/prime (1 coat) then paint (1 coat) part of the walls,310,$375.53 ,SP,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$56.58 ,75,$56.58 ,UNIT_1FRONT2,PNT,Scrape part of the walls & prep for paint,62,$56.58 ,SCRP,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$630.95 ,76,$630.95 ,UNIT_1FRONT2,DRY,Texture drywall - heavy hand texture,310,$552.08 ,TEX+,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$673.70 ,77,$673.70 ,UNIT_1FRONT2,PNT,Paint the walls - one coat,496,$578.26 ,P,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$92.72 ,78,$92.72 ,UNIT_1FRONT2,WTR,Tear out baseboard- up to Cat 3,62,$92.72 ,BASEB,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$350.09 ,79,$350.09 ,UNIT_1FRONT2,FNC,"Baseboard - 3 1/4""",62,$312.17 ,B3,11/24/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$130.40 ,80,$130.40 ,UNIT_1FRONT2,PNT,Paint baseboard - two coats,62,$111.93 ,B2,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$161.74 ,81,$161.74 ,UNIT_1FRONT2,FNC,Base shoe,62,$146.16 ,SHOE,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$72.15 ,82,$72.15 ,UNIT_1FRONT2,PNT,Seal & paint base shoe or quarter round,62,$61.93 ,SHOE,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$470.41 ,83,$470.41 ,UNIT_1FRONT2,DOR,Interior door unit,1,$415.66 ,AV,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$111.59 ,84,$111.59 ,UNIT_1FRONT2,PNT,Paint door slab only - 2 coats (per side),2,$95.78 ,DOR,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$92.83 ,85,$92.83 ,UNIT_1FRONT2,PNT,Paint door/window trim & jamb - 2 coats (per side),2,$79.68 ,DORT,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$78.48 ,86,$78.48 ,UNIT_1FRONT2,FNH,Door knob - interior,1,$71.36 ,DORH,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$469.96 ,87,$469.96 ,UNIT_1FRONT2,DOR,Bifold door set - Colonist - Double,1,$414.46 ,BF,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$374.61 ,88,$374.61 ,UNIT_1FRONT2,FNC,"Door opening (jamb & casing) - 36""to60""wide - stain grade",1,$329.14 ,DOP>+,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$151.31 ,89,$151.31 ,UNIT_1FRONT2,PNT,Paint bifold door set - slab only - 2 coats (per side),2,$129.88 ,BF,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$109.23 ,90,$109.23 ,UNIT_1FRONT2,PNT,Paint door/window trim & jamb - Large - 2 coats (per side),2,$93.76 ,DORT>,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$97.78 ,91,$97.78 ,UNIT_1FRONT2,FNC,Closet shelf and rod package - Detach & reset,6,$97.78 ,CLOSRS,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$75.18 ,92,$75.18 ,UNIT_1FRONT2,PNT,Seal & paint closet shelving - single shelf,1,$64.54 ,CLOS,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,"$1,438.24 ",93,"$1,438.24 ",UNIT_1FRONT2,CAB,Cabinetry - full height unit,3,"$1,287.49 ",FH,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$458.17 ,"3,949",$458.17 ,UNIT_1FRONT2,WTR,Dehumidifier (per 24 hr period)- 110-159 ppd - No monitor.,3,$458.17 ,DHM>>,1/13/25,25.7.31 | 11:2AM,,,
$0.00 ,100%,$313.20 ,"3,950",$313.20 ,UNIT_1FRONT2,WTR,Air mover (per 24 hour period) - No monitoring,9,$313.20 ,DRY,1/13/25,25.7.31 | 11:2AM,,,
$0.00 ,100%,$150.24 ,96,$150.24 ,UNIT_1_BATH,WTR,Muck-out/Flood loss cleanup - Heavy,24.2,$150.24 ,MUCK+,6/19/25,25.7.31 | 11:2AM,,,
$0.00 ,100%,$16.34 ,97,$16.34 ,UNIT_1_BATH,WTR,Apply anti-microbial agent to the floor,24.2,$16.34 ,GRM,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$297.35 ,98,$297.35 ,UNIT_1_BATH,FCV,Vinyl plank flooring - High grade,24.2,$270.42 ,PLK+,11/24/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$104.06 ,99,$104.06 ,UNIT_1_BATH,FCW,Add for glued down vinyl flooring application over concrete,24.2,$104.06 ,GADDC,11/24/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$39.69 ,100,$39.69 ,UNIT_1_BATH,WTR,Apply anti-microbial agent to part of the walls,58.7,$39.69 ,GRM,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$78.24 ,101,$78.24 ,UNIT_1_BATH,CLN,Clean stud wall,58.7,$78.24 ,STD,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$95.95 ,102,$95.95 ,UNIT_1_BATH,WTR,"Tear out wet drywall, no bagging, per LF - up to 4' tall",14.7,$95.95 ,DRYN4,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$323.15 ,103,$323.15 ,UNIT_1_BATH,DRY,"1/2"" - drywall per LF - up to 4' tall",14.7,$282.76 ,LF>,11/24/24,25.7.31 | 11:3AM,,,Add 2 ea. sheetrock patches to POL for ceiling with texture and paint due to plumbing and electrial.
$0.00 ,100%,$103.50 ,104,$103.50 ,UNIT_1_BATH,PNT,Seal/prime (1 coat) then paint (1 coat) part of the walls,73.3,$88.84 ,SP,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$13.40 ,105,$13.40 ,UNIT_1_BATH,PNT,Scrape part of the walls & prep for paint,14.7,$13.40 ,SCRP,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$149.25 ,106,$149.25 ,UNIT_1_BATH,DRY,Texture drywall - heavy hand texture,73.3,$130.59 ,TEX+,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$159.37 ,107,$159.37 ,UNIT_1_BATH,PNT,Paint the walls - one coat,117.3,$136.79 ,P,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$21.92 ,108,$21.92 ,UNIT_1_BATH,WTR,Tear out baseboard- up to Cat 3,14.7,$21.92 ,BASEB,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$82.84 ,109,$82.84 ,UNIT_1_BATH,FNC,"Baseboard - 3 1/4""",14.7,$73.86 ,B3,11/24/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$30.85 ,110,$30.85 ,UNIT_1_BATH,PNT,Paint baseboard - two coats,14.7,$26.48 ,B2,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$470.41 ,111,$470.41 ,UNIT_1_BATH,DOR,Interior door unit,1,$415.66 ,AV,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$111.59 ,112,$111.59 ,UNIT_1_BATH,PNT,Paint door slab only - 2 coats (per side),2,$95.78 ,DOR,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$92.83 ,113,$92.83 ,UNIT_1_BATH,PNT,Paint door/window trim & jamb - 2 coats (per side),2,$79.68 ,DORT,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$78.48 ,114,$78.48 ,UNIT_1_BATH,FNH,Door knob - interior,1,$71.36 ,DORH,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$431.09 ,115,$431.09 ,UNIT_1_BATH,PLM,Toilet,1,$431.09 ,TLT,11/25/24,25.7.31 | 11:3AM,,Install new toilet,
$0.00 ,100%,$38.27 ,116,$38.27 ,UNIT_1_BATH,CLN,Clean toilet,1,$38.27 ,TLT,11/25/24,25.7.31 | 11:3AM,,Install new vent fan,
$0.00 ,100%,"$1,749.56 ",117,"$1,749.56 ",UNIT_1_BATH,CAB,Vanity - High grade,4,"$1,565.63 ",VAN+,11/25/24,25.7.31 | 11:14AM,RO Owner completed. Material and install only,,
$0.00 ,100%,$748.63 ,118,$748.63 ,UNIT_1_BATH,CAB,Countertop - solid surface,8,$673.97 ,CTSS,11/25/24,25.7.31 | 11:14AM,RO Owner completed. Material and install only,,
$0.00 ,100%,$77.40 ,119,$77.40 ,UNIT_1_BATH,TBA,Bathroom mirror - Detach & reset,6,$77.40 ,MIRRS,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$265.22 ,120,$265.22 ,UNIT_1_BATH,PLM,Sink - single,1,$265.22 ,SNK,11/25/24,25.7.31 | 11:3AM,,Install new sink facuet,
$0.00 ,100%,$119.69 ,121,$119.69 ,UNIT_1_BATH,PLM,P-trap assembly - ABS (plastic),1,$108.12 ,PTRAP,11/25/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$217.95 ,122,$217.95 ,UNIT_1_BATH,PLM,Angle stop valve,3,$197.14 ,STOP,11/25/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$86.77 ,123,$86.77 ,UNIT_1_BATH,PLM,Water supply line,2,$77.88 ,SL1,11/25/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$29.39 ,124,$29.39 ,UNIT_1_BATH,PLM,Wax Ring,1,$26.92 ,TLTFL,11/25/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$23.38 ,125,$23.38 ,UNIT_1_BATH,FNH,Towel bar,1,$23.38 ,TBAR,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$43.03 ,126,$43.03 ,UNIT_1_BATH,FNH,Toilet paper holder,1,$39.31 ,TP,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$47.77 ,"3,302",$47.77 ,UNIT_1_BATH,WDT,Window blind - horizontal or vertical - Detach & reset,1,$47.77 ,BLNDRS,11/2/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$68.64 ,"3,304",$68.64 ,UNIT_1_BATH,MSD,Mirror - framed - High grade,8,$68.64 ,AVF+,1/13/25,25.7.31 | 11:14AM,,,
