#,Group Code,Group Description,Desc,Age,Condition,Qty,Item Amount,Reported Cost,Unit Cost,Coverage,Sales Tax,RCV,Life,Depreciation Type,Depreciation Amount,Recoverable,ACV,Tax,Replace,Cat,Sel,Owner,Original Vendor,Date
53,,,Suspended ceiling tile - Premium grade - 2' x 4',0,Average,0,0,0,4.2,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,ST++,PAULGAGN,,11/2/20
54,,,Suspended ceiling tile - 2' x 2',0,Average,0,0,0,2.69,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,ST2,PAULGAGN,,11/2/20
55,,,Suspended ceiling tile - Standard grade - 2' x 2',0,Average,0,0,0,2.09,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,ST2-,PAULGAGN,,11/2/20
56,,,Suspended ceiling tile - High grade - 2' x 2',0,Average,0,0,0,3.19,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,ST2+,PAULGAGN,,11/2/20
57,,,Suspended ceiling tile - Premium grade - 2' x 2',0,Average,0,0,0,5.15,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,ST2++,PAULGAGN,,11/2/20
58,,,Suspended ceiling tile for clean room/kitchen - 2' x 4',0,Average,0,0,0,5.2,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,STCL,PAULGAGN,,11/2/20
59,,,Suspended ceiling tile for clean room/kitchen - 2' x 2',0,Average,0,0,0,6.4,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,STCL2,PAULGAGN,,11/2/20
60,,,Suspended ceiling system - 2' x 4',0,Average,0,0,0,4.47,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,STG,PAULGAGN,,11/2/20
61,,,Suspended ceiling system - Standard grade - 2' x 4',0,Average,0,0,0,4.09,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,STG-,PAULGAGN,,11/2/20
62,,,Suspended ceiling system - High grade - 2' x 4',0,Average,0,0,0,5.31,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,STG+,PAULGAGN,,11/2/20
63,,,Suspended ceiling system - Premium grade - 2' x 4',0,Average,0,0,0,6.59,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,STG++,PAULGAGN,,11/2/20
64,,,Suspended ceiling system - 2' x 2',0,Average,0,0,0,5.1,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,STG2,PAULGAGN,,11/2/20
65,,,Suspended ceiling system - Standard grade - 2' x 2',0,Average,0,0,0,4.5,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,STG2-,PAULGAGN,,11/2/20
66,,,Suspended ceiling system - High grade - 2' x 2',0,Average,0,0,0,5.73,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,STG2+,PAULGAGN,,11/2/20
67,,,Suspended ceiling system - Premium grade - 2' x 2',0,Average,0,0,0,7.99,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,STG2++,PAULGAGN,,11/2/20
68,,,Suspended ceiling system - 2' x 2' fabric covered,0,Average,0,0,0,15.44,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,STGF2,PAULGAGN,,11/2/20
69,,,Suspended ceiling system - Linear metal strip,0,Average,0,0,0,15.64,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,STGLIN,PAULGAGN,,11/2/20
70,,,Suspended ceiling tile - Detach & reset,0,Average,0,0,0,0.83,,0,0,0,Percent,0,Yes,0,Yes,No,ACT,STRS,PAULGAGN,,11/2/20
71,,,Tin ceiling cornice - embossed - unpainted,0,Average,0,0,0,5.14,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,TINCC,PAULGAGN,,11/2/20
72,,,Tin ceiling cornice - embossed - factory painted,0,Average,0,0,0,6.65,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,TINCC+,PAULGAGN,,11/2/20
73,,,Tin ceiling cornice - embossed - chrome/brass/copper,0,Average,0,0,0,10.69,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,TINCC++,PAULGAGN,,11/2/20
74,,,Tin ceiling panel - embossed - unpainted,0,Average,0,0,0,4.6,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,TINCP,PAULGAGN,,11/2/20
75,,,Tin ceiling panel - embossed - factory painted,0,Average,0,0,0,5.89,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,TINCP+,PAULGAGN,,11/2/20
76,,,Tin ceiling panel - embossed - chrome/brass/copper,0,Average,0,0,0,10.45,,0,0,150,Percent,0,Yes,0,Yes,No,ACT,TINCP++,PAULGAGN,,11/2/20
77,,,Tin ceiling panel - embossed - Detach & reset,0,Average,0,0,0,1.15,,0,0,0,Percent,0,Yes,0,Yes,No,ACT,TINCPRS,PAULGAGN,,11/2/20
78,,,Gas can,0,Average,1,29,0,29,,2.81,31.81,10,Percent,0,Yes,31.81,Yes,No,AMA,AAGC,PAULGAGN,,11/2/20
79,,,Gas can - Standard grade,0,Average,1,16,0,16,,1.55,17.55,10,Percent,0,Yes,17.55,Yes,No,AMA,AAGC-,PAULGAGN,,11/2/20
80,,,Gas can - High grade,0,Average,1,55,0,55,,5.33,60.33,10,Percent,0,Yes,60.33,Yes,No,AMA,AAGC+,PAULGAGN,,11/2/20
81,,,Automobile Rim,0,Average,1,160,0,160,,15.51,175.51,10,Percent,0,Yes,175.51,Yes,No,AMA,AAMR,PAULGAGN,,11/2/20
82,,,Automobile Rim - Standard grade,0,Average,1,80,0,80,,7.76,87.76,10,Percent,0,Yes,87.76,Yes,No,AMA,AAMR-,PAULGAGN,,11/2/20
83,,,Automobile Rim - High grade,0,Average,1,540,0,540,,52.35,592.35,10,Percent,0,Yes,592.35,Yes,No,AMA,AAMR+,PAULGAGN,,11/2/20
84,,,Appearance allowance - AMA - Enter price,0,Average,1,0,0,0,,0,0,0,Percent,0,Yes,0,Yes,No,AMA,ALLOW,PAULGAGN,,11/2/20
85,,,Auto & motorcycle accessories - Enter price,0,Average,1,0,0,0,,0,0,10,Percent,0,Yes,0,Yes,No,AMA,AMA,PAULGAGN,,11/2/20
86,,,Automotive working parts - Enter price,0,Average,1,0,0,0,,0,0,5,Percent,0,Yes,0,Yes,No,AMA,AMAP,PAULGAGN,,11/2/20
87,,,Trailers - Enter price,0,Average,1,0,0,0,,0,0,20,Percent,0,Yes,0,Yes,No,AMA,AMAT,PAULGAGN,,11/2/20
88,,,Motorcycle / Scooter / ATV cover,0,Average,1,35,0,35,,3.39,38.39,10,Percent,0,Yes,38.39,Yes,No,AMA,AMMC,PAULGAGN,,11/2/20
89,,,Motorcycle / Scooter / ATV cover - Standard grade,0,Average,1,20,0,20,,1.94,21.94,10,Percent,0,Yes,21.94,Yes,No,AMA,AMMC-,PAULGAGN,,11/2/20
90,,,Motorcycle / Scooter / ATV cover - High grade,0,Average,1,115,0,115,,11.15,126.15,10,Percent,0,Yes,126.15,Yes,No,AMA,AMMC+,PAULGAGN,,11/2/20
91,,,Motorcycle / Scooter / ATV eyewear,0,Average,1,40,0,40,,3.88,43.88,10,Percent,0,Yes,43.88,Yes,No,AMA,AMME,PAULGAGN,,11/2/20
92,,,Motorcycle / Scooter / ATV eyewear - Standard grade,0,Average,1,15,0,15,,1.45,16.45,10,Percent,0,Yes,16.45,Yes,No,AMA,AMME-,PAULGAGN,,11/2/20
93,,,Motorcycle / Scooter / ATV eyewear - High grade,0,Average,1,117,0,117,,11.34,128.34,10,Percent,0,Yes,128.34,Yes,No,AMA,AMME+,PAULGAGN,,11/2/20
94,,,Motorcycle / Scooter / ATV gloves,0,Average,1,37,0,37,,3.59,40.59,10,Percent,0,Yes,40.59,Yes,No,AMA,AMMG,PAULGAGN,,11/2/20
95,,,Motorcycle / Scooter / ATV gloves - Standard grade,0,Average,1,18,0,18,,1.75,19.75,10,Percent,0,Yes,19.75,Yes,No,AMA,AMMG-,PAULGAGN,,11/2/20
96,,,Motorcycle / Scooter / ATV gloves - High grade,0,Average,1,120,0,120,,11.63,131.63,10,Percent,0,Yes,131.63,Yes,No,AMA,AMMG+,PAULGAGN,,11/2/20
97,,,Motorcycle / Scooter / ATV helmet,0,Average,1,166,0,166,,16.09,182.09,10,Percent,0,Yes,182.09,Yes,No,AMA,AMMH,PAULGAGN,,11/2/20
98,,,Motorcycle / Scooter / ATV helmet - Standard grade,0,Average,1,75,0,75,,7.27,82.27,10,Percent,0,Yes,82.27,Yes,No,AMA,AMMH-,PAULGAGN,,11/2/20
99,,,Motorcycle / Scooter / ATV helmet - High grade,0,Average,1,500,0,500,,48.48,548.48,10,Percent,0,Yes,548.48,Yes,No,AMA,AMMH+,PAULGAGN,,11/2/20
100,,,Vehicle tire - Enter price,0,Average,1,0,0,0,,0,0,10,Percent,0,Yes,0,Yes,No,AMA,AMVT,PAULGAGN,,11/2/20
101,,,Car bike carrier / rack,0,Average,1,200,0,200,,19.39,219.39,10,Percent,0,Yes,219.39,Yes,No,AMA,BKC,PAULGAGN,,11/2/20
102,,,Car bike carrier / rack - Standard grade,0,Average,1,70,0,70,,6.79,76.79,10,Percent,0,Yes,76.79,Yes,No,AMA,BKC-,PAULGAGN,,11/2/20
103,,,Car bike carrier / rack - High grade,0,Average,1,450,0,450,,43.63,493.63,10,Percent,0,Yes,493.63,Yes,No,AMA,BKC+,PAULGAGN,,11/2/20
104,,,Keychain,0,Average,1,9,0,9,,0.87,9.87,10,Percent,0,Yes,9.87,Yes,No,AMA,KCH,PAULGAGN,,11/2/20
105,,,Keychain - Standard grade,0,Average,1,4,0,4,,0.39,4.39,10,Percent,0,Yes,4.39,Yes,No,AMA,KCH-,PAULGAGN,,11/2/20
106,,,Keychain - High grade,0,Average,1,22,0,22,,2.13,24.13,10,Percent,0,Yes,24.13,Yes,No,AMA,KCH+,PAULGAGN,,11/2/20
107,,,Restore and repair - AMA - Enter price,0,Average,1,0,0,0,,0,0,0,Percent,0,Yes,0,Yes,No,AMA,RSTR,PAULGAGN,,11/2/20
108,,,Truck tool box,0,Average,1,350,0,350,,33.93,383.93,10,Percent,0,Yes,383.93,Yes,No,AMA,TBTB,PAULGAGN,,11/2/20
109,,,Truck tool box - Standard grade,0,Average,1,195,0,195,,18.91,213.91,10,Percent,0,Yes,213.91,Yes,No,AMA,TBTB-,PAULGAGN,,11/2/20
110,,,Truck tool box - High grade,0,Average,1,600,0,600,,58.17,658.17,10,Percent,0,Yes,658.17,Yes,No,AMA,TBTB+,PAULGAGN,,11/2/20
111,,,Tie-down,0,Average,1,18,0,18,,1.75,19.75,10,Percent,0,Yes,19.75,Yes,No,AMA,TDRS,PAULGAGN,,11/2/20
112,,,Tie-down / Bungee - Standard grade,0,Average,1,9,0,9,,0.87,9.87,10,Percent,0,Yes,9.87,Yes,No,AMA,TDRS-,PAULGAGN,,11/2/20
113,,,Tie-down - High grade,0,Average,1,45,0,45,,4.36,49.36,10,Percent,0,Yes,49.36,Yes,No,AMA,TDRS+,PAULGAGN,,11/2/20
114,,,Open utility trailer <16',0,Average,1,"1,300.00",0,"1,300.00",,126.04,1426.04,20,Percent,0,Yes,"1,426.04",Yes,No,AMA,TRLO,PAULGAGN,,11/2/20
115,,,Open utility trailer <16' - Standard grade,0,Average,1,580,0,580,,56.23,636.23,20,Percent,0,Yes,636.23,Yes,No,AMA,TRLO-,PAULGAGN,,11/2/20
116,,,Open utility trailer <16' - High grade,0,Average,1,"2,650.00",0,"2,650.00",,256.92,2906.92,20,Percent,0,Yes,"2,906.92",Yes,No,AMA,TRLO+,PAULGAGN,,11/2/20
117,,,Antique firearm - Enter price,0,Average,1,0,0,0,,0,0,0,Percent,0,Yes,0,Yes,No,ANT,AGUN,PAULGAGN,,11/2/20
118,,,Antique book - Enter price,0,Average,1,0,0,0,,0,0,0,Percent,0,Yes,0,Yes,No,ANT,BOOK,PAULGAGN,,11/2/20
119,,,Antique furniture - Enter price,0,Average,1,0,0,0,,0,0,0,Percent,0,Yes,0,Yes,No,ANT,FURN,PAULGAGN,,11/2/20
120,,,Window air conditioner/heater,0,Average,1,275,0,275,,26.66,301.66,10,Percent,0,Yes,301.66,Yes,No,APM,ACWA,PAULGAGN,,11/2/20
121,,,Portable air conditioner,0,Average,1,399.99,0,399.99,,38.78,438.77,10,Percent,0,Yes,438.77,Yes,No,APM,ACPT,PAULGAGN,,11/2/20
122,,,Portable air conditioner - Standard grade,0,Average,1,265,0,265,,25.69,290.69,10,Percent,0,Yes,290.69,Yes,No,APM,ACPT-,PAULGAGN,,11/2/20
123,,,Portable air conditioner - High grade,0,Average,1,600,0,600,,58.17,658.17,10,Percent,0,Yes,658.17,Yes,No,APM,ACPT+,PAULGAGN,,11/2/20
124,,,Window air conditioner/heater - Standard grade,0,Average,1,175,0,175,,16.97,191.97,10,Percent,0,Yes,191.97,Yes,No,APM,ACWA-,PAULGAGN,,11/2/20
125,,,Window air conditioner/heater - High grade,0,Average,1,468,0,468,,45.37,513.37,10,Percent,0,Yes,513.37,Yes,No,APM,ACWA+,PAULGAGN,,11/2/20
126,,,Window air conditioner/heater - Premium grade,0,Average,1,650,0,650,,63.02,713.02,10,Percent,0,Yes,713.02,Yes,No,APM,ACWA++,PAULGAGN,,11/2/20
127,,,Appearance allowance - APM - Enter price,0,Average,1,0,0,0,,0,0,0,Percent,0,Yes,0,Yes,No,APM,ALLOW,PAULGAGN,,11/2/20
128,,,Major appliances - Enter price,0,Average,1,0,0,0,,0,0,10,Percent,0,Yes,0,Yes,No,APM,APM,PAULGAGN,,11/2/20
129,,,Electric ranges / Ovens - Enter price,0,Average,1,0,0,0,,0,0,13,Percent,0,Yes,0,Yes,No,APM,APMER,PAULGAGN,,11/2/20
130,,,Gas ranges / Ovens - Enter price,0,Average,1,0,0,0,,0,0,15,Percent,0,Yes,0,Yes,No,APM,APMGR,PAULGAGN,,11/2/20
131,,,Icemakers - Enter price,0,Average,1,0,0,0,,0,0,13,Percent,0,Yes,0,Yes,No,APM,APMI,PAULGAGN,,11/2/20
132,,,Refrigerators - Enter price,0,Average,1,0,0,0,,0,0,14,Percent,0,Yes,0,Yes,No,APM,APMR,PAULGAGN,,11/2/20
133,,,Dryer - Electric,0,Average,1,780,0,780,,75.62,855.62,10,Percent,0,Yes,855.62,Yes,No,APM,DRYE,PAULGAGN,,11/2/20
134,,,Dryer - Electric - Standard grade,0,Average,1,515,0,515,,49.93,564.93,10,Percent,0,Yes,564.93,Yes,No,APM,DRYE-,PAULGAGN,,11/2/20
135,,,Dryer - Electric - High grade,0,Average,1,980,0,980,,95.01,1075.01,10,Percent,0,Yes,"1,075.01",Yes,No,APM,DRYE+,PAULGAGN,,11/2/20
136,,,Dryer - Electric - Premium grade,0,Average,1,"1,152.00",0,"1,152.00",,111.69,1263.69,10,Percent,0,Yes,"1,263.69",Yes,No,APM,DRYE++,PAULGAGN,,11/2/20
137,,,Dryer - Electric - Deluxe grade,0,Average,1,"1,500.00",0,"1,500.00",,145.43,1645.43,10,Percent,0,Yes,"1,645.43",Yes,No,APM,DRYE+++,PAULGAGN,,11/2/20
138,,,Dryer - Gas,0,Average,1,810,0,810,,78.53,888.53,10,Percent,0,Yes,888.53,Yes,No,APM,DRYG,PAULGAGN,,11/2/20
139,,,Dryer - Gas - Standard grade,0,Average,1,600,0,600,,58.17,658.17,10,Percent,0,Yes,658.17,Yes,No,APM,DRYG-,PAULGAGN,,11/2/20
140,,,Dryer - Gas - High grade,0,Average,1,"1,050.00",0,"1,050.00",,101.8,1151.8,10,Percent,0,Yes,"1,151.80",Yes,No,APM,DRYG+,PAULGAGN,,11/2/20
141,,,Dryer - Gas - Premium grade,0,Average,1,"1,250.00",0,"1,250.00",,121.19,1371.19,10,Percent,0,Yes,"1,371.19",Yes,No,APM,DRYG++,PAULGAGN,,11/2/20
142,,,Dryer - Gas - Deluxe grade,0,Average,1,"1,499.00",0,"1,499.00",,145.33,1644.33,10,Percent,0,Yes,"1,644.33",Yes,No,APM,DRYG+++,PAULGAGN,,11/2/20
143,,,Dishwasher - Portable,0,Average,1,350,0,350,,33.93,383.93,9,Percent,0,Yes,383.93,Yes,No,APM,DWPORT,PAULGAGN,,11/2/20
144,,,Dishwasher - Portable - Standard grade,0,Average,1,250,0,250,,24.24,274.24,9,Percent,0,Yes,274.24,Yes,No,APM,DWPORT-,PAULGAGN,,11/2/20
145,,,Dishwasher - Portable - High grade,0,Average,1,599,0,599,,58.07,657.07,9,Percent,0,Yes,657.07,Yes,No,APM,DWPORT+,PAULGAGN,,11/2/20
146,,,Freezer - Chest,0,Average,1,275,0,275,,26.66,301.66,10,Percent,0,Yes,301.66,Yes,No,APM,FREC,PAULGAGN,,11/2/20
147,,,Freezer - Chest - Standard grade,0,Average,1,170,0,170,,16.48,186.48,10,Percent,0,Yes,186.48,Yes,No,APM,FREC-,PAULGAGN,,11/2/20
148,,,Freezer - Chest - High grade,0,Average,1,425,0,425,,41.2,466.2,10,Percent,0,Yes,466.2,Yes,No,APM,FREC+,PAULGAGN,,11/2/20
149,,,Freezer - Chest - Premium grade,0,Average,1,625,0,625,,60.59,685.59,10,Percent,0,Yes,685.59,Yes,No,APM,FREC++,PAULGAGN,,11/2/20
150,,,Freezer - Chest - Deluxe grade,0,Average,1,900,0,900,,87.26,987.26,10,Percent,0,Yes,987.26,Yes,No,APM,FREC+++,PAULGAGN,,11/2/20
151,,,Freezer - Upright,0,Average,1,625,0,625,,60.59,685.59,10,Percent,0,Yes,685.59,Yes,No,APM,FREU,PAULGAGN,,11/2/20
152,,,Freezer - Upright - Standard grade,0,Average,1,310,0,310,,30.05,340.05,10,Percent,0,Yes,340.05,Yes,No,APM,FREU-,PAULGAGN,,11/2/20
153,,,Freezer - Upright - High grade,0,Average,1,785,0,785,,76.11,861.11,10,Percent,0,Yes,861.11,Yes,No,APM,FREU+,PAULGAGN,,11/2/20
154,,,Freezer - Upright - Premium grade,0,Average,1,900,0,900,,87.26,987.26,10,Percent,0,Yes,987.26,Yes,No,APM,FREU++,PAULGAGN,,11/2/20
155,,,Freezer - Upright - Deluxe grade,0,Average,1,"1,250.00",0,"1,250.00",,121.19,1371.19,10,Percent,0,Yes,"1,371.19",Yes,No,APM,FREU+++,PAULGAGN,,11/2/20
156,,,Refrigerator - top freezer - 14 to 18 cf,0,Average,1,591,0,591,,57.3,648.3,14,Percent,0,Yes,648.3,Yes,No,APM,RF14,PAULGAGN,,11/2/20
157,,,Refrigerator - top freezer - 14 to 18 cf - Standard grade,0,Average,1,533,0,533,,51.67,584.67,14,Percent,0,Yes,584.67,Yes,No,APM,RF14-,PAULGAGN,,11/2/20
158,,,Refrigerator - top freezer - 14 to 18 cf - High grade,0,Average,1,711.66,0,711.66,,69,780.66,14,Percent,0,Yes,780.66,Yes,No,APM,RF14+,PAULGAGN,,11/2/20
159,,,Refrigerator - top freezer - 14 to 18 cf - Premium grade,0,Average,1,930,0,930,,90.16,1020.16,14,Percent,0,Yes,"1,020.16",Yes,No,APM,RF14++,PAULGAGN,,11/2/20
