#,Group Code,Group Description,Desc,Age,Condition,Qty,Item Amount,Reported Cost,Unit Cost,Coverage,Sales Tax,RCV,Life,Depreciation Type,Depreciation Amount,Recoverable,ACV,Tax,Replace,Cat,Sel,Owner,Original Vendor,Date,Unit Location,Note 1,Source Name
11,BUILDING_ROO,Building Roof,Tile roofing - Detach & reset,0.00,Average,23.40,"30,369.69",0.00,"1,297.85",Building,30.63,"$36,480.38",0.00,Age/Condition,0.00,Yes,"36,480.38",Yes,No,RFG,TILRS,PAULGAGN,,2023-01-13,RWGC_20MARSH_CLUB,D&R replaces remove and install line items. Remove line item does not account for handling to preserve tile and assumes destruction upon removal. Install tile does not account for handling either and assumes a simple load on roof and install. This negates the actual work of taking tiles off the roof and stacking while renailing and resetting felt.,
12,BUILDING_ROO,Building Roof,"Tile roofing - Clay - ""S"" or flat tile",33.00,Average,29.25,"25,797.62",0.00,881.97,Building,493.37,"$31,549.19",75.00,Age/Condition,"11,350.95",Yes,"20,198.24",Yes,No,RFG,TIL,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,Additional waste for handling and damage due to removal and reuse expected,Price List Item
13,BUILDING_ROO,Building Roof,Ridge / Hip / Rake cap - tile roofing,33.00,Average,243.55,"5,102.38",0.00,20.95,Building,120.19,"$6,267.07",50.00,Age/Condition,"1,857.07",Yes,"4,410.00",Yes,No,RFG,RIDGT,PAULGAGN,,2017-12-04,RWGC_20MARSH_CLUB,,Price List Item
14,BUILDING_ROO,Building Roof,Hip & ridge nailer board for tile roofing - wood,33.00,Average,243.55,"1,015.60",0.00,4.17,Building,24.72,"$1,248.38",150.00,Age/Condition,223.43,Yes,"1,024.95",Yes,No,RFG,TILNBW,PAULGAGN,,2017-12-04,RWGC_20MARSH_CLUB,,Price List Item
15,BUILDING_ROO,Building Roof,Bird stop - Eave closure strip for tile roofing - clay,33.00,Average,278.63,"1,710.79",0.00,6.14,Building,45.64,"$2,107.71",50.00,Age/Condition,855.40,Yes,"1,252.31",Yes,No,RFG,TILBSC,PAULGAGN,,2017-12-04,RWGC_20MARSH_CLUB,,
16,BUILDING_ROO,Building Roof,Valley metal - (W) profile,33.00,Average,105.73,"1,048.84",0.00,9.92,Building,24.57,"$1,288.11",35.00,Age/Condition,476.84,Yes,811.27,Yes,No,RFG,VMTLW,PAULGAGN,,2022-11-16,RWGC_20MARSH_CLUB,,Price List Item
17,BUILDING_ROO,Building Roof,Step flashing,33.00,Average,3.81,56.92,0.00,14.94,Building,0.53,$68.93,35.00,Age/Condition,28.46,Yes,40.47,Yes,No,RFG,STEP,PAULGAGN,,2017-11-15,RWGC_20MARSH_CLUB,,
18,BUILDING_ROO,Building Roof,Flashing - L flashing - galvanized,33.00,Average,10.58,76.28,0.00,7.21,Building,1.64,$93.50,35.00,Age/Condition,33.38,Yes,60.12,Yes,No,RFG,FLL,PAULGAGN,,2017-12-04,RWGC_20MARSH_CLUB,,Price List Item
19,BUILDING_ROO,Building Roof,Roof vent - off ridge type - 6',33.00,Average,2.00,554.40,0.00,277.20,Building,10.95,$678.43,35.00,Age/Condition,245.63,Yes,432.80,Yes,No,RFG,VENTO6,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
20,BUILDING_ROO,Building Roof,"Flat roof exhaust vent / cap - gooseneck 8""",33.00,Average,1.00,122.89,0.00,122.89,Building,1.89,$149.74,35.00,Age/Condition,54.51,Yes,95.23,Yes,No,RFG,VFGN,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,Price List Item
21,BUILDING_ROO,Building Roof,Roof mount power attic vent - Large,33.00,Average,1.00,382.04,0.00,382.04,Building,11.72,$472.50,30.00,Age/Condition,171.72,Yes,300.78,Yes,No,RFG,PAV>,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
22,FRONT_ELEVAT,Front Elevation,"Tear out wet drywall, cleanup, bag for disposal",33.00,Average,135.00,166.05,0.00,1.23,Building,1.98,$201.65,0.00,Age/Condition,0.00,Yes,201.65,Yes,No,WTR,DRYW,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
23,FRONT_ELEVAT,Front Elevation,"5/8"" drywall - hung, taped, ready for texture",33.00,Average,135.00,395.55,0.00,2.93,Building,6.62,$482.61,150.00,Age/Condition,87.02,Yes,395.59,Yes,No,DRY,5/8-,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
24,FRONT_ELEVAT,Front Elevation,Scrape the surface area & prep for paint,33.00,Average,495.00,381.15,0.00,0.77,Building,0.35,$457.82,15.00,Age/Condition,190.58,Yes,267.24,Yes,No,PNT,SCRP,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
25,FRONT_ELEVAT,Front Elevation,Texture drywall - heavy hand texture,33.00,Average,495.00,846.45,0.00,1.71,Building,6.58,"$1,023.65",150.00,Age/Condition,186.22,Yes,837.43,Yes,No,DRY,TEX+,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
26,FRONT_ELEVAT,Front Elevation,Seal/prime then paint the surface area (2 coats),33.00,Average,495.00,569.25,0.00,1.15,Building,7.97,$692.68,15.00,Age/Condition,284.63,Yes,408.05,Yes,No,PNT,SP,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
27,FRONT_ELEVAT,Front Elevation,Soffit - metal,33.00,Average,98.42,694.85,0.00,7.06,Building,25.42,$864.33,50.00,Age/Condition,324.30,Yes,540.03,Yes,No,SFG,SFTM,PAULGAGN,,2022-11-16,RWGC_20MARSH_CLUB,,Price List Item
28,FRONT_ELEVAT,Front Elevation,Ceiling fan & light - High grade,33.00,Average,3.00,"1,497.54",0.00,499.18,Building,47.25,"$1,853.77",20.00,Age/Condition,705.08,Yes,"1,148.69",Yes,No,LIT,FNL+,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
29,FRONT_ELEVAT,Front Elevation,"Gutter / downspout - aluminum - 6""",33.00,Average,90.92,"1,133.77",0.00,12.47,Building,52.12,"$1,423.07",25.00,Age/Condition,531.43,Yes,891.64,Yes,No,SFG,GUTA>,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
30,RIGHT_ELEVAT,Right Elevation,"Tear out wet drywall, cleanup, bag for disposal",33.00,Average,48.81,60.04,0.00,1.23,Building,0.72,$72.90,0.00,Age/Condition,0.00,Yes,72.90,Yes,No,WTR,DRYW,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
31,RIGHT_ELEVAT,Right Elevation,"5/8"" drywall - hung, taped, ready for texture",33.00,Average,48.81,143.01,0.00,2.93,Building,2.39,$174.48,150.00,Age/Condition,31.46,Yes,143.02,Yes,No,DRY,5/8-,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
32,RIGHT_ELEVAT,Right Elevation,Texture drywall - heavy hand texture,33.00,Average,48.81,83.47,0.00,1.71,Building,0.65,$100.96,150.00,Age/Condition,18.36,Yes,82.60,Yes,No,DRY,TEX+,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
33,RIGHT_ELEVAT,Right Elevation,Seal/prime then paint the surface area (2 coats),33.00,Average,48.81,56.13,0.00,1.15,Building,0.79,$68.30,15.00,Age/Condition,28.07,Yes,40.23,Yes,No,PNT,SP,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
34,RIGHT_ELEVAT,Right Elevation,Soffit - metal,33.00,Average,109.42,772.51,0.00,7.06,Building,28.26,$960.93,50.00,Age/Condition,360.54,Yes,600.39,Yes,No,SFG,SFTM,PAULGAGN,,2022-11-16,RWGC_20MARSH_CLUB,,Price List Item
35,RIGHT_ELEVAT,Right Elevation,Recessed light fixture - High grade,33.00,Average,3.00,544.35,0.00,181.45,Building,11.90,$667.51,20.00,Age/Condition,246.38,Yes,421.13,Yes,No,LIT,RC+,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
36,RIGHT_ELEVAT,Right Elevation,"Gutter / downspout - aluminum - 6""",33.00,Average,82.08,"1,023.54",0.00,12.47,Building,47.06,"$1,284.72",25.00,Age/Condition,479.76,Yes,804.96,Yes,No,SFG,GUTA>,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
37,BACK_ELEVATI,Back Elevation,Soffit - vinyl,33.00,Average,95.17,536.76,0.00,5.64,Building,15.12,$662.24,50.00,Age/Condition,246.02,Yes,416.22,Yes,No,SFG,SFTV,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
38,BACK_ELEVATI,Back Elevation,"Fascia - metal - 6""",33.00,Average,21.58,127.32,0.00,5.90,Building,3.75,$157.29,50.00,Age/Condition,58.05,Yes,99.24,Yes,No,SFG,FACM6,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
39,BACK_ELEVATI,Back Elevation,"Gutter / downspout - aluminum - 6""",33.00,Average,102.33,"1,276.06",0.00,12.47,Building,58.67,"$1,601.67",25.00,Age/Condition,598.12,Yes,"1,003.55",Yes,No,SFG,GUTA>,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
40,LEFT_ELEVATI,Left Elevation,Soffit - metal,33.00,Average,58.92,415.97,0.00,7.06,Building,15.22,$517.43,50.00,Age/Condition,194.14,Yes,323.29,Yes,No,SFG,SFTM,PAULGAGN,,2022-11-16,RWGC_20MARSH_CLUB,,Price List Item
41,LEFT_ELEVATI,Left Elevation,"Fascia - metal - 6""",33.00,Average,10.00,59.00,0.00,5.90,Building,1.74,$72.88,50.00,Age/Condition,26.90,Yes,45.98,Yes,No,SFG,FACM6,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
42,DINING_ROOM2,Dining Room,"Tear out wet drywall, cleanup, bag for disposal",5.00,Average,974.25,"1,198.33",0.00,1.23,Building,14.32,"$1,455.17",0.00,Age/Condition,0.00,Yes,"1,455.17",Yes,No,WTR,DRYW,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
43,DINING_ROOM2,Dining Room,"Tear out wet drywall, cleanup, bag, per LF - up to 2' tall",5.00,Average,32.92,147.48,0.00,4.48,Building,0.95,$178.13,0.00,Age/Condition,0.00,Yes,178.13,Yes,No,WTR,DRYWLF,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
44,DINING_ROOM2,Dining Room,"5/8"" - drywall per LF - up to 2' tall",33.00,Average,32.92,448.04,0.00,13.61,Building,3.66,$542.04,150.00,Age/Condition,98.57,Yes,443.47,Yes,No,DRY,LF5/8,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
45,DINING_ROOM2,Dining Room,"5/8"" drywall - hung, taped, ready for texture",33.00,Average,974.25,"2,854.55",0.00,2.93,Building,47.74,"$3,482.75",150.00,Age/Condition,628.00,Yes,"2,854.75",Yes,No,DRY,5/8-,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
46,DINING_ROOM2,Dining Room,Texture drywall - heavy hand texture,33.00,Average,974.25,"1,665.97",0.00,1.71,Building,12.96,"$2,014.73",150.00,Age/Condition,366.51,Yes,"1,648.22",Yes,No,DRY,TEX+,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
47,DINING_ROOM2,Dining Room,Texture drywall - light hand texture,33.00,Average,98.76,115.55,0.00,1.17,Building,0.55,$139.34,150.00,Age/Condition,25.42,Yes,113.92,Yes,No,DRY,TEX,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
48,DINING_ROOM2,Dining Room,Apply anti-microbial agent to more than the ceiling,5.00,Average,"1,040.09",343.23,0.00,0.33,Building,3.64,$416.23,0.00,Age/Condition,0.00,Yes,416.23,Yes,No,WTR,GRM,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
49,DINING_ROOM2,Dining Room,Tear out and bag wet insulation,5.00,Average,"1,040.09","1,040.09",0.00,1.00,Building,5.82,"$1,255.09",0.00,Age/Condition,0.00,Yes,"1,255.09",Yes,No,WTR,INS,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
50,DINING_ROOM2,Dining Room,"Batt insulation - 6"" - R19 - paper / foil faced",33.00,Average,65.84,73.08,0.00,1.11,Building,3.46,$91.86,150.00,Age/Condition,16.08,Yes,75.78,Yes,No,INS,BTF6,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
51,DINING_ROOM2,Dining Room,"Blown-in insulation - 10"" depth - R26",33.00,Average,974.25,"1,217.81",0.00,1.25,Building,62.74,"$1,536.65",150.00,Age/Condition,267.92,Yes,"1,268.73",Yes,No,INS,BI10,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
52,DINING_ROOM2,Dining Room,"110 volt copper wiring run, box and outlet",33.00,Average,8.00,785.52,0.00,98.19,Building,11.05,$955.91,100.00,Age/Condition,237.39,Yes,718.52,Yes,No,ELE,110,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,Price List Item
53,DINING_ROOM2,Dining Room,Security system - motion detector,5.00,Average,1.00,34.88,0.00,34.88,Building,0.00,$41.86,20.00,Age/Condition,0.00,Yes,41.86,Yes,No,ELE,SECMD,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
54,DINING_ROOM2,Dining Room,Security system - motion detector,5.00,Average,1.00,96.18,0.00,96.18,Building,0.00,$115.42,20.00,Age/Condition,24.05,Yes,91.37,Yes,No,ELE,SECMD,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
55,DINING_ROOM2,Dining Room,Exit sign - wired in,0.00,Average,1.00,82.33,0.00,82.33,Building,0.00,$98.79,20.00,Age/Condition,0.00,Yes,98.79,Yes,No,LIT,EXIT,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
56,DINING_ROOM2,Dining Room,Ceiling fan & light - High grade,5.00,Average,4.00,"1,996.72",0.00,499.18,Building,63.00,"$2,471.66",20.00,Age/Condition,470.05,Yes,"2,001.61",Yes,No,LIT,FNL+,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,Price List Item
57,DINING_ROOM2,Dining Room,Recessed light fixture - High grade,5.00,Average,7.00,"1,270.15",0.00,181.45,Building,27.77,"$1,557.52",20.00,Age/Condition,287.44,Yes,"1,270.08",Yes,No,LIT,RC+,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,Price List Item
58,DINING_ROOM2,Dining Room,Heat/AC register - Mechanically attached,33.00,Average,4.00,118.48,0.00,29.62,Building,2.53,$145.19,25.00,Age/Condition,51.52,Yes,93.67,Yes,No,HVC,REG,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,Price List Item
59,DINING_ROOM2,Dining Room,Tear out baseboard,5.00,Average,32.92,20.74,0.00,0.63,Building,0.00,$24.88,0.00,Age/Condition,0.00,Yes,24.88,Yes,No,WTR,BASE,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
60,DINING_ROOM2,Dining Room,"Baseboard - 4 1/4""",33.00,Average,32.92,176.78,0.00,5.37,Building,6.13,$219.49,150.00,Age/Condition,38.89,Yes,180.60,Yes,No,FNC,B4,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,Price List Item
61,DINING_ROOM2,Dining Room,Clean stud wall - Heavy,5.00,Average,65.84,90.20,0.00,1.37,Building,0.09,$108.35,0.00,Age/Condition,0.00,Yes,108.35,Yes,No,CLN,STD+,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
62,DINING_ROOM2,Dining Room,Seal/prime then paint the ceiling (2 coats),5.00,Average,974.25,"1,120.39",0.00,1.15,Building,15.69,"$1,363.30",15.00,Age/Condition,373.46,Yes,989.84,Yes,No,PNT,SP,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,Price List Item
63,DINING_ROOM2,Dining Room,Seal/prime then paint the walls twice (3 coats),5.00,Average,867.32,"1,370.37",0.00,1.58,Building,22.46,"$1,671.41",15.00,Age/Condition,456.79,Yes,"1,214.62",Yes,No,PNT,SP2,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,Price List Item
64,DINING_ROOM2,Dining Room,Seal & paint baseboard - two coats,5.00,Average,83.66,148.08,0.00,1.77,Building,0.76,$178.62,15.00,Age/Condition,49.36,Yes,129.26,Yes,No,PNT,B1SP,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
65,DINING_ROOM2,Dining Room,"Mask and prep for paint - plastic, paper, tape (per LF)",5.00,Average,116.91,189.39,0.00,1.62,Building,2.21,$229.92,15.00,Age/Condition,63.13,Yes,166.79,Yes,No,PNT,MASKLF,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
66,DINING_ROOM2,Dining Room,"Tear out wet non-salvageable carpet, cut & bag for disp.",5.00,Average,974.25,720.95,0.00,0.74,Building,5.46,$871.71,0.00,Age/Condition,0.00,Yes,871.71,Yes,No,WTR,FCC,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
67,DINING_ROOM2,Dining Room,Glue down carpet - heavy traffic,5.00,Average,"1,120.39","5,725.19",0.00,5.11,Building,341.16,"$7,279.63",10.00,Age/Condition,"2,862.60",Yes,"4,417.03",Yes,No,FCC,GDC,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,15 % waste added for Carpet.,Price List Item
68,DINING_ROOM2,Dining Room,Final cleaning - construction - Commercial,5.00,Average,974.25,253.31,0.00,0.26,Building,0.00,$303.97,0.00,Age/Condition,0.00,Yes,303.97,Yes,No,CLN,FINALC,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,Price List Item
69,DINING_ROOM2,Dining Room,Content Manipulation charge - per hour,5.00,Average,8.00,420.00,0.00,52.50,Building,0.00,$504.00,0.00,Age/Condition,0.00,Yes,504.00,Yes,No,CON,LAB,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
70,MERCHANDISE2,Merchandise,"Tear out wet drywall, cleanup, bag for disposal",5.00,Average,152.22,187.23,0.00,1.23,Building,2.24,$227.35,0.00,Age/Condition,0.00,Yes,227.35,Yes,No,WTR,DRYW,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
71,MERCHANDISE2,Merchandise,"5/8"" drywall - hung, taped, ready for texture",33.00,Average,152.22,446.00,0.00,2.93,Building,7.46,$544.16,150.00,Age/Condition,98.12,Yes,446.04,Yes,No,DRY,5/8-,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
72,MERCHANDISE2,Merchandise,Scrape part of the ceiling & prep for paint,5.00,Average,309.06,237.98,0.00,0.77,Building,0.22,$285.84,15.00,Age/Condition,79.33,Yes,206.51,Yes,No,PNT,SCRP,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
73,MERCHANDISE2,Merchandise,Texture drywall - heavy hand texture,33.00,Average,461.28,788.79,0.00,1.71,Building,6.13,$953.90,150.00,Age/Condition,173.53,Yes,780.37,Yes,No,DRY,TEX+,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
74,MERCHANDISE2,Merchandise,Apply anti-microbial agent to part of the ceiling,5.00,Average,152.22,50.23,0.00,0.33,Building,0.53,$60.90,0.00,Age/Condition,0.00,Yes,60.90,Yes,No,WTR,GRM,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
75,MERCHANDISE2,Merchandise,Tear out and bag wet insulation,5.00,Average,152.22,152.22,0.00,1.00,Building,0.85,$183.69,0.00,Age/Condition,0.00,Yes,183.69,Yes,No,WTR,INS,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
76,MERCHANDISE2,Merchandise,"Blown-in insulation - 10"" depth - R26",33.00,Average,152.22,190.28,0.00,1.25,Building,9.80,$240.10,150.00,Age/Condition,41.86,Yes,198.24,Yes,No,INS,BI10,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
77,MERCHANDISE2,Merchandise,Exit sign - wired in,0.00,Average,1.00,82.33,0.00,82.33,Building,0.00,$98.79,20.00,Age/Condition,0.00,Yes,98.79,Yes,No,LIT,EXIT,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
78,MERCHANDISE2,Merchandise,Fluorescent - one tube - 2' - fixture w/lens,5.00,Average,2.00,240.74,0.00,120.37,Building,5.25,$295.19,20.00,Age/Condition,49.43,Yes,245.76,Yes,No,LIT,FL1-2+,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,Price List Item
79,MERCHANDISE2,Merchandise,Heat/AC register - Mechanically attached,33.00,Average,1.00,29.62,0.00,29.62,Building,0.63,$36.31,25.00,Age/Condition,12.88,Yes,23.43,Yes,No,HVC,REG,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,Price List Item
80,MERCHANDISE2,Merchandise,Seal/prime then paint the ceiling (2 coats),5.00,Average,461.28,530.47,0.00,1.15,Building,7.43,$645.48,15.00,Age/Condition,176.82,Yes,468.66,Yes,No,PNT,SP,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,Price List Item
81,MERCHANDISE2,Merchandise,Seal/prime then paint the walls twice (3 coats),5.00,Average,688.70,"1,088.15",0.00,1.58,Building,17.84,"$1,327.19",15.00,Age/Condition,362.72,Yes,964.47,Yes,No,PNT,SP2,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,Price List Item
82,MERCHANDISE2,Merchandise,Seal & paint baseboard - two coats,5.00,Average,59.95,106.11,0.00,1.77,Building,0.55,$128.00,15.00,Age/Condition,35.37,Yes,92.63,Yes,No,PNT,B1SP,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
83,MERCHANDISE2,Merchandise,"Mask and prep for paint - plastic, paper, tape (per LF)",5.00,Average,86.70,140.45,0.00,1.62,Building,1.64,$170.51,15.00,Age/Condition,46.82,Yes,123.69,Yes,No,PNT,MASKLF,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
84,MERCHANDISE2,Merchandise,"Tear out wet non-salvageable carpet, cut & bag for disp.",5.00,Average,461.28,341.35,0.00,0.74,Building,2.58,$412.73,0.00,Age/Condition,0.00,Yes,412.73,Yes,No,WTR,FCC,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
85,MERCHANDISE2,Merchandise,Glue down carpet - heavy traffic,5.00,Average,530.47,"2,710.70",0.00,5.11,Building,161.53,"$3,446.67",10.00,Age/Condition,"1,355.35",Yes,"2,091.32",Yes,No,FCC,GDC,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,15 % waste added for Carpet.,Price List Item
86,MERCHANDISE2,Merchandise,Final cleaning - construction - Commercial,5.00,Average,461.28,119.93,0.00,0.26,Building,0.00,$143.91,0.00,Age/Condition,0.00,Yes,143.91,Yes,No,CLN,FINALC,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,Price List Item
87,MERCHANDISE2,Merchandise,Content Manipulation charge - per hour,5.00,Average,16.00,840.00,0.00,52.50,Building,0.00,"$1,008.00",0.00,Age/Condition,0.00,Yes,"1,008.00",Yes,No,CON,LAB,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
88,OFFICE,Office,"Tear out wet drywall, cleanup, bag for disposal",5.00,Average,27.23,33.49,0.00,1.23,Building,0.40,$40.67,0.00,Age/Condition,0.00,Yes,40.67,Yes,No,WTR,DRYW,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
89,OFFICE,Office,"Tear out wet drywall, cleanup, bag, per LF - up to 2' tall",5.00,Average,12.42,55.64,0.00,4.48,Building,0.36,$67.20,0.00,Age/Condition,0.00,Yes,67.20,Yes,No,WTR,DRYWLF,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
90,OFFICE,Office,"5/8"" - drywall per LF - up to 2' tall",33.00,Average,12.42,169.04,0.00,13.61,Building,1.38,$204.50,150.00,Age/Condition,37.19,Yes,167.31,Yes,No,DRY,LF5/8,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
91,OFFICE,Office,"5/8"" drywall - hung, taped, ready for texture",33.00,Average,82.50,241.73,0.00,2.93,Building,4.04,$294.91,150.00,Age/Condition,53.18,Yes,241.73,Yes,No,DRY,5/8-,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
92,OFFICE,Office,Texture drywall - heavy hand texture,33.00,Average,82.50,141.08,0.00,1.71,Building,1.10,$170.62,150.00,Age/Condition,31.04,Yes,139.58,Yes,No,DRY,TEX+,PAULGAGN,,2022-10-19,RWGC_20MARSH_CLUB,,
