#,Group Code,Group Description,Desc,Age,Condition,Qty,Item Amount,Reported Cost,Unit Cost,Unit,Coverage,Activity,Worker's Wage,Labor burden,Labor Overhead,Material,Equipment,Market Conditions,Labor Minimum,Sales Tax,RCV,Life,Depreciation Type,Depreciation Amount,Recoverable,ACV,Tax,Replace,Cat,Sel,Owner,Original Vendor,Date
15,,,"Outrigger - up to 30"" long",0.00,Average,1.00,238.37,0.00,238.37,EA,,Remove and Replace,62.67,31.80,78.90,65.00,0.00,0.00,ACCMN-A,5.20,292.29,150.00,Percent,0.00,Yes,292.29,Yes,No,ACC,OTRG,PAULGAGN,,11/2/2020
16,,,Rim - doughnut type with no center,0.00,Average,1.00,212.11,0.00,212.11,EA,,Remove and Replace,58.79,29.96,73.36,50.00,0.00,0.00,ACCMN-A,4.00,259.33,150.00,Percent,0.00,Yes,259.33,Yes,No,ACC,RIM,PAULGAGN,,11/2/2020
17,,,Spring - mono or single leaf only,0.00,Average,1.00,260.45,0.00,260.45,EA,,Remove and Replace,71.54,36.38,89.67,62.86,0.00,0.00,ACCMN-A,5.03,318.56,150.00,Percent,0.00,Yes,318.56,Yes,No,ACC,SPNG,PAULGAGN,,11/2/2020
18,,,Tire - 7 x 14.5 or 8 x 14.5 mounted,0.00,Average,1.00,195.82,0.00,195.82,EA,,Remove and Replace,41.31,21.69,48.32,84.50,0.00,0.00,ACCMN-A,6.76,243.1,150.00,Percent,0.00,Yes,243.10,Yes,No,ACC,TIRE,PAULGAGN,,11/2/2020
19,,,Tire and rim/wheel - 7 x 14.5 or 8 x 14.5,0.00,Average,1.00,272.03,0.00,272.03,EA,,Remove and Replace,48.44,25.06,58.53,140.00,0.00,0.00,ACCMN-A,11.20,339.89,150.00,Percent,0.00,Yes,339.89,Yes,No,ACC,TIRE+,PAULGAGN,,11/2/2020
20,,,Tongue jack,0.00,Average,1.00,245.23,0.00,245.23,EA,,Remove and Replace,66.66,34.12,82.45,62.00,0.00,0.00,ACCMN-A,4.96,300.23,150.00,Percent,0.00,Yes,300.23,Yes,No,ACC,TNGJK,PAULGAGN,,11/2/2020
21,,,Acoustic ceiling tile,0.00,Average,0.00,0.00,0.00,6.51,SF,,Remove and Replace,1.44,0.72,2.66,1.69,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,AV,PAULGAGN,,11/2/2020
23,,,Acoustic ceiling tile - High grade,0.00,Average,0.00,0.00,0.00,7.33,SF,,Remove and Replace,1.44,0.72,2.66,2.51,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,AV+,PAULGAGN,,11/2/2020
24,,,Acoustic ceiling tile - Premium grade,0.00,Average,0.00,0.00,0.00,7.82,SF,,Remove and Replace,1.44,0.72,2.66,3.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,AV++,PAULGAGN,,11/2/2020
25,,,Tear off asbestos acoustic ceiling tile (no haul off),0.00,Average,0.00,0.00,0.00,7.86,SF,,Remove,2.06,0.97,4.59,0.24,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,AVARMV,PAULGAGN,,11/2/2020
26,,,Ceiling panel - w/battens & staples- mobile home,0.00,Average,0.00,0.00,0.00,5.67,SF,,Remove and Replace,1.20,0.60,2.30,1.57,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,AVM,PAULGAGN,,11/2/2020
27,,,Ceiling panel -High grade w/battens & staples- mobile home,0.00,Average,0.00,0.00,0.00,6.20,SF,,Remove and Replace,1.20,0.60,2.30,2.10,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,AVM+,PAULGAGN,,11/2/2020
28,,,Ceiling panel -glued w/no battens & staples- mobile home,0.00,Average,0.00,0.00,0.00,7.03,SF,,Remove and Replace,1.20,0.60,2.30,2.93,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,AVM++,PAULGAGN,,11/2/2020
29,,,Special - ballroom ceiling panels - Premium grade,0.00,Average,0.00,0.00,0.00,19.02,SF,,Remove and Replace,1.17,0.56,2.42,14.87,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,BALL++,PAULGAGN,,11/2/2020
30,,,Acoustical Treatments (Bid Item),0.00,Average,1.00,0.00,0.00,0.00,EA,,Replace,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,ACT,BIDITM,PAULGAGN,,11/2/2020
31,,,Batten for ceiling panel - mobile home,0.00,Average,0.00,0.00,0.00,3.89,LF,,Remove and Replace,0.99,0.49,1.92,0.49,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,BTN,PAULGAGN,,11/2/2020
32,,,Acoustical wall treatment - cloth - theater sound,0.00,Average,0.00,0.00,0.00,19.37,SF,,Remove and Replace,6.69,3.07,5.00,4.61,0.00,0.00,FNHMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,DRAPE,PAULGAGN,,11/2/2020
34,,,Acoustic ceiling tile furring,0.00,Average,0.00,0.00,0.00,1.84,SF,,Remove and Replace,0.47,0.24,0.76,0.37,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,FUR,PAULGAGN,,11/2/2020
35,,,Acoustical Treatments Installer - per hour,0.00,Average,0.00,0.00,0.00,150.87,HR,,Replace,40.78,19.14,90.95,0.00,0.00,0.00,ACTMN-A,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,ACT,LAB,PAULGAGN,,11/2/2020
36,,,Acoustical Treatments - General Laborer - per hour,0.00,Average,0.00,0.00,0.00,77.07,HR,,Replace,31.01,18.00,28.06,0.00,0.00,0.00,ACTMN-A,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,ACT,LABL,PAULGAGN,,11/2/2020
37,,,"Light diffusing panel (i.e., cracked ice)",0.00,Average,0.00,0.00,0.00,3.62,SF,,Remove and Replace,0.60,0.29,1.15,1.58,0.00,0.00,ACTMN-A,0.00,0,10.00,Percent,0.00,Yes,0.00,Yes,No,ACT,LP,PAULGAGN,,11/2/2020
38,,,"Light diffusing panel - High grade (i.e., mist white)",0.00,Average,0.00,0.00,0.00,3.90,SF,,Remove and Replace,0.60,0.29,1.15,1.86,0.00,0.00,ACTMN-A,0.00,0,10.00,Percent,0.00,Yes,0.00,Yes,No,ACT,LP+,PAULGAGN,,11/2/2020
39,,,"Light diffusing panel - Premium grade (i.e., egg crate)",0.00,Average,0.00,0.00,0.00,4.16,SF,,Remove and Replace,0.60,0.29,1.15,2.12,0.00,0.00,ACTMN-A,0.00,0,10.00,Percent,0.00,Yes,0.00,Yes,No,ACT,LP++,PAULGAGN,,11/2/2020
40,,,Acoustic Ceiling - Labor Minimum,0.00,Average,1.00,453.06,0.00,453.06,EA,,Replace,122.46,57.48,273.12,0.00,0.00,0.00,ACTMN-A,0.00,543.68,0.00,Percent,0.00,Yes,543.68,Yes,No,ACT,MN,PAULGAGN,,11/2/2020
41,,,Acoustical ceilings - metal tray type,0.00,Average,0.00,0.00,0.00,9.34,SF,,Remove and Replace,1.29,0.63,2.50,4.92,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,MTRAY,PAULGAGN,,11/2/2020
42,,,Suspended ceiling grid - 2' x 4',0.00,Average,0.00,0.00,0.00,2.92,SF,,Remove and Replace,0.66,0.32,1.30,0.64,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,SG,PAULGAGN,,11/2/2020
43,,,Suspended ceiling grid - High grade - 2' x 4',0.00,Average,0.00,0.00,0.00,3.14,SF,,Remove and Replace,0.66,0.32,1.30,0.86,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,SG+,PAULGAGN,,11/2/2020
44,,,Suspended ceiling grid - Premium grade - 2' x 4',0.00,Average,0.00,0.00,0.00,3.35,SF,,Remove and Replace,0.66,0.32,1.30,1.07,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,SG++,PAULGAGN,,11/2/2020
45,,,Suspended ceiling grid - 2' x 2',0.00,Average,0.00,0.00,0.00,3.34,SF,,Remove and Replace,0.72,0.35,1.42,0.85,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,SG2,PAULGAGN,,11/2/2020
46,,,Suspended ceiling grid - High grade - 2' x 2',0.00,Average,0.00,0.00,0.00,3.61,SF,,Remove and Replace,0.72,0.35,1.42,1.12,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,SG2+,PAULGAGN,,11/2/2020
47,,,Suspended ceiling grid - Premium grade - 2' x 2',0.00,Average,0.00,0.00,0.00,3.92,SF,,Remove and Replace,0.72,0.35,1.42,1.43,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,SG2++,PAULGAGN,,11/2/2020
48,,,Suspended ceiling grid - Detach & reset,0.00,Average,0.00,0.00,0.00,2.89,SF,,Replace,0.78,0.37,1.74,0.00,0.00,0.00,ACTMN-A,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,ACT,SG2RS,PAULGAGN,,11/2/2020
49,,,Suspended ceiling grid - Reset/realign,0.00,Average,0.00,0.00,0.00,2.68,SF,,Replace,0.72,0.34,1.61,0.01,0.00,0.00,ACTMN-A,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,ACT,SGRS,PAULGAGN,,11/2/2020
50,,,Suspended ceiling tile - 2' x 4',0.00,Average,0.00,0.00,0.00,3.09,SF,,Remove and Replace,0.53,0.26,0.99,1.31,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,ST,PAULGAGN,,11/2/2020
51,,,Suspended ceiling tile - Standard grade - 2' x 4',0.00,Average,0.00,0.00,0.00,2.63,SF,,Remove and Replace,0.53,0.26,0.99,0.85,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,ST-,PAULGAGN,,11/2/2020
52,,,Suspended ceiling tile - High grade - 2' x 4',0.00,Average,0.00,0.00,0.00,4.17,SF,,Remove and Replace,0.53,0.26,0.99,2.39,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,ST+,PAULGAGN,,11/2/2020
53,,,Suspended ceiling tile - Premium grade - 2' x 4',0.00,Average,0.00,0.00,0.00,5.49,SF,,Remove and Replace,0.53,0.26,0.99,3.71,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,ST++,PAULGAGN,,11/2/2020
54,,,Suspended ceiling tile - 2' x 2',0.00,Average,0.00,0.00,0.00,3.39,SF,,Remove and Replace,0.53,0.26,1.00,1.59,0.00,0.01,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,ST2,PAULGAGN,,11/2/2020
55,,,Suspended ceiling tile - Standard grade - 2' x 2',0.00,Average,0.00,0.00,0.00,2.74,SF,,Remove and Replace,0.53,0.26,1.00,0.94,0.00,0.01,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,ST2-,PAULGAGN,,11/2/2020
56,,,Suspended ceiling tile - High grade - 2' x 2',0.00,Average,0.00,0.00,0.00,4.20,SF,,Remove and Replace,0.53,0.26,1.00,2.17,0.00,0.24,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,ST2+,PAULGAGN,,11/2/2020
57,,,Suspended ceiling tile - Premium grade - 2' x 2',0.00,Average,0.00,0.00,0.00,6.36,SF,,Remove and Replace,0.53,0.26,1.00,4.56,0.00,0.01,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,ST2++,PAULGAGN,,11/2/2020
58,,,Suspended ceiling tile for clean room/kitchen - 2' x 4',0.00,Average,0.00,0.00,0.00,6.84,SF,,Remove and Replace,0.63,0.31,1.21,4.69,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STCL,PAULGAGN,,11/2/2020
59,,,Suspended ceiling tile for clean room/kitchen - 2' x 2',0.00,Average,0.00,0.00,0.00,7.99,SF,,Remove and Replace,0.63,0.31,1.22,5.82,0.00,0.01,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STCL2,PAULGAGN,,11/2/2020
60,,,Suspended ceiling system - 2' x 4',0.00,Average,0.00,0.00,0.00,5.96,SF,,Remove and Replace,1.17,0.58,2.27,1.94,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STG,PAULGAGN,,11/2/2020
61,,,Suspended ceiling system - Standard grade - 2' x 4',0.00,Average,0.00,0.00,0.00,5.51,SF,,Remove and Replace,1.17,0.58,2.27,1.49,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STG-,PAULGAGN,,11/2/2020
62,,,Suspended ceiling system - High grade - 2' x 4',0.00,Average,0.00,0.00,0.00,7.27,SF,,Remove and Replace,1.17,0.58,2.27,3.25,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STG+,PAULGAGN,,11/2/2020
63,,,Suspended ceiling system - Premium grade - 2' x 4',0.00,Average,0.00,0.00,0.00,8.80,SF,,Remove and Replace,1.17,0.58,2.27,4.78,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STG++,PAULGAGN,,11/2/2020
64,,,Suspended ceiling system - 2' x 2',0.00,Average,0.00,0.00,0.00,6.74,SF,,Remove and Replace,1.25,0.62,2.42,2.44,0.00,0.01,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STG2,PAULGAGN,,11/2/2020
65,,,Suspended ceiling system - Standard grade - 2' x 2',0.00,Average,0.00,0.00,0.00,6.08,SF,,Remove and Replace,1.25,0.62,2.42,1.79,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STG2-,PAULGAGN,,11/2/2020
66,,,Suspended ceiling system - High grade - 2' x 2',0.00,Average,0.00,0.00,0.00,7.82,SF,,Remove and Replace,1.25,0.62,2.42,3.29,0.00,0.24,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STG2+,PAULGAGN,,11/2/2020
67,,,Suspended ceiling system - Premium grade - 2' x 2',0.00,Average,0.00,0.00,0.00,10.29,SF,,Remove and Replace,1.25,0.62,2.42,5.99,0.00,0.01,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STG2++,PAULGAGN,,11/2/2020
68,,,Suspended ceiling system - 2' x 2' fabric covered,0.00,Average,0.00,0.00,0.00,16.90,SF,,Remove and Replace,1.25,0.62,2.42,12.61,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STGF2,PAULGAGN,,11/2/2020
69,,,Suspended ceiling system - Linear metal strip,0.00,Average,0.00,0.00,0.00,20.61,SF,,Remove and Replace,4.04,1.91,8.81,5.85,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STGLIN,PAULGAGN,,11/2/2020
70,,,Suspended ceiling tile - Detach & reset,0.00,Average,0.00,0.00,0.00,1.24,SF,,Replace,0.33,0.16,0.75,0.00,0.00,0.00,ACTMN-A,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STRS,PAULGAGN,,11/2/2020
71,,,Tin ceiling cornice - embossed - unpainted,0.00,Average,0.00,0.00,0.00,6.78,LF,,Remove and Replace,0.88,0.44,1.70,3.76,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,TINCC,PAULGAGN,,11/2/2020
72,,,Tin ceiling cornice - embossed - factory painted,0.00,Average,0.00,0.00,0.00,7.96,LF,,Remove and Replace,0.88,0.44,1.70,4.94,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,TINCC+,PAULGAGN,,11/2/2020
73,,,Tin ceiling cornice - embossed - chrome/brass/copper,0.00,Average,0.00,0.00,0.00,13.31,LF,,Remove and Replace,0.88,0.44,1.70,10.29,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,TINCC++,PAULGAGN,,11/2/2020
74,,,Tin ceiling panel - embossed - unpainted,0.00,Average,0.00,0.00,0.00,5.93,SF,,Remove and Replace,0.60,0.30,1.12,3.91,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,TINCP,PAULGAGN,,11/2/2020
75,,,Tin ceiling panel - embossed - factory painted,0.00,Average,0.00,0.00,0.00,6.91,SF,,Remove and Replace,0.60,0.30,1.12,4.89,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,TINCP+,PAULGAGN,,11/2/2020
76,,,Tin ceiling panel - embossed - chrome/brass/copper,0.00,Average,0.00,0.00,0.00,11.63,SF,,Remove and Replace,0.60,0.30,1.12,9.61,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,TINCP++,PAULGAGN,,11/2/2020
77,,,Tin ceiling panel - embossed - Detach & reset,0.00,Average,0.00,0.00,0.00,1.73,SF,,Replace,0.47,0.22,1.04,0.00,0.00,0.00,ACTMN-A,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,ACT,TINCPRS,PAULGAGN,,11/2/2020
78,,,Gas can,0.00,Average,1.00,29.00,0.00,29.00,EA,,Replace,0.00,0.00,0.00,29.00,0.00,0.00,None,2.32,31.32,10.00,Percent,0.00,Yes,31.32,Yes,No,AMA,AAGC,PAULGAGN,,11/2/2020
79,,,Gas can - Standard grade,0.00,Average,1.00,16.00,0.00,16.00,EA,,Replace,0.00,0.00,0.00,16.00,0.00,0.00,None,1.28,17.28,10.00,Percent,0.00,Yes,17.28,Yes,No,AMA,AAGC-,PAULGAGN,,11/2/2020
80,,,Gas can - High grade,0.00,Average,1.00,55.00,0.00,55.00,EA,,Replace,0.00,0.00,0.00,55.00,0.00,0.00,None,4.40,59.4,10.00,Percent,0.00,Yes,59.40,Yes,No,AMA,AAGC+,PAULGAGN,,11/2/2020
81,,,Automobile Rim,0.00,Average,1.00,160.00,0.00,160.00,EA,,Replace,0.00,0.00,0.00,160.00,0.00,0.00,None,12.80,172.8,10.00,Percent,0.00,Yes,172.80,Yes,No,AMA,AAMR,PAULGAGN,,11/2/2020
82,,,Automobile Rim - Standard grade,0.00,Average,1.00,80.00,0.00,80.00,EA,,Replace,0.00,0.00,0.00,80.00,0.00,0.00,None,6.40,86.4,10.00,Percent,0.00,Yes,86.40,Yes,No,AMA,AAMR-,PAULGAGN,,11/2/2020
83,,,Automobile Rim - High grade,0.00,Average,1.00,540.00,0.00,540.00,EA,,Replace,0.00,0.00,0.00,540.00,0.00,0.00,None,43.20,583.2,10.00,Percent,0.00,Yes,583.20,Yes,No,AMA,AAMR+,PAULGAGN,,11/2/2020
84,,,Appearance allowance - AMA - Enter price,0.00,Average,1.00,0.00,0.00,0.00,EA,,Replace,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,AMA,ALLOW,PAULGAGN,,11/2/2020
85,,,Auto & motorcycle accessories - Enter price,0.00,Average,1.00,0.00,0.00,0.00,EA,,Replace,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0,10.00,Percent,0.00,Yes,0.00,Yes,No,AMA,AMA,PAULGAGN,,11/2/2020
86,,,Automotive working parts - Enter price,0.00,Average,1.00,0.00,0.00,0.00,EA,,Replace,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0,5.00,Percent,0.00,Yes,0.00,Yes,No,AMA,AMAP,PAULGAGN,,11/2/2020
87,,,Trailers - Enter price,0.00,Average,1.00,0.00,0.00,0.00,EA,,Replace,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0,20.00,Percent,0.00,Yes,0.00,Yes,No,AMA,AMAT,PAULGAGN,,11/2/2020
88,,,Motorcycle / Scooter / ATV cover,0.00,Average,1.00,35.00,0.00,35.00,EA,,Replace,0.00,0.00,0.00,35.00,0.00,0.00,None,2.80,37.8,10.00,Percent,0.00,Yes,37.80,Yes,No,AMA,AMMC,PAULGAGN,,11/2/2020
89,,,Motorcycle / Scooter / ATV cover - Standard grade,0.00,Average,1.00,20.00,0.00,20.00,EA,,Replace,0.00,0.00,0.00,20.00,0.00,0.00,None,1.60,21.6,10.00,Percent,0.00,Yes,21.60,Yes,No,AMA,AMMC-,PAULGAGN,,11/2/2020
90,,,Motorcycle / Scooter / ATV cover - High grade,0.00,Average,1.00,115.00,0.00,115.00,EA,,Replace,0.00,0.00,0.00,115.00,0.00,0.00,None,9.20,124.2,10.00,Percent,0.00,Yes,124.20,Yes,No,AMA,AMMC+,PAULGAGN,,11/2/2020
91,,,Motorcycle / Scooter / ATV eyewear,0.00,Average,1.00,40.00,0.00,40.00,EA,,Replace,0.00,0.00,0.00,40.00,0.00,0.00,None,3.20,43.2,10.00,Percent,0.00,Yes,43.20,Yes,No,AMA,AMME,PAULGAGN,,11/2/2020
92,,,Motorcycle / Scooter / ATV eyewear - Standard grade,0.00,Average,1.00,15.00,0.00,15.00,EA,,Replace,0.00,0.00,0.00,15.00,0.00,0.00,None,1.20,16.2,10.00,Percent,0.00,Yes,16.20,Yes,No,AMA,AMME-,PAULGAGN,,11/2/2020
93,,,Motorcycle / Scooter / ATV eyewear - High grade,0.00,Average,1.00,117.00,0.00,117.00,EA,,Replace,0.00,0.00,0.00,117.00,0.00,0.00,None,9.36,126.36,10.00,Percent,0.00,Yes,126.36,Yes,No,AMA,AMME+,PAULGAGN,,11/2/2020
94,,,Motorcycle / Scooter / ATV gloves,0.00,Average,1.00,37.00,0.00,37.00,EA,,Replace,0.00,0.00,0.00,37.00,0.00,0.00,None,2.96,39.96,10.00,Percent,0.00,Yes,39.96,Yes,No,AMA,AMMG,PAULGAGN,,11/2/2020
95,,,Motorcycle / Scooter / ATV gloves - Standard grade,0.00,Average,1.00,18.00,0.00,18.00,EA,,Replace,0.00,0.00,0.00,18.00,0.00,0.00,None,1.44,19.44,10.00,Percent,0.00,Yes,19.44,Yes,No,AMA,AMMG-,PAULGAGN,,11/2/2020
96,,,Motorcycle / Scooter / ATV gloves - High grade,0.00,Average,1.00,120.00,0.00,120.00,EA,,Replace,0.00,0.00,0.00,120.00,0.00,0.00,None,9.60,129.6,10.00,Percent,0.00,Yes,129.60,Yes,No,AMA,AMMG+,PAULGAGN,,11/2/2020
97,,,Motorcycle / Scooter / ATV helmet,0.00,Average,1.00,166.00,0.00,166.00,EA,,Replace,0.00,0.00,0.00,166.00,0.00,0.00,None,13.28,179.28,10.00,Percent,0.00,Yes,179.28,Yes,No,AMA,AMMH,PAULGAGN,,11/2/2020
