#,Group Code,Group Description,Desc,Age,Condition,Qty,Item Amount,Reported Cost,Unit Cost,Coverage,Sales Tax,RCV,Life,Depreciation Type,Depreciation Amount,Recoverable,ACV,Tax,Replace,Cat,Sel,Owner,Original Vendor,Date,Unit Location,Source Name,Note 1
14,BUILDING_ROO,Building Roof,Ridge cap - composition shingles,5.00,Average,193.11,"1,079.49",0.00,5.59,Building,11.49,"$1,309.18",25.00,Age/Condition,129.77,Yes,"1,179.41",Yes,No,RFG,RIDGC,DSPINI,,2017-11-15,RWGC_20MARSH_MAINT,,
15,BUILDING_ROO,Building Roof,Flashing - pipe jack,5.00,Average,2.00,83.66,0.00,41.83,Building,1.26,$101.92,35.00,Age/Condition,10.02,Yes,91.90,Yes,No,RFG,FLPIPE,DSPINI,,2017-11-15,RWGC_20MARSH_MAINT,,
16,BUILDING_ROO,Building Roof,Roof vent - turtle type - Metal,5.00,Average,3.00,323.61,0.00,107.87,Building,5.56,$395.03,35.00,Age/Condition,40.38,Yes,354.65,Yes,No,RFG,VENTT,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,Price List Item,
17,BUILDING_ROO,Building Roof,Flashing - L flashing - galvanized,5.00,Average,4.23,16.67,0.00,3.94,Building,0.38,$20.47,35.00,Age/Condition,2.04,Yes,18.43,Yes,No,RFG,FLL,DSPINI,,2017-12-11,RWGC_20MARSH_MAINT,Price List Item,
18,FRONT_ELEVAT,Front Elevation,Soffit - metal,5.00,Average,84.00,582.96,0.00,6.94,Building,21.70,$725.60,50.00,Age/Condition,54.35,Yes,671.25,Yes,No,SFG,SFTM,STAPLES1,,2022-11-16,RWGC_20MARSH_MAINT,Price List Item,
19,FRONT_ELEVAT,Front Elevation,"Fascia - metal - 6""",5.00,Average,24.00,138.48,0.00,5.77,Building,4.17,$171.17,50.00,Age/Condition,12.62,Yes,158.55,Yes,No,SFG,FACM6,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
20,FRONT_ELEVAT,Front Elevation,Exterior light fixture,5.00,Average,2.00,243.30,0.00,121.65,Building,5.88,$299.02,20.00,Age/Condition,51.30,Yes,247.72,Yes,No,LIT,X,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
21,FRONT_ELEVAT,Front Elevation,Overhead door & hardware - 8' x 10',5.00,Average,3.00,"5,802.72",0.00,"1,934.24",Building,280.53,"$7,299.91",35.00,Age/Condition,774.69,Yes,"6,525.22",Yes,No,DOR,OH81,STAPLES1,,2022-11-16,RWGC_20MARSH_MAINT,Price List Item,
22,RIGHT_ELEVAT,Right Elevation,Soffit - metal,5.00,Average,54.42,377.68,0.00,6.94,Building,14.06,$470.10,50.00,Age/Condition,35.21,Yes,434.89,Yes,No,SFG,SFTM,STAPLES1,,2022-11-16,RWGC_20MARSH_MAINT,Price List Item,
23,RIGHT_ELEVAT,Right Elevation,"Fascia - metal - 6""",5.00,Average,54.42,314.00,0.00,5.77,Building,9.45,$388.17,50.00,Age/Condition,28.63,Yes,359.54,Yes,No,SFG,FACM6,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
24,BACK_ELEVATI,Back Elevation,Soffit - metal,5.00,Average,84.00,582.96,0.00,6.94,Building,21.70,$725.60,50.00,Age/Condition,54.35,Yes,671.25,Yes,No,SFG,SFTM,STAPLES1,,2022-11-16,RWGC_20MARSH_MAINT,Price List Item,
25,BACK_ELEVATI,Back Elevation,"Fascia - metal - 6""",5.00,Average,24.00,138.48,0.00,5.77,Building,4.17,$171.17,50.00,Age/Condition,12.62,Yes,158.55,Yes,No,SFG,FACM6,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
26,BACK_ELEVATI,Back Elevation,Exterior light fixture,5.00,Average,2.00,243.30,0.00,121.65,Building,5.88,$299.02,20.00,Age/Condition,51.30,Yes,247.72,Yes,No,LIT,X,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
27,BACK_ELEVATI,Back Elevation,Overhead door & hardware - 8' x 10',5.00,Average,2.00,"3,868.48",0.00,"1,934.24",Building,187.02,"$4,866.58",35.00,Age/Condition,516.46,Yes,"4,350.12",Yes,No,DOR,OH81,STAPLES1,,2022-11-16,RWGC_20MARSH_MAINT,Price List Item,
28,LEFT_ELEVATI,Left Elevation,Soffit - metal,5.00,Average,54.42,377.68,0.00,6.94,Building,14.06,$470.10,50.00,Age/Condition,35.21,Yes,434.89,Yes,No,SFG,SFTM,STAPLES1,,2022-11-16,RWGC_20MARSH_MAINT,Price List Item,
29,LEFT_ELEVATI,Left Elevation,"Fascia - metal - 6""",5.00,Average,24.00,138.48,0.00,5.77,Building,4.17,$171.17,50.00,Age/Condition,12.62,Yes,158.55,Yes,No,SFG,FACM6,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
30,MAINTENANCE,Maintenance,"Tear out wet drywall, cleanup, bag, per LF - up to 2' tall",5.00,Average,10.00,42.40,0.00,4.24,Building,0.29,$51.23,0.00,Age/Condition,0.00,Yes,51.23,Yes,No,WTR,DRYWLF,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,Price List Item,
31,MAINTENANCE,Maintenance,"5/8"" - drywall per LF - up to 2' tall",5.00,Average,10.00,134.60,0.00,13.46,Building,1.09,$162.83,150.00,Age/Condition,4.49,Yes,158.34,Yes,No,DRY,LF5/8,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,Price List Item,
32,MAINTENANCE,Maintenance,Texture drywall - light hand texture,5.00,Average,30.00,34.50,0.00,1.15,Building,0.17,$41.61,150.00,Age/Condition,1.15,Yes,40.46,Yes,No,DRY,TEX,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
33,MAINTENANCE,Maintenance,Apply anti-microbial agent to the surface area,5.00,Average,20.00,6.20,0.00,0.31,Building,0.07,$7.53,0.00,Age/Condition,0.00,Yes,7.53,Yes,No,WTR,GRM,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
34,MAINTENANCE,Maintenance,Tear out baseboard,5.00,Average,10.00,6.00,0.00,0.60,Building,0.00,$7.20,0.00,Age/Condition,0.00,Yes,7.20,Yes,No,WTR,BASE,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
35,MAINTENANCE,Maintenance,"Baseboard - 4 1/4""",5.00,Average,10.00,53.50,0.00,5.35,Building,1.86,$66.44,150.00,Age/Condition,1.78,Yes,64.66,Yes,No,FNC,B4,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
36,MAINTENANCE,Maintenance,Clean stud wall - Heavy,5.00,Average,20.00,25.80,0.00,1.29,Building,0.03,$30.99,0.00,Age/Condition,0.00,Yes,30.99,Yes,No,CLN,STD+,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
37,MAINTENANCE,Maintenance,Seal/prime then paint the surface area twice (3 coats),5.00,Average,100.00,157.00,0.00,1.57,Building,2.59,$191.51,15.00,Age/Condition,52.33,Yes,139.18,Yes,No,PNT,SP2,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,Price List Item,
38,MAINTENANCE,Maintenance,Seal & paint baseboard - two coats,5.00,Average,10.00,17.50,0.00,1.75,Building,0.09,$21.11,15.00,Age/Condition,5.83,Yes,15.28,Yes,No,PNT,B1SP,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
39,MAINTENANCE,Maintenance,"Mask and prep for paint - plastic, paper, tape (per LF)",5.00,Average,238.83,384.52,0.00,1.61,Building,4.51,$466.83,15.00,Age/Condition,128.17,Yes,338.66,Yes,No,PNT,MASKLF,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
40,MAINTENANCE,Maintenance,Floor protection - plastic and tape - 10 mil,5.00,Average,"3,319.32","1,161.76",0.00,0.35,Building,27.88,"$1,427.58",15.00,Age/Condition,387.25,Yes,"1,040.33",Yes,No,PNT,MASKSF>,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
41,MAINTENANCE,Maintenance,Final cleaning - construction - Commercial,5.00,Average,"3,319.32",829.83,0.00,0.25,Building,0.00,$995.79,0.00,Age/Condition,0.00,Yes,995.79,Yes,No,CLN,FINALC,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,Price List Item,
42,MAINTENANCE,Maintenance,Content Manipulation charge - per hour,5.00,Average,5.00,244.95,0.00,48.99,Building,0.00,$293.95,0.00,Age/Condition,0.00,Yes,293.95,Yes,No,CON,LAB,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
43,OFFICE,Office,"Tear out wet drywall, cleanup, bag, per LF - up to 4' tall",5.00,Average,40.00,243.20,0.00,6.08,Building,2.30,$294.60,0.00,Age/Condition,0.00,Yes,294.60,Yes,No,WTR,DRYW4,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
44,OFFICE,Office,"5/8"" - drywall per LF - up to 4' tall",5.00,Average,40.00,767.60,0.00,19.19,Building,8.01,$930.73,150.00,Age/Condition,25.59,Yes,905.14,Yes,No,DRY,LF>5/8,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
45,OFFICE,Office,Texture drywall - light hand texture,5.00,Average,200.00,230.00,0.00,1.15,Building,1.12,$277.34,150.00,Age/Condition,7.67,Yes,269.67,Yes,No,DRY,TEX,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
46,OFFICE,Office,Apply anti-microbial agent to more than the floor perimeter,5.00,Average,160.00,49.60,0.00,0.31,Building,0.56,$60.20,0.00,Age/Condition,0.00,Yes,60.20,Yes,No,WTR,GRM,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
47,OFFICE,Office,Tear out baseboard,5.00,Average,40.00,24.00,0.00,0.60,Building,0.00,$28.80,0.00,Age/Condition,0.00,Yes,28.80,Yes,No,WTR,BASE,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
48,OFFICE,Office,"Baseboard - 4 1/4""",5.00,Average,40.00,214.00,0.00,5.35,Building,7.45,$265.75,150.00,Age/Condition,7.13,Yes,258.62,Yes,No,FNC,B4,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
49,OFFICE,Office,Clean stud wall - Heavy,5.00,Average,160.00,206.40,0.00,1.29,Building,0.22,$247.94,0.00,Age/Condition,0.00,Yes,247.94,Yes,No,CLN,STD+,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
50,OFFICE,Office,Seal/prime then paint the walls twice (3 coats),5.00,Average,323.33,507.63,0.00,1.57,Building,8.37,$619.20,15.00,Age/Condition,169.21,Yes,449.99,Yes,No,PNT,SP2,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,Price List Item,
51,OFFICE,Office,Seal & paint baseboard - two coats,5.00,Average,40.00,70.00,0.00,1.75,Building,0.36,$84.44,15.00,Age/Condition,23.33,Yes,61.11,Yes,No,PNT,B1SP,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
52,OFFICE,Office,"Mask and prep for paint - plastic, paper, tape (per LF)",5.00,Average,42.50,68.43,0.00,1.61,Building,0.80,$83.07,15.00,Age/Condition,22.81,Yes,60.26,Yes,No,PNT,MASKLF,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
53,OFFICE,Office,Floor protection - plastic and tape - 10 mil,5.00,Average,112.89,39.51,0.00,0.35,Building,0.95,$48.56,15.00,Age/Condition,13.17,Yes,35.39,Yes,No,PNT,MASKSF>,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
54,OFFICE,Office,Clean floor - tile - Heavy clean,5.00,Average,112.89,118.53,0.00,1.05,Building,0.47,$142.80,0.00,Age/Condition,0.00,Yes,142.80,Yes,No,CLN,FCT+,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
55,OFFICE,Office,Grout sealer,5.00,Average,112.89,120.79,0.00,1.07,Building,1.26,$146.47,2.00,Age/Condition,60.40,Yes,86.07,Yes,No,FCT,SEALG,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
56,OFFICE,Office,Final cleaning - construction - Commercial,5.00,Average,112.89,28.22,0.00,0.25,Building,0.00,$33.86,0.00,Age/Condition,0.00,Yes,33.86,Yes,No,CLN,FINALC,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,Price List Item,
57,OFFICE,Office,Content Manipulation charge - per hour,5.00,Average,6.00,293.94,0.00,48.99,Building,0.00,$352.72,0.00,Age/Condition,0.00,Yes,352.72,Yes,No,CON,LAB,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
58,BATHROOM,Bathroom,"Tear out wet drywall, cleanup, bag for disposal",5.00,Average,63.75,74.59,0.00,1.17,Building,0.94,$90.63,0.00,Age/Condition,0.00,Yes,90.63,Yes,No,WTR,DRYW,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
59,BATHROOM,Bathroom,"Tear out wet drywall, cleanup, bag, per LF - up to 4' tall",5.00,Average,7.50,45.60,0.00,6.08,Building,0.43,$55.23,0.00,Age/Condition,0.00,Yes,55.23,Yes,No,WTR,DRYW4,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
60,BATHROOM,Bathroom,"5/8"" drywall - hung, taped, ready for texture",5.00,Average,63.75,184.24,0.00,2.89,Building,3.03,$224.71,150.00,Age/Condition,6.14,Yes,218.57,Yes,No,DRY,5/8-,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
61,BATHROOM,Bathroom,"5/8"" - drywall per LF - up to 4' tall",5.00,Average,7.50,143.93,0.00,19.19,Building,1.50,$174.51,150.00,Age/Condition,4.80,Yes,169.71,Yes,No,DRY,LF>5/8,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
62,BATHROOM,Bathroom,Texture drywall - light hand texture,5.00,Average,37.50,43.13,0.00,1.15,Building,0.21,$52.00,150.00,Age/Condition,1.44,Yes,50.56,Yes,No,DRY,TEX,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
63,BATHROOM,Bathroom,Apply anti-microbial agent to the surface area,5.00,Average,30.00,9.30,0.00,0.31,Building,0.11,$11.29,0.00,Age/Condition,0.00,Yes,11.29,Yes,No,WTR,GRM,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
64,BATHROOM,Bathroom,Tear out baseboard,5.00,Average,7.50,4.50,0.00,0.60,Building,0.00,$5.40,0.00,Age/Condition,0.00,Yes,5.40,Yes,No,WTR,BASE,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
65,BATHROOM,Bathroom,"Baseboard - 4 1/4""",5.00,Average,7.50,40.13,0.00,5.35,Building,1.40,$49.83,150.00,Age/Condition,1.34,Yes,48.49,Yes,No,FNC,B4,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
66,BATHROOM,Bathroom,Clean stud wall - Heavy,5.00,Average,30.00,38.70,0.00,1.29,Building,0.04,$46.48,0.00,Age/Condition,0.00,Yes,46.48,Yes,No,CLN,STD+,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
67,BATHROOM,Bathroom,Seal/prime then paint the walls twice (3 coats),5.00,Average,239.33,375.75,0.00,1.57,Building,6.20,$458.35,15.00,Age/Condition,125.25,Yes,333.10,Yes,No,PNT,SP2,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,Price List Item,
68,BATHROOM,Bathroom,Seal & paint baseboard - two coats,5.00,Average,29.50,51.63,0.00,1.75,Building,0.27,$62.28,15.00,Age/Condition,17.21,Yes,45.07,Yes,No,PNT,B1SP,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
69,BATHROOM,Bathroom,"Mask and prep for paint - plastic, paper, tape (per LF)",5.00,Average,32.00,51.52,0.00,1.61,Building,0.60,$62.54,15.00,Age/Condition,17.17,Yes,45.37,Yes,No,PNT,MASKLF,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
70,BATHROOM,Bathroom,Floor protection - plastic and tape - 10 mil,5.00,Average,63.75,22.31,0.00,0.35,Building,0.54,$27.41,15.00,Age/Condition,7.44,Yes,19.97,Yes,No,PNT,MASKSF>,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
71,BATHROOM,Bathroom,Clean floor - tile - Heavy clean,5.00,Average,63.75,66.94,0.00,1.05,Building,0.27,$80.65,0.00,Age/Condition,0.00,Yes,80.65,Yes,No,CLN,FCT+,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
72,BATHROOM,Bathroom,Grout sealer,5.00,Average,63.75,68.21,0.00,1.07,Building,0.71,$82.70,2.00,Age/Condition,34.11,Yes,48.59,Yes,No,FCT,SEALG,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
73,BATHROOM,Bathroom,Final cleaning - construction - Commercial,5.00,Average,63.75,15.94,0.00,0.25,Building,0.00,$19.12,0.00,Age/Condition,0.00,Yes,19.12,Yes,No,CLN,FINALC,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,Price List Item,
74,BREAK_ROOM,Break Room,"Tear out wet drywall, cleanup, bag, per LF - up to 2' tall",5.00,Average,10.00,42.40,0.00,4.24,Building,0.29,$51.23,0.00,Age/Condition,0.00,Yes,51.23,Yes,No,WTR,DRYWLF,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
75,BREAK_ROOM,Break Room,"Tear out wet drywall, cleanup, bag, per LF - up to 4' tall",5.00,Average,24.42,148.47,0.00,6.08,Building,1.40,$179.85,0.00,Age/Condition,0.00,Yes,179.85,Yes,No,WTR,DRYW4,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
76,BREAK_ROOM,Break Room,"5/8"" - drywall per LF - up to 4' tall",5.00,Average,24.42,468.62,0.00,19.19,Building,4.89,$568.21,150.00,Age/Condition,15.62,Yes,552.59,Yes,No,DRY,LF>5/8,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
77,BREAK_ROOM,Break Room,"5/8"" - drywall per LF - up to 2' tall",5.00,Average,10.00,134.60,0.00,13.46,Building,1.09,$162.83,150.00,Age/Condition,4.49,Yes,158.34,Yes,No,DRY,LF5/8,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
78,BREAK_ROOM,Break Room,Texture drywall - light hand texture,5.00,Average,152.10,174.92,0.00,1.15,Building,0.85,$210.93,150.00,Age/Condition,5.83,Yes,205.10,Yes,No,DRY,TEX,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
79,BREAK_ROOM,Break Room,Apply anti-microbial agent to the surface area,5.00,Average,117.68,36.48,0.00,0.31,Building,0.41,$44.27,0.00,Age/Condition,0.00,Yes,44.27,Yes,No,WTR,GRM,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
80,BREAK_ROOM,Break Room,Tear out baseboard,5.00,Average,34.42,20.65,0.00,0.60,Building,0.00,$24.79,0.00,Age/Condition,0.00,Yes,24.79,Yes,No,WTR,BASE,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
81,BREAK_ROOM,Break Room,"Baseboard - 4 1/4""",5.00,Average,34.42,184.15,0.00,5.35,Building,6.41,$228.68,150.00,Age/Condition,6.14,Yes,222.54,Yes,No,FNC,B4,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
82,BREAK_ROOM,Break Room,Clean stud wall - Heavy,5.00,Average,117.68,151.81,0.00,1.29,Building,0.16,$182.37,0.00,Age/Condition,0.00,Yes,182.37,Yes,No,CLN,STD+,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
83,BREAK_ROOM,Break Room,Seal/prime then paint the walls twice (3 coats),5.00,Average,365.11,573.22,0.00,1.57,Building,9.46,$699.22,15.00,Age/Condition,191.07,Yes,508.15,Yes,No,PNT,SP2,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,Price List Item,
84,BREAK_ROOM,Break Room,Seal & paint baseboard - two coats,5.00,Average,45.00,78.75,0.00,1.75,Building,0.41,$95.00,15.00,Age/Condition,26.25,Yes,68.75,Yes,No,PNT,B1SP,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
85,BREAK_ROOM,Break Room,"Mask and prep for paint - plastic, paper, tape (per LF)",5.00,Average,48.83,78.62,0.00,1.61,Building,0.92,$95.44,15.00,Age/Condition,26.21,Yes,69.23,Yes,No,PNT,MASKLF,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
86,BREAK_ROOM,Break Room,Floor protection - plastic and tape - 10 mil,5.00,Average,146.40,51.24,0.00,0.35,Building,1.23,$62.95,15.00,Age/Condition,17.08,Yes,45.87,Yes,No,PNT,MASKSF>,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
87,BREAK_ROOM,Break Room,Clean floor - tile - Heavy clean,5.00,Average,146.40,153.72,0.00,1.05,Building,0.61,$185.19,0.00,Age/Condition,0.00,Yes,185.19,Yes,No,CLN,FCT+,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
88,BREAK_ROOM,Break Room,Grout sealer,5.00,Average,146.40,156.65,0.00,1.07,Building,1.64,$189.95,2.00,Age/Condition,78.33,Yes,111.62,Yes,No,FCT,SEALG,LVASQUEZ,,2022-10-20,RWGC_20MARSH_MAINT,,
89,BREAK_ROOM,Break Room,Final cleaning - construction - Commercial,5.00,Average,146.40,36.60,0.00,0.25,Building,0.00,$43.92,0.00,Age/Condition,0.00,Yes,43.92,Yes,No,CLN,FINALC,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,Price List Item,
90,BREAK_ROOM,Break Room,Content Manipulation charge - per hour,5.00,Average,4.00,195.96,0.00,48.99,Building,0.00,$235.16,0.00,Age/Condition,0.00,Yes,235.16,Yes,No,CON,LAB,LVASQUEZ,,2022-10-19,RWGC_20MARSH_MAINT,,
