#,Group Code,Group Description,Desc,Age,Condition,Qty,Item Amount,Reported Cost,Unit Cost,Unit,Coverage,Activity,Worker's Wage,Labor burden,Labor Overhead,Material,Equipment,Market Conditions,Labor Minimum,Sales Tax,RCV,Life,Depreciation Type,Depreciation Amount,Recoverable,ACV,Tax,Replace,Cat,Sel,Owner,Original Vendor,Source Name,Date,Note 1,ADJ_SOURCE
15,UINT_1_ENTR2,Uint 1- Entry,Paint baseboard - two coats,0.00,Average,26.92,46.84,0.00,1.74,LF,Dwelling,Replace,0.42,0.21,0.93,0.18,0.00,0.00,PNTMN-A,0.34,56.6,15.00,Percent,8.02,Yes,48.58,Yes,No,PNT,B2,CBODDENC,,,11/24/24,,
16,UINT_1_ENTR2,Uint 1- Entry,Base shoe,0.00,Average,26.92,57.07,0.00,2.12,LF,Dwelling,Remove and Replace,0.38,0.18,0.79,0.77,0.00,0.00,FNCMN-A,1.45,70.24,150.00,Percent,6.77,Yes,63.47,Yes,No,FNC,SHOE,CBODDENC,,,11/25/24,,
17,UINT_1_ENTR2,Uint 1- Entry,Seal & paint base shoe or quarter round,0.00,Average,26.92,25.84,0.00,0.96,LF,Dwelling,Replace,0.22,0.11,0.49,0.14,0.00,0.00,PNTMN-A,0.26,31.32,15.00,Percent,4.43,Yes,26.89,Yes,No,PNT,SHOE,CBODDENC,,,11/25/24,,
19,UINT_1_ENTR2,Uint 1- Entry,"Door opening (jamb & casing) - 32""to36""wide - paint grade",0.00,Average,1.00,212.76,0.00,212.76,EA,Dwelling,Remove and Replace,20.65,9.98,42.99,139.14,0.00,0.00,FNCMN-A,9.74,266.98,150.00,Percent,32.02,Yes,234.96,Yes,No,FNC,DOP,CBODDENC,,,11/25/24,,
20,UINT_1_ENTR2,Uint 1- Entry,Prime & paint door slab only - exterior (per side),0.00,Average,2.00,108.60,0.00,54.30,EA,Dwelling,Replace,10.19,5.11,22.39,16.61,0.00,0.00,PNTMN-A,2.33,133.11,15.00,Percent,18.86,Yes,114.25,Yes,No,PNT,XDOR,CBODDENC,,,11/25/24,,
21,UINT_1_ENTR2,Uint 1- Entry,Paint door/window trim & jamb - 2 coats (per side),0.00,Average,2.00,76.46,0.00,38.23,EA,Dwelling,Replace,8.62,4.32,18.94,6.35,0.00,0.00,PNTMN-A,0.89,92.83,15.00,Percent,13.15,Yes,79.68,Yes,No,PNT,DORT,CBODDENC,,,11/25/24,,
22,UINT_1_ENTR2,Uint 1- Entry,Door lockset & deadbolt - exterior,0.00,Average,1.00,117.63,0.00,117.63,EA,Dwelling,Remove and Replace,18.69,9.36,24.36,65.22,0.00,0.00,FNHMN-A,4.57,146.66,20.00,Percent,15.10,Yes,131.56,Yes,No,FNH,DBX,CBODDENC,,,11/25/24,,
23,UINT_1_ENTR2,Uint 1- Entry,Storm door assembly,0.00,Average,1.00,364.93,0.00,364.93,EA,Dwelling,Remove and Replace,42.47,20.71,87.55,214.20,0.00,0.00,DORMN-A,14.99,455.92,40.00,Percent,53.19,Yes,402.73,Yes,No,DOR,STRMD,CBODDENC,,,11/25/24,,
24,UINT_1_ENTR2,Uint 1- Entry,Prime & paint/finish storm door assembly,0.00,Average,1.00,53.19,0.00,53.19,EA,Dwelling,Replace,10.29,5.15,22.59,15.16,0.00,0.00,PNTMN-A,1.06,65.11,15.00,Percent,9.22,Yes,55.89,Yes,No,PNT,STRMD,CBODDENC,,,11/25/24,,
26,UINT_1_ENTR2,Uint 1- Entry,"Door opening (jamb & casing) - 32""to36""wide - paint grade",0.00,Average,1.00,212.76,0.00,212.76,EA,Dwelling,Remove and Replace,20.65,9.98,42.99,139.14,0.00,0.00,FNCMN-A,9.74,266.98,150.00,Percent,32.02,Yes,234.96,Yes,No,FNC,DOP,CBODDENC,,Price List Item,11/25/24,,
27,UINT_1_ENTR2,Uint 1- Entry,Paint single bifold door - slab only - 2 coats (per side),0.00,Average,2.00,74.62,0.00,37.31,EA,Dwelling,Replace,7.36,3.69,16.17,10.09,0.00,0.00,PNTMN-A,1.41,91.23,15.00,Percent,12.93,Yes,78.30,Yes,No,PNT,BF<,CBODDENC,,Price List Item,11/25/24,,
28,UINT_1_ENTR2,Uint 1- Entry,Paint door/window trim & jamb - 2 coats (per side),0.00,Average,2.00,76.46,0.00,38.23,EA,Dwelling,Replace,8.62,4.32,18.94,6.35,0.00,0.00,PNTMN-A,0.89,92.83,15.00,Percent,13.15,Yes,79.68,Yes,No,PNT,DORT,CBODDENC,,,11/25/24,,
29,UINT_1_ENTR2,Uint 1- Entry,Closet shelf and rod package - Detach & reset,0.00,Average,3.00,40.74,0.00,13.58,LF,Dwelling,Replace,3.76,1.77,8.05,0.00,0.00,0.00,FNCMN-A,0.00,48.88,0.00,Percent,0.00,Yes,48.88,Yes,No,FNC,CLOSRS,CBODDENC,,,11/25/24,,
30,UINT_1_ENTR2,Uint 1- Entry,Seal & paint closet shelving - single shelf,0.00,Average,1.00,62.26,0.00,62.26,EA,Dwelling,Replace,15.37,7.70,33.76,5.43,0.00,0.00,PNTMN-A,0.38,75.18,15.00,Percent,10.64,Yes,64.54,Yes,No,PNT,CLOS,CBODDENC,,,11/25/24,,
31,UINT_1_ENTR2,Uint 1- Entry,"Shelving - 12"" - in place",0.00,Average,4.00,53.36,0.00,13.34,LF,Dwelling,Remove and Replace,2.34,1.11,4.91,4.98,0.00,0.00,FNCMN-A,1.39,65.71,150.00,Percent,7.89,Yes,57.82,Yes,No,FNC,SH12,CBODDENC,,,11/25/24,below water line,
32,UINT_1_ENTR2,Uint 1- Entry,Seal & paint closet shelving,0.00,Average,4.00,44.16,0.00,11.04,LF,Dwelling,Replace,2.47,1.24,5.43,1.90,0.00,0.00,PNTMN-A,0.53,53.63,15.00,Percent,7.60,Yes,46.03,Yes,No,PNT,CLOSLF,CBODDENC,,,11/25/24,,
33,UINT_1_ENTR2,Uint 1- Entry,"Shelving - 12"" - in place",0.00,Average,6.00,62.82,0.00,10.47,LF,Dwelling,Detach & Reset,2.89,1.36,6.19,0.03,0.00,0.00,FNCMN-A,0.01,75.39,150.00,Percent,0.00,Yes,75.39,Yes,No,FNC,SH12,CBODDENC,,,11/25/24,,
34,UINT_1_ENTR2,Uint 1- Entry,Seal & paint closet shelving,0.00,Average,6.00,66.24,0.00,11.04,LF,Dwelling,Replace,2.47,1.24,5.43,1.90,0.00,0.00,PNTMN-A,0.80,80.44,15.00,Percent,11.40,Yes,69.04,Yes,No,PNT,CLOSLF,CBODDENC,,,11/25/24,,
"3,277",UINT_1_ENTR2,Uint 1- Entry,Door peep hole,0.00,Average,2.00,56.60,0.00,28.30,EA,Dwelling,Remove and Replace,5.89,2.92,7.70,11.79,0.00,0.00,FNHMN-A,1.65,69.91,20.00,Percent,4.82,Yes,65.09,Yes,No,FNH,PEEP,CBODDENC,,,1/13/25,,SUP
"3,279",UINT_1_ENTR2,Uint 1- Entry,Exterior door - metal - insulated / wood - High grade,0.00,Average,1.00,963.64,0.00,963.64,EA,Dwelling,Remove and Replace,40.85,20.06,82.02,820.71,0.00,0.00,DORMN-A,57.45,1225.33,100.00,Percent,148.52,Yes,"1,076.81",Yes,No,DOR,X+,CBODDENC,,,1/13/25,Modified price of door material to reflect purchase price,SUP
"3,282",UINT_1_ENTR2,Uint 1- Entry,Door lockset & deadbolt - exterior - High grade,0.00,Average,1.00,159.57,0.00,159.57,EA,Dwelling,Remove and Replace,18.69,9.36,23.51,108.01,0.00,0.00,FNHMN-A,7.56,200.57,20.00,Percent,21.84,Yes,178.73,Yes,No,FNH,DBX+,CBODDENC,,,11/22/24,,
"3,281",UINT_1_ENTR2,Uint 1- Entry,Bifold door set - Colonist - Double,0.00,Average,1.00,377.33,0.00,377.33,EA,Dwelling,Remove and Replace,45.86,22.16,93.62,215.69,0.00,0.00,FNCMN-A,15.10,470.93,100.00,Percent,55.62,Yes,415.31,Yes,No,DOR,BF,CBODDENC,,Price List Item,1/14/25,,SUP
"3,283",UINT_1_ENTR2,Uint 1- Entry,Additional charge for a retrofit exterior door - difficult,0.00,Average,1.00,409.03,0.00,409.03,EA,Dwelling,Replace,112.64,52.99,239.89,3.51,0.00,0.00,DORMN-A,0.25,491.14,0.00,Percent,45.02,Yes,446.12,Yes,No,DOR,XRETR+,CBODDENC,,,2/16/25,,
"3,284",UINT_1_ENTR2,Uint 1- Entry,"Door numbers/letters - plastic or metal - up to 4""",0.00,Average,1.00,23.91,0.00,23.91,EA,Dwelling,Remove and Replace,5.28,2.62,6.50,9.51,0.00,0.00,FNHMN-A,0.67,29.5,10.00,Percent,2.11,Yes,27.39,Yes,No,EQC,SNDN,CBODDENC,,,11/22/24,,
"3,285",UINT_1_ENTR2,Uint 1- Entry,Door bell/chime button (button only),0.00,Average,1.00,37.56,0.00,37.56,EA,Dwelling,Remove and Replace,3.82,1.79,9.95,22.00,0.00,0.00,ELEMN-A,1.54,46.92,10.00,Percent,4.07,Yes,42.85,Yes,No,ELE,CBUTTON,CBODDENC,,,11/22/24,,
"3,793",UINT_1_ENTR2,Uint 1- Entry,Dehumidifier (per 24 hr period)- 110-159 ppd - No monitor.,0.00,Average,3.00,381.81,0.00,127.27,EA,Dwelling,Replace,0.00,0.00,0.00,0.00,127.27,0.00,None,0.00,458.17,0.00,Percent,0.00,Yes,458.17,Yes,No,WTR,DHM>>,CBODDENC,,Price List Item,1/13/25,1 unit for 3 Days,SUP
"3,794",UINT_1_ENTR2,Uint 1- Entry,Air mover (per 24 hour period) - No monitoring,0.00,Average,9.00,261.00,0.00,29.00,EA,Dwelling,Replace,0.00,0.00,0.00,0.00,29.00,0.00,None,0.00,313.2,0.00,Percent,0.00,Yes,313.20,Yes,No,WTR,DRY,CBODDENC,,,1/13/25,3 unit for 3 days,SUP
37,UNIT_1_HALL2,Unit 1- Hallway,Muck-out/Flood loss cleanup - Heavy,0.00,Average,36.76,190.42,0.00,5.18,SF,Dwelling,Remove,1.71,0.79,2.68,0.00,0.00,0.00,WTRMN-A,0.00,228.5,0.00,Percent,0.00,Yes,228.50,Yes,No,WTR,MUCK+,CBODDENC,,Price List Item,6/19/25,,
38,UNIT_1_HALL2,Unit 1- Hallway,Apply anti-microbial agent to the floor,0.00,Average,36.76,20.59,0.00,0.56,SF,Dwelling,Replace,0.10,0.05,0.16,0.05,0.00,0.20,WTRMN-A,0.13,24.86,0.00,Percent,0.00,Yes,24.86,Yes,No,WTR,GRM,CBODDENC,,,11/24/24,,
39,UNIT_1_HALL2,Unit 1- Hallway,Vinyl plank flooring - High grade,0.00,Average,36.76,364.66,0.00,9.92,SF,Dwelling,Remove and Replace,1.54,0.78,2.86,4.74,0.00,0.00,FCVMN-A,12.20,452.24,50.00,Percent,40.97,Yes,411.27,Yes,No,FCV,PLK+,CBODDENC,,Price List Item,11/24/24,,
40,UNIT_1_HALL2,Unit 1- Hallway,Add for glued down vinyl flooring application over concrete,0.00,Average,36.76,129.03,0.00,3.51,SF,Dwelling,Remove and Replace,0.73,0.40,1.26,1.11,0.00,0.01,FCWMN-A,2.86,158.27,150.00,Percent,0.00,Yes,158.27,Yes,No,FCW,GADDC,CBODDENC,,Price List Item,11/24/24,,
41,UNIT_1_HALL2,Unit 1- Hallway,Apply anti-microbial agent to part of the walls,0.00,Average,121.50,68.04,0.00,0.56,SF,Dwelling,Replace,0.10,0.05,0.16,0.05,0.00,0.20,WTRMN-A,0.43,82.15,0.00,Percent,0.00,Yes,82.15,Yes,No,WTR,GRM,CBODDENC,,,11/24/24,,
42,UNIT_1_HALL2,Unit 1- Hallway,Clean stud wall,0.00,Average,121.50,134.87,0.00,1.11,SF,Dwelling,Replace,0.29,0.15,0.65,0.02,0.00,0.00,CLNMN-A,0.17,162.06,0.00,Percent,0.00,Yes,162.06,Yes,No,CLN,STD,CBODDENC,,,11/24/24,,
43,UNIT_1_HALL2,Unit 1- Hallway,"Tear out wet drywall, no bagging, per LF - up to 4' tall",0.00,Average,29.42,160.34,0.00,5.45,LF,Dwelling,Remove,1.80,0.83,2.82,0.00,0.00,0.00,WTRMN-A,0.00,192.4,0.00,Percent,0.00,Yes,192.40,Yes,No,WTR,DRYN4,CBODDENC,,,11/24/24,,
44,UNIT_1_HALL2,Unit 1- Hallway,"1/2"" - drywall per LF - up to 4' tall",0.00,Average,29.42,534.27,0.00,18.16,LF,Dwelling,Replace,3.20,1.56,10.60,2.80,0.00,0.00,DRYMN-A,5.77,648.06,150.00,Percent,81.01,Yes,567.05,Yes,No,DRY,LF>,CBODDENC,,,11/24/24,,
45,UNIT_1_HALL2,Unit 1- Hallway,Seal/prime (1 coat) then paint (1 coat) part of the walls,0.00,Average,151.88,176.18,0.00,1.16,SF,Dwelling,Replace,0.25,0.13,0.55,0.23,0.00,0.00,PNTMN-A,2.45,214.37,15.00,Percent,30.37,Yes,184.00,Yes,No,PNT,SP,CBODDENC,,,11/24/24,,
46,UNIT_1_HALL2,Unit 1- Hallway,Scrape part of the walls & prep for paint,0.00,Average,30.38,23.09,0.00,0.76,SF,Dwelling,Replace,0.20,0.10,0.45,0.01,0.00,0.00,PNTMN-A,0.02,27.73,15.00,Percent,0.00,Yes,27.73,Yes,No,PNT,SCRP,CBODDENC,,,11/24/24,,
47,UNIT_1_HALL2,Unit 1- Hallway,Texture drywall - heavy hand texture,0.00,Average,151.88,255.16,0.00,1.68,SF,Dwelling,Replace,0.30,0.15,1.00,0.23,0.00,0.00,DRYMN-A,2.45,309.15,150.00,Percent,38.64,Yes,270.51,Yes,No,DRY,TEX+,CBODDENC,,Price List Item,11/24/24,,
48,UNIT_1_HALL2,Unit 1- Hallway,Paint the walls - one coat,0.00,Average,243.00,272.16,0.00,1.12,SF,Dwelling,Replace,0.17,0.09,0.38,0.17,0.00,0.31,PNTMN-A,2.89,330.07,15.00,Percent,46.76,Yes,283.31,Yes,No,PNT,P,CBODDENC,,,11/24/24,,
49,UNIT_1_HALL2,Unit 1- Hallway,Tear out baseboard- up to Cat 3,0.00,Average,29.42,36.19,0.00,1.23,LF,Dwelling,Remove,0.33,0.15,0.52,0.23,0.00,0.00,WTRMN-A,0.47,44,0.00,Percent,0.00,Yes,44.00,Yes,No,WTR,BASEB,CBODDENC,,,11/24/24,,
50,UNIT_1_HALL2,Unit 1- Hallway,"Baseboard - 3 1/4""",0.00,Average,29.42,134.16,0.00,4.56,LF,Dwelling,Replace,0.69,0.32,1.47,2.08,0.00,0.00,FNCMN-A,4.28,166.14,150.00,Percent,18.00,Yes,148.14,Yes,No,FNC,B3,CBODDENC,,,11/24/24,,
51,UNIT_1_HALL2,Unit 1- Hallway,Paint baseboard - two coats,0.00,Average,29.42,51.19,0.00,1.74,LF,Dwelling,Replace,0.42,0.21,0.93,0.18,0.00,0.00,PNTMN-A,0.37,61.88,15.00,Percent,8.76,Yes,53.12,Yes,No,PNT,B2,CBODDENC,,,11/24/24,,
52,UNIT_1_HALL2,Unit 1- Hallway,Base shoe,0.00,Average,29.42,62.37,0.00,2.12,LF,Dwelling,Remove and Replace,0.38,0.18,0.79,0.77,0.00,0.00,FNCMN-A,1.59,76.76,150.00,Percent,7.40,Yes,69.36,Yes,No,FNC,SHOE,CBODDENC,,,11/25/24,,
53,UNIT_1_HALL2,Unit 1- Hallway,Seal & paint base shoe or quarter round,0.00,Average,29.42,28.24,0.00,0.96,LF,Dwelling,Replace,0.22,0.11,0.49,0.14,0.00,0.00,PNTMN-A,0.29,34.23,15.00,Percent,4.85,Yes,29.38,Yes,No,PNT,SHOE,CBODDENC,,,11/25/24,,
54,UNIT_1_HALL2,Unit 1- Hallway,"Casing - 3 1/4"" stain grade",0.00,Average,20.00,109.80,0.00,5.49,LF,Dwelling,Remove and Replace,0.58,0.30,1.15,3.46,0.00,0.00,FNCMN-A,4.84,137.56,150.00,Percent,13.01,Yes,124.55,Yes,No,FNC,C>+,CBODDENC,,,11/25/24,cased opening to hallway,
55,UNIT_1_HALL2,Unit 1- Hallway,Paint casing - two coats,0.00,Average,20.00,35.20,0.00,1.76,LF,Dwelling,Replace,0.42,0.21,0.93,0.20,0.00,0.00,PNTMN-A,0.28,42.58,15.00,Percent,6.03,Yes,36.55,Yes,No,PNT,C2,CBODDENC,,,11/25/24,,
56,UNIT_1_HALL2,Unit 1- Hallway,Interior door unit,0.00,Average,1.00,372.99,0.00,372.99,EA,Dwelling,Remove and Replace,28.81,14.33,58.10,271.75,0.00,0.00,FNCMN-A,19.02,470.41,100.00,Percent,54.75,Yes,415.66,Yes,No,DOR,AV,CBODDENC,,,11/25/24,,
57,UNIT_1_HALL2,Unit 1- Hallway,Paint door slab only - 2 coats (per side),0.00,Average,2.00,91.54,0.00,45.77,EA,Dwelling,Replace,9.58,4.80,21.03,10.36,0.00,0.00,PNTMN-A,1.45,111.59,15.00,Percent,15.81,Yes,95.78,Yes,No,PNT,DOR,CBODDENC,,,11/25/24,,
58,UNIT_1_HALL2,Unit 1- Hallway,Paint door/window trim & jamb - 2 coats (per side),0.00,Average,2.00,76.46,0.00,38.23,EA,Dwelling,Replace,8.62,4.32,18.94,6.35,0.00,0.00,PNTMN-A,0.89,92.83,15.00,Percent,13.15,Yes,79.68,Yes,No,PNT,DORT,CBODDENC,,,11/25/24,,
59,UNIT_1_HALL2,Unit 1- Hallway,Door knob - interior,0.00,Average,1.00,63.81,0.00,63.81,EA,Dwelling,Remove and Replace,14.56,7.33,19.21,22.71,0.00,0.00,FNHMN-A,1.59,78.48,20.00,Percent,7.12,Yes,71.36,Yes,No,FNH,DORH,CBODDENC,,,11/25/24,,
60,UNIT_1_HALL2,Unit 1- Hallway,"Shelving - 12"" - in place",0.00,Average,6.00,80.04,0.00,13.34,LF,Dwelling,Remove and Replace,2.34,1.11,4.91,4.98,0.00,0.00,FNCMN-A,2.09,98.55,150.00,Percent,11.83,Yes,86.72,Yes,No,FNC,SH12,CBODDENC,,,11/25/24,below water line,
61,UNIT_1_HALL2,Unit 1- Hallway,Seal & paint closet shelving,0.00,Average,6.00,66.24,0.00,11.04,LF,Dwelling,Replace,2.47,1.24,5.43,1.90,0.00,0.00,PNTMN-A,0.80,80.44,15.00,Percent,11.40,Yes,69.04,Yes,No,PNT,CLOSLF,CBODDENC,,,11/25/24,,
62,UNIT_1_HALL2,Unit 1- Hallway,"Shelving - 12"" - in place",0.00,Average,9.00,94.23,0.00,10.47,LF,Dwelling,Detach & Reset,2.89,1.36,6.19,0.03,0.00,0.00,FNCMN-A,0.02,113.09,150.00,Percent,0.00,Yes,113.09,Yes,No,FNC,SH12,CBODDENC,,,11/25/24,,
63,UNIT_1_HALL2,Unit 1- Hallway,Seal & paint closet shelving,0.00,Average,9.00,99.36,0.00,11.04,LF,Dwelling,Replace,2.47,1.24,5.43,1.90,0.00,0.00,PNTMN-A,1.20,120.68,15.00,Percent,17.09,Yes,103.59,Yes,No,PNT,CLOSLF,CBODDENC,,,11/25/24,,
"3,287",UNIT_1_HALL2,Unit 1- Hallway,"Trim board - 1"" x 4"" - installed (pine)",0.00,Average,64.00,321.92,0.00,5.03,LF,Dwelling,Remove and Replace,0.87,0.43,1.76,1.97,0.00,0.00,FNCMN-A,8.83,396.89,150.00,Percent,38.26,Yes,358.63,Yes,No,FNC,1X4,CBODDENC,,,1/13/25,Wall Accent trim boards vertical installed and painted,SUP
"3,288",UNIT_1_HALL2,Unit 1- Hallway,Caulking - acrylic,0.00,Average,128.00,422.40,0.00,3.30,LF,Dwelling,Replace,0.74,0.37,2.00,0.19,0.00,0.00,PNTMN-A,1.70,508.92,5.00,Percent,63.62,Yes,445.30,Yes,No,MPR,CLKA,CBODDENC,,,1/13/25,Trim boards caulking needed to paint without cracks,SUP
"3,289",UNIT_1_HALL2,Unit 1- Hallway,Seal (1 coat) & paint (1 coat) trim,0.00,Average,64.00,126.72,0.00,1.98,LF,Dwelling,Replace,0.43,0.22,1.18,0.15,0.00,0.00,PNTMN-A,0.67,152.87,15.00,Percent,21.65,Yes,131.22,Yes,No,PNT,TRIM,CBODDENC,,,1/13/25,,SUP
66,UNIT_1FRONT2,Unit 1-Front Bedroom,Muck-out/Flood loss cleanup - Heavy,0.00,Average,148.32,768.30,0.00,5.18,SF,Dwelling,Remove,1.71,0.79,2.68,0.00,0.00,0.00,WTRMN-A,0.00,921.96,0.00,Percent,0.00,Yes,921.96,Yes,No,WTR,MUCK+,CBODDENC,,Price List Item,6/19/25,,
67,UNIT_1FRONT2,Unit 1-Front Bedroom,Apply anti-microbial agent to the floor,0.00,Average,148.32,83.06,0.00,0.56,SF,Dwelling,Replace,0.10,0.05,0.16,0.05,0.00,0.20,WTRMN-A,0.52,100.3,0.00,Percent,0.00,Yes,100.30,Yes,No,WTR,GRM,CBODDENC,,,11/24/24,,
68,UNIT_1FRONT2,Unit 1-Front Bedroom,Vinyl plank flooring - High grade,0.00,Average,148.32,"1,471.34",0.00,9.92,SF,Dwelling,Remove and Replace,1.54,0.78,2.86,4.74,0.00,0.00,FCVMN-A,49.21,1824.67,50.00,Percent,165.28,Yes,"1,659.39",Yes,No,FCV,PLK+,CBODDENC,,Price List Item,11/24/24,,
69,UNIT_1FRONT2,Unit 1-Front Bedroom,Add for glued down vinyl flooring application over concrete,0.00,Average,148.32,520.60,0.00,3.51,SF,Dwelling,Remove and Replace,0.73,0.40,1.26,1.11,0.00,0.01,FCWMN-A,11.52,638.54,150.00,Percent,0.00,Yes,638.54,Yes,No,FCW,GADDC,CBODDENC,,Price List Item,11/24/24,,
70,UNIT_1FRONT2,Unit 1-Front Bedroom,Apply anti-microbial agent to part of the walls,0.00,Average,248.00,138.88,0.00,0.56,SF,Dwelling,Replace,0.10,0.05,0.16,0.05,0.00,0.20,WTRMN-A,0.87,167.71,0.00,Percent,0.00,Yes,167.71,Yes,No,WTR,GRM,CBODDENC,,,11/24/24,,
71,UNIT_1FRONT2,Unit 1-Front Bedroom,Clean stud wall,0.00,Average,248.00,275.28,0.00,1.11,SF,Dwelling,Replace,0.29,0.15,0.65,0.02,0.00,0.00,CLNMN-A,0.35,330.77,0.00,Percent,0.00,Yes,330.77,Yes,No,CLN,STD,CBODDENC,,,11/24/24,,
72,UNIT_1FRONT2,Unit 1-Front Bedroom,"Tear out wet drywall, no bagging, per LF - up to 4' tall",0.00,Average,62.00,337.90,0.00,5.45,LF,Dwelling,Remove,1.80,0.83,2.82,0.00,0.00,0.00,WTRMN-A,0.00,405.48,0.00,Percent,0.00,Yes,405.48,Yes,No,WTR,DRYN4,CBODDENC,,,11/24/24,,
