Code,Description,Tax Status,Contractor Supplied,Quantity,Unit,Unit Price,Total,Request third-party pricing
DORCOL,Interior door - Colonist - pre-hung unit,Taxable,Yes,56.00072668,EA,166.377,"9,317.23*",
DORCOL-,Interior door - Colonist - slab only,Taxable,Yes,5.000017226,EA,99.514,497.57,
DORIBS,Interior barn door - slab only,Taxable,Yes,1,EA,139,139,
DORJ+,Additional cost for stain grade softwood jamb,Taxable,Yes,18.99998746,EA,26.57,504.83,
DORJ4,"Wood door jamb stock - finger-jointed pine, 4 9/16""",Taxable,Yes,1081.122754,LF,2.08,"2,248.74*",
DORLVR,Full louvered fir door - paint-grade jamb,Taxable,Yes,9.999928241,EA,378.704,"3,787.01*",
DORPKTH,Pocket door hardware package,Taxable,Yes,3.000026344,EA,56.8,170.4,
DORPKTJMB,Pocket door jamb set - paint grade,Taxable,Yes,3.000026344,EA,24.98,74.94,
DORSCRNM,"Screen door - metal - 30"" - 36"" - full screen (no glass)",Taxable,Yes,2,EA,120,240,
DORSCRNM-,"Screen door - metal - 30"" - 36"" full screen - Standard grade",Taxable,Yes,49.99799312,EA,74.743,"3,737.00*",
DORSTRMD,Storm door assembly,Taxable,Yes,15,EA,214.2,"3,213.00",
DORX+,Exterior door - wood or metal - High grade - pre-hung unit,Taxable,Yes,26.15389433,EA,494.978,"12,945.60*",
DRY1/2,"Gypsum board, 1/2""",Taxable,Yes,19947.26342,SF,0.469,"9,355.27*",
DRYCBEAD,Metal corner bead,Taxable,Yes,249.4521605,LF,0.477,118.99,
DRYMUD,Drywall joint compound - 50 lb box,Taxable,Yes,386.6974288,BX,17.459,"6,751.35*",
DRYN,Drywall nails (based on 25 to 50 lb box),Taxable,Yes,0.925677259,LB,2.2,2.04*,
DRYSCREW,Drywall screws - grabber - (based on 25 to 50 lb box),Taxable,Yes,83.78122785,LB,3.174,265.92,
DRYTAPE,Joint tape - 500' roll,Taxable,Yes,10.39871503,RL,6.882,71.56*,
ELECBM600,"Main circuit breaker, 600 amp",Taxable,Yes,1,EA,5586.13,"5,586.13",
ELECBUTTON,Door bell/chime button (button only),Taxable,Yes,16,EA,22,352,
ELEMETR,Meter base and main disconnect - 200 amp,Taxable,Yes,30.00042918,EA,279.606,"8,388.30*",
EQCSNDN,"Door numbers/letters - metal - 4"" tall - per number/letter",Taxable,Yes,22,EA,9.51,209.22,
FCCAV,Carpet - Allowance,Taxable,Yes,857.3897645,SF,2.916,"2,500.15",
FCCPRE1/2,"Carpet pad - rebond, 6 lb",Taxable,Yes,773.4797688,SF,0.519,401.44,
FCCTACK,Carpet tackless strip - 400 lf/box,Taxable,Yes,0.573888731,BX,41.039,23.55*,
FCCTAPE,Carpet seaming tape - 66 lf per roll,Taxable,Yes,1.714779529,RL,16.024,27.48*,
FCTAV,Ceramic/porcelain floor tile,Taxable,Yes,188.235322,SF,4.11,773.65*,
FCVPATCH,Floor patching compound - 5 lb box,Taxable,Yes,8.988630503,BX,13.95,125.39*,
FCVPLK+,Vinyl plank flooring - High grade,Taxable,Yes,2371.999716,SF,4.21,"9,986.12",
FCWGLUE,Wood flooring adhesive,Taxable,Yes,116.9144406,GL,42.062,"4,917.66*",
FCWLAMTD,Engineered wood flooring,Taxable,Yes,1655.322267,SF,5.093,"8,430.56*",
FCWLAMTD+,Engineered wood flooring - High grade,Taxable,Yes,897.8409376,SF,7.704,"6,916.97*",
FCWNAILS,Nails for hardwood flooring nailer - (1000 count box),Taxable,Yes,21.79086661,BX,24.108,525.33*,
FNC1X3FJ,"1"" x 3"" finger-jointed pine - S4S",Taxable,Yes,18.95553512,LF,0.932,17.67,
FNC1X4D,"1"" x 4"" Select grade pine - S4S",Taxable,Yes,253.8118991,LF,1.659,421.07,
FNC1X4M,"1"" x 4"" MDF",Taxable,Yes,44.3765285,LF,1.25,55.47*,
FNC1X8M,"1"" x 8"" MDF",Taxable,Yes,22.18826425,LF,2.271,50.39,
FNC3/4CH,"Domestic Cherry - 3/4"" rough hardwood",Taxable,Yes,40.45321973,BF,7.842,317.23*,
FNC4/4CH,"Domestic Cherry - 4/4 (1"") rough hardwood",Taxable,Yes,63.77573927,BF,8.077,515.12*,
FNCB3,"Baseboard - 3 1/4"" finger-jointed pine",Taxable,Yes,3284.001892,LF,1.95,"6,403.80",
FNCB3H,"Baseboard - 3 1/2"" hardwood",Taxable,Yes,151.0730028,LF,3.239,489.33*,
FNCB5,"Baseboard - 5 1/4"" finger-joint pine",Taxable,Yes,327.0970005,LF,2.942,962.32*,
FNCC>,"Casing - 3 1/4""",Taxable,Yes,4205.575576,LF,2.777,"11,678.88*",
FNCC>+,"Casing - 3 1/4"" stain grade softwood",Taxable,Yes,821.0461273,LF,3.265,"2,680.72*",
FNCCAM>+,"Casing - 3 1/4"" MDF w/detail",Taxable,Yes,42.1731318,LF,2.5,105.43,
FNCCBL>+,"Corbel - wood - over 4"" wide w/ intricate detail",Taxable,Yes,1.42857656,EA,157.83,225.47*,
FNCCHR,"Chair rail - 2 1/2"" finger-jointed pine",Taxable,Yes,66.67632199,LF,1.732,115.48*,
FNCCHR>,"Chair rail - oversized - 3 1/4"" finger-jointed pine",Taxable,Yes,23.86379223,LF,2.485,59.30*,
FNCCLOSDR,"Closet organizer - Drawer - 4""-6"" - melamine",Taxable,Yes,6.499223278,EA,24.32,158.06*,
FNCCLOSDR>,"Closet organizer - Drawer - 10""-12"" - melamine",Taxable,Yes,6.499223278,EA,26.954,175.18*,
FNCCLOSHB12,"Closet organizer - 12"" Shelf Bracket - wire",Taxable,Yes,1.999411938,EA,4.501,9,
FNCCLOSHM,Closet organizer - shelf pack (per set) - melamine,Taxable,Yes,25.99689311,EA,17.655,458.98*,
FNCCLOSHW,Closet organizer - Wire shelf (12' x 8'),Taxable,Yes,2.999117906,EA,16.508,49.51*,
FNCCLOSSR,Closet organizer - Shoe Rack (21) - wire,Taxable,Yes,0.999705969,EA,27.305,27.30*,
FNCCLOSST,Closet organizer - Shoe Stacker - melamine,Taxable,Yes,6.499223278,EA,23.99,155.92*,
FNCCLOST1,Closet organizer - Starter unit - floor mtd. - melamine,Taxable,Yes,6.499223278,EA,54.96,357.20*,
FNCCLOSWB,"Closet organizer - 12"" Wall Brace - wire",Taxable,Yes,1.999411938,EA,2.998,5.99*,
FNCP1/4CHP,"Hardwood panel, 1/4"" cherry ply",Taxable,Yes,2.392582046,SH,97.12,232.37*,
FNCP3/4CHP,"Hardwood panel, 3/4"" cherry ply",Taxable,Yes,2.974873098,SH,151.65,451.14*,
FNCPCAP,Panel cap - stain grade,Taxable,Yes,97.8894011,LF,1.795,175.71,
FNCPNM3/4,"MDF panel, 3/4""",Taxable,Yes,38.18632434,SF,2.126,81.18*,
FNCSH12,"12"" particle board shelving",Taxable,Yes,58.99616884,LF,2.33,137.46*,
FNCSHIMS,Wood shims,Taxable,Yes,19.92108211,BN,4.31,85.86,
FNCSHOE,Shoe molding,Taxable,Yes,1432.971616,LF,0.719,"1,030.31",
FNCSTOP,"Window stop - 5/8"" wide - finger joint pine",Taxable,Yes,84.26885796,LF,0.68,57.3,
FNHDB,Deadbolt,Taxable,Yes,4,EA,32.15,128.6,
FNHDB+,Deadbolt - High grade,Taxable,Yes,14,EA,48.54,679.56,
FNHDORH,Door passage or lockset - interior,Taxable,Yes,67,EA,22.71,"1,521.57",
FNHDORHX,Door lockset - exterior,Taxable,Yes,4,EA,33.07,132.28,
FNHDORHX+,Door lockset - exterior - High grade,Taxable,Yes,14,EA,59.47,832.58,
FNHGBAR<,"24"" grab bar",Taxable,Yes,1.999946597,EA,37.451,74.9,
FNHGBAR>,"36"" grab bar",Taxable,Yes,1,EA,52.5,52.5,
FNHIBH,"Interior barn door hardware kit - up to 96""",Taxable,Yes,1,EA,149,149,
FNHPEEP,Door peep hole,Taxable,Yes,32,EA,11.79,377.28,
FNHPKTL,Pocket door latch - locking,Taxable,Yes,3,EA,11.25,33.75,
FNHSDISH,Soap dish - wall mounted,Taxable,Yes,16,EA,10.98,175.68,
FNHTP,Toilet paper holder,Taxable,Yes,18,EA,12.37,222.66,
FPLDVPIPE,Direct vent pipe,Taxable,Yes,6.024104166,LF,30.205,181.96*,
FPLGDOR,Glass fireplace door,Taxable,Yes,1,EA,368,368,
FPLMNTL++,Fireplace mantel - paint grade - custom,Taxable,Yes,0.999997361,EA,1136.783,"1,136.78",
FPLTERM,Direct vent termination kit,Taxable,Yes,1.000001292,EA,304.937,304.94,
FPLZGDV+,High grade direct vent fireplace box,Taxable,Yes,1.000001292,EA,3515,"3,515.00",
FRM2X4T,"2"" x 4"" - treated lumber",Taxable,Yes,48.23945027,LF,0.625,30.15,
FRMSH3/4,"Sheathing - plywood - 3/4"" - CDX",Taxable,Yes,0.43741805,SH,43.007,18.81*,
HVCAH2,Air handler - w/no coil - 2 ton - Electric,Taxable,Yes,15,EA,720,"10,800.00",
HVCAHH,Heat element for air handler - 10KW,Taxable,Yes,15,EA,164,"2,460.00",
INSBT6,"Insulation - R-19 ""Kraft"" or foil faced batt",Taxable,Yes,3730.764688,SF,0.93,"3,469.61",
INSFOAM,"Liquid foam sealant for doors, windows, etc. - 24 oz. can",Taxable,Yes,2.746335611,EA,19.171,52.65*,
INSSTAPLE,"3/8"" Staples - 1000 count box",Taxable,Yes,5.250705857,EA,4.024,21.13,
MASSAND,Washed sand,Taxable,Yes,0.377898818,CY,46.5,17.57*,
MBLCT,Countertop - cultured (simulated) marble,Taxable,Yes,7.653375378,SF,20.84,159.50*,
MBLSHC,Corner shelf - cultured marble or ceramic,Taxable,Yes,7.999951526,EA,33.91,271.28,
MBLSILNM4,"Sill - natural marble on 2"" x 4"" wall",Taxable,Yes,3.061139817,LF,22.87,70.01*,
MPRCLKA,Caulking - acrylic - 10 oz tube,Taxable,Yes,9.010517122,TB,7.21,64.97*,
MPRCLKST,Silicone caulk - 10 oz tube,Taxable,Yes,33.19263629,TB,11.991,398.01*,
MPRWINFLSH,Window flashing - 300 ft roll,Taxable,Yes,3.182830898,RL,44,140.04*,
MSDAV,"Mirror - 1/4"" plate glass",Taxable,Yes,284,SF,16,"4,544.00",
MSDAVF+,Mirror - framed - High grade,Taxable,Yes,159.9936118,SF,50.092,"8,014.40*",
MSDSDOR,Shower door,Taxable,Yes,15.99996066,EA,406.751,"6,508.00*",
MSDSDOR+,Shower door - High grade,Taxable,Yes,0.99999336,EA,602.394,602.39,
NAIL4F,4d finish nails (based on 5 lb box),Taxable,Yes,2.583718715,LB,3.098,8.00*,
NAIL6F,6d finish nails (based on 5 lb box),Taxable,Yes,55.39540692,LB,3.44,190.56*,
NAIL8S,"1/4"" crown, 18 gauge staples for air gun, approx 5000 count",Taxable,Yes,0.008840309,BX,33.53,0.30*,
PLALATH,Metal lath for plaster application,Taxable,Yes,163.1389416,SF,0.5,81.57,
PLMBOWLBLTS,Brass bolts used to secure bowl to the floor - two,Taxable,Yes,17.99961847,EA,4.263,76.73,
PLMBP4F,"Black pipe, 4"" - fittings",Taxable,Yes,18.00013378,EA,107.25,"1,930.51*",
PLMBV3/4,"In-line ball valve - 3/4"" - brass",Taxable,Yes,15.00001427,EA,15.689,235.34,
PLMCP1,"Copper pipe, 1""",Taxable,Yes,51.98840762,LF,7.986,415.18*,
PLMCP1F,"Copper pipe, 1"" - fittings",Taxable,Yes,6.498550953,EA,10.297,66.92*,
PLMCP1H,"Copper pipe, 1"" - hanger",Taxable,Yes,6.498550953,EA,2.072,13.46*,
PLMCP3/4F,"Copper pipe, 3/4"" - fittings",Taxable,Yes,9.000571012,EA,4.636,41.73*,
PLMDRN-SWR,"Shower drain - PVC base, chrome/stainless steel strainer",Taxable,Yes,11,EA,29.03,319.33,
PLMDRN4,"Drain/Waste/Vent line, 4"" ABS",Taxable,Yes,36.7349669,LF,5.21,191.39*,
PLMFLDR,"Plastic floor drain - 3"" drain",Taxable,Yes,1.999448174,EA,10.873,21.74*,
PLMFTGFL,Closet flange - ABS,Taxable,Yes,18.00013378,EA,9.388,168.99*,
PLMPRVLV,Pressure relief valve for water heater,Taxable,Yes,15.00001427,EA,11.178,167.67,
PLMPTRAP,"""P"" trap with flange - 1 1/2"" ABS",Taxable,Yes,35,EA,8.36,292.6,
PLMPVCCEM,PVC joint cement,Taxable,Yes,0.180001338,QT,13.84,2.49,
PLMSL3/4,"3/4"" flexible copper supply tube - 24"" long",Taxable,Yes,30.00002853,EA,16.624,498.72,
PLMSTOP,"1/2"" Compression angle stop",Taxable,Yes,85.98622016,EA,12.482,"1,073.28*",
PLMSWRPAN,"Shower pan, 6 to 15 SF of surface area",Taxable,Yes,11,EA,17.2,189.2,
PLMTET2,Thermal expansion tank - 2 gallon,Taxable,Yes,9.000571012,EA,58.41,525.72*,
PLMWAXRING,Wax ring closet gasket,Taxable,Yes,17.99961847,EA,3.859,69.46,
PLMWH30E++,Water heater - 30 gallon - Electric - 12 yr,Taxable,Yes,14.00001826,EA,706.534,"9,891.49*",
PLMWH50++,Water heater - 50 gallon - Gas - 12 yr,Taxable,Yes,0.999996006,EA,941.309,941.31,
PNTCALK,Caulking - acrylic,Taxable,Yes,83.28059855,TB,3.991,332.37,
PNTL,Latex paint,Taxable,Yes,244.7804,GL,55.402,"13,561.32*",
PNTLQP,Lacquer - pre-catalyzed,Taxable,Yes,1.619439015,GL,54.158,87.71*,
PNTOIL,Oil based or water-oil hybrid paint,Taxable,Yes,2.658999172,GL,51.032,135.69*,
PNTOILS,Oil based or water-oil hybrid sealer/primer,Taxable,Yes,8.320506903,GL,31.483,261.95*,
PNTPUT,Painter's putty,Taxable,Yes,10.91169724,GL,26.48,288.94*,
PNTSANDP,160 - 180 grit sandpaper - per sheet,Taxable,Yes,537.1784124,SH,1.03,553.29*,
PNTSEAL,Sealer - stain blocker - latex based,Taxable,Yes,4.634042857,GL,25.095,116.29*,
PNTSEALPVA,PVA - latex drywall primer/sealer,Taxable,Yes,60.79937016,GL,19.41,"1,180.12*",
PNTST,Oil based stain,Taxable,Yes,0.736826721,GL,55.219,40.69*,
PNTTHIN,Paint thinner (mineral spirits),Taxable,Yes,1.309470456,GL,18.897,24.75*,
PNTUR,Polyurethane finish,Taxable,Yes,2.578882654,GL,58.575,151.06*,
PNTXL,Exterior latex,Taxable,Yes,6.026103698,GL,59.467,358.35*,
SCREW#10/2,"Wood screw - #10 x 2"", 1 lb box",Taxable,Yes,1.68417869,BX,9.15,15.41*,
SCREW#10/3,"Wood screw - zinc plated - #10 x 3"", 100 count box",Taxable,Yes,1.78947698,BX,14.414,25.79*,
TILAV,Ceramic/porcelain tile,Taxable,Yes,213.1895454,SF,4.28,912.45,
TILAV+,Ceramic/porcelain tile - High grade,Taxable,Yes,2386.76133,SF,6.52,"15,561.68",
TILAV++,Ceramic/porcelain tile - Premium grade,Taxable,Yes,175.5354522,SF,11.28,"1,980.04*",
TILAVB,"Ceramic tile - bullnose - 3/4"" x 6""",Taxable,Yes,280.5487709,EA,1.07,300.19,
TILAVB+,"Ceramic tile - bullnose - 3/4"" x 6"" - High grade",Taxable,Yes,275.502115,EA,1.95,537.23,
TILBASE,"Ceramic tile base - 4 1/4"" x 4 1/4""",Taxable,Yes,416.0124857,EA,1.95,811.22,
TILBCEM1/2,"1/2"" Cement board - 3' x 5' sheet",Taxable,Yes,115.6770312,SH,18.492,"2,139.10*",
TILBFB1/2,"1/2"" Foam backer board",Taxable,Yes,236.533217,SF,3.41,806.58*,
TILBFBAND,Band tape (for foam backer board),Taxable,Yes,119.5115201,LF,1.25,149.39,
TILBFBC,Bonding compound (for foam backer board),Taxable,Yes,0.262814686,TB,22,5.78*,
TILBFF,Fastener with washer - box of 100 (for foam backer board),Taxable,Yes,1.904829142,BX,37,70.48*,
TILBFSC,Seal collars (for foam backer board),Taxable,Yes,0.545845885,EA,9.3,5.08*,
TILFSTRIP,Tile accent strip - 3 x 8,Taxable,Yes,464.9265699,EA,3.04,"1,413.38*",
TILFSTRIP+,Tile accent strip - 3 x 12,Taxable,Yes,4.744444444,EA,7.695,36.51*,
TILGROUT,Ceramic tile grout - 25 lb bag,Taxable,Yes,127.9476627,BG,32.004,"4,094.84*",
TILGT+,Glass tile - High grade,Taxable,Yes,23.33485692,SF,21.02,490.50*,
TILMASTIC,Tile Mastic,Taxable,Yes,1.301783003,GL,20.99,27.32*,
TILMUD,Dry-set mortar - 50 lb bag,Taxable,Yes,14.35018468,BG,10.446,149.9,
TILSCREW,"1 1/4"" Cement board screw - 200 count box",Taxable,Yes,27.3971916,EA,10.68,292.60*,
TILSEALS,Tile/stone sealer - 1 gallon,Taxable,Yes,22.56276015,GL,102.777,"2,318.93*",
TILSIL6,"6"" tile used for window sills",Taxable,Yes,22.25255565,EA,1.71,38.05,
TILSOAP,Soap dish,Taxable,Yes,18.0000056,EA,10.545,189.81,
TILSOAP+,Soap dish - ceramic designer colors or cast stone,Taxable,Yes,1.999984438,EA,24.69,49.38,
TILSWRPMD,Drain w/grate - use in waterproof membrane showers/floors,Taxable,Yes,10,EA,145.74,"1,457.40",
TILTAPE,"Mesh tape - 2"" x 100' roll",Taxable,Yes,8.21915748,RL,7.71,63.37*,
TILTHIN,Thinset - multipurpose latex fortified - 50 lb bag,Taxable,Yes,59.67135284,BG,21.614,"1,289.74*",
TILTRIM,Tile - radius trim piece,Taxable,Yes,1203.704396,EA,1.58,"1,901.85",
WDAP,"Aluminum window - picture, 12-23 sf",Taxable,Yes,1.999978189,EA,180.346,360.69,
WDAS,"Aluminum window - single hung, 9-12 sf",Taxable,Yes,5.999870591,EA,132.147,792.86*,
WDP8F,8-0 6-8 fiberglass sliding patio door,Taxable,Yes,27.00006063,EA,2606.938,"70,387.48*",
WDTBLA1>>,"Window blind - aluminum - 1"" - 20.1 to 32 SF",Taxable,Yes,3.00011685,EA,102.696,308.10*,
WDTBLA1X>+,"Window blind - aluminum - 1"" - 42.1 to 56 SF - High grade",Taxable,Yes,26,EA,245.74,"6,389.24",
WPRADHV,Wallpaper adhesive,Taxable,Yes,0.95125032,GL,21.218,20.18*,
WPRSIZ,Wall sizing,Taxable,Yes,0.887833632,GL,34.245,30.40*,
WPRVINYL+,Vinyl wallcovering - High grade,Taxable,Yes,31.23859074,SY,9.29,290.21*,
CARP-FNC,"Carpenter - Finish, Trim/Cabinet",Taxable,Yes,64.8832,HR,93.75,"6,082.80*",
CARP-FNC,"Carpenter - Finish, Trim/Cabinet",Taxable,Yes,846.5328936,HR,94,"79,574.09*",
CARP-FNC,"Carpenter - Finish, Trim/Cabinet",Taxable,Yes,118.7766511,HR,94.48,"11,222.02*",
CARP-MECH,Carpenter - Mechanic,Taxable,Yes,97.56968421,HR,95,"9,269.12*",
CLN,Cleaning Technician,Taxable,Yes,364.7527483,HR,60,"21,885.16*",
CLN-R,Cleaning Remediation Technician,Taxable,Yes,1350.727178,HR,72.88,"98,441.00*",
CLN-R,Cleaning Remediation Technician,Taxable,Yes,0.331002331,HR,72.93,24.14*,
DMO,Demolition Laborer,Taxable,Yes,6.968923077,HR,65,452.98*,
DMO,Demolition Laborer,Taxable,Yes,890.6516303,HR,65.14,"58,017.05*",
DMO,Demolition Laborer,Taxable,Yes,72.14195815,HR,65.47,"4,723.13*",
DRY,Drywall Installer/Finisher,Taxable,Yes,824.6127276,HR,114.24,"94,203.76*",
DRY,Drywall Installer/Finisher,Taxable,Yes,0.342840254,HR,135.34,46.40*,
ELE,Electrician,Taxable,Yes,1.855251848,HR,116.34,215.84*,
ELE,Electrician,Taxable,Yes,13.7292,HR,125,"1,716.15*",
ELE,Electrician,Taxable,Yes,118.3454459,HR,125.49,"14,851.17*",
FLR,Flooring Installer,Taxable,Yes,9.05522444,HR,98.69,893.66*,
FLR,Flooring Installer,Taxable,Yes,0.668482116,HR,98.69,65.97*,
FLR-W,Wood Flooring Installer,Taxable,Yes,206.452197,HR,84.16,"17,375.02*",
HDW,Hardware Installer,Taxable,Yes,9.554972205,HR,64.76,618.78*,
HDW,Hardware Installer,Taxable,Yes,157.7887218,HR,66.5,"10,492.95*",
HDW,Hardware Installer,Taxable,Yes,23.89766607,HR,66.84,"1,597.32*",
HVC,Heating / A.C. Mechanic,Taxable,Yes,5.387181818,HR,110,592.59*,
HVC,Heating / A.C. Mechanic,Taxable,Yes,109.0909091,HR,110,"12,000.00*",
INS,Insulation Installer,Taxable,Yes,20.27034198,HR,67.84,"1,375.14*",
LBR,General Laborer,Taxable,Yes,13.045,HR,60,782.70*,
PLM,Plumber,Taxable,Yes,308.4404242,HR,165,"50,892.67*",
PLM,Plumber,Taxable,Yes,19.08593326,HR,165.71,"3,162.73*",
PNT,Painter,Taxable,Yes,889.2176417,HR,81.67,"72,622.40*",
PNT,Painter,Taxable,Yes,16.47248582,HR,95.22,"1,568.51*",
STL,Steel Worker,Taxable,Yes,0.415413534,HR,74.48,30.94*,
TIL,Tile/Cultured Marble Installer,Taxable,Yes,875.1363326,HR,95,"83,137.95*",
TIL,Tile/Cultured Marble Installer,Taxable,Yes,77.20143684,HR,95,"7,334.14*",
WPR,Wallpaper Hanger,Taxable,Yes,8.27503614,HR,98.23,812.86*,
