#,Group Code,Group Description,Desc,Age,Condition,Qty,Item Amount,Reported Cost,Unit Cost,Unit,Coverage,Activity,Worker's Wage,Labor burden,Labor Overhead,Material,Equipment,Market Conditions,Labor Minimum,Sales Tax,RCV,Life,Depreciation Type,Depreciation Amount,Recoverable,ACV,Tax,Replace,Cat,Sel,Owner,Original Vendor,Date
64,,,Suspended ceiling system - 2' x 2',0.00,Average,0.00,0.00,0.00,0.70,SF,,Remove,0.28,0.16,0.25,0.00,0.00,0.01,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STG2,PAULGAGN,,11/2/2020
65,,,Suspended ceiling system - Standard grade - 2' x 2',0.00,Average,0.00,0.00,0.00,0.69,SF,,Remove,0.28,0.16,0.25,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STG2-,PAULGAGN,,11/2/2020
66,,,Suspended ceiling system - High grade - 2' x 2',0.00,Average,0.00,0.00,0.00,0.70,SF,,Remove,0.28,0.16,0.25,0.00,0.00,0.01,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STG2+,PAULGAGN,,11/2/2020
67,,,Suspended ceiling system - Premium grade - 2' x 2',0.00,Average,0.00,0.00,0.00,0.70,SF,,Remove,0.28,0.16,0.25,0.00,0.00,0.01,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STG2++,PAULGAGN,,11/2/2020
68,,,Suspended ceiling system - 2' x 2' fabric covered,0.00,Average,0.00,0.00,0.00,0.69,SF,,Remove,0.28,0.16,0.25,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STGF2,PAULGAGN,,11/2/2020
69,,,Suspended ceiling system - Linear metal strip,0.00,Average,0.00,0.00,0.00,0.34,SF,,Remove,0.14,0.08,0.12,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STGLIN,PAULGAGN,,11/2/2020
70,,,Suspended ceiling tile - Detach & reset,0.00,Average,0.00,0.00,0.00,1.24,SF,,Replace,0.33,0.16,0.75,0.00,0.00,0.00,ACTMN-A,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,ACT,STRS,PAULGAGN,,11/2/2020
71,,,Tin ceiling cornice - embossed - unpainted,0.00,Average,0.00,0.00,0.00,0.50,LF,,Remove,0.20,0.12,0.18,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,TINCC,PAULGAGN,,11/2/2020
72,,,Tin ceiling cornice - embossed - factory painted,0.00,Average,0.00,0.00,0.00,0.50,LF,,Remove,0.20,0.12,0.18,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,TINCC+,PAULGAGN,,11/2/2020
73,,,Tin ceiling cornice - embossed - chrome/brass/copper,0.00,Average,0.00,0.00,0.00,0.50,LF,,Remove,0.20,0.12,0.18,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,TINCC++,PAULGAGN,,11/2/2020
74,,,Tin ceiling panel - embossed - unpainted,0.00,Average,0.00,0.00,0.00,0.42,SF,,Remove,0.17,0.10,0.15,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,TINCP,PAULGAGN,,11/2/2020
75,,,Tin ceiling panel - embossed - factory painted,0.00,Average,0.00,0.00,0.00,0.42,SF,,Remove,0.17,0.10,0.15,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,TINCP+,PAULGAGN,,11/2/2020
76,,,Tin ceiling panel - embossed - chrome/brass/copper,0.00,Average,0.00,0.00,0.00,0.42,SF,,Remove,0.17,0.10,0.15,0.00,0.00,0.00,ACTMN-A,0.00,0,150.00,Percent,0.00,Yes,0.00,Yes,No,ACT,TINCP++,PAULGAGN,,11/2/2020
77,,,Tin ceiling panel - embossed - Detach & reset,0.00,Average,0.00,0.00,0.00,1.73,SF,,Replace,0.47,0.22,1.04,0.00,0.00,0.00,ACTMN-A,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,ACT,TINCPRS,PAULGAGN,,11/2/2020
78,,,Gas can,0.00,Average,1.00,29.00,0.00,29.00,EA,,Replace,0.00,0.00,0.00,29.00,0.00,0.00,None,2.32,31.32,10.00,Percent,0.00,Yes,31.32,Yes,No,AMA,AAGC,PAULGAGN,,11/2/2020
79,,,Gas can - Standard grade,0.00,Average,1.00,16.00,0.00,16.00,EA,,Replace,0.00,0.00,0.00,16.00,0.00,0.00,None,1.28,17.28,10.00,Percent,0.00,Yes,17.28,Yes,No,AMA,AAGC-,PAULGAGN,,11/2/2020
80,,,Gas can - High grade,0.00,Average,1.00,55.00,0.00,55.00,EA,,Replace,0.00,0.00,0.00,55.00,0.00,0.00,None,4.40,59.4,10.00,Percent,0.00,Yes,59.40,Yes,No,AMA,AAGC+,PAULGAGN,,11/2/2020
81,,,Automobile Rim,0.00,Average,1.00,160.00,0.00,160.00,EA,,Replace,0.00,0.00,0.00,160.00,0.00,0.00,None,12.80,172.8,10.00,Percent,0.00,Yes,172.80,Yes,No,AMA,AAMR,PAULGAGN,,11/2/2020
82,,,Automobile Rim - Standard grade,0.00,Average,1.00,80.00,0.00,80.00,EA,,Replace,0.00,0.00,0.00,80.00,0.00,0.00,None,6.40,86.4,10.00,Percent,0.00,Yes,86.40,Yes,No,AMA,AAMR-,PAULGAGN,,11/2/2020
83,,,Automobile Rim - High grade,0.00,Average,1.00,540.00,0.00,540.00,EA,,Replace,0.00,0.00,0.00,540.00,0.00,0.00,None,43.20,583.2,10.00,Percent,0.00,Yes,583.20,Yes,No,AMA,AAMR+,PAULGAGN,,11/2/2020
84,,,Appearance allowance - AMA - Enter price,0.00,Average,1.00,0.00,0.00,0.00,EA,,Replace,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,AMA,ALLOW,PAULGAGN,,11/2/2020
85,,,Auto & motorcycle accessories - Enter price,0.00,Average,1.00,0.00,0.00,0.00,EA,,Replace,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0,10.00,Percent,0.00,Yes,0.00,Yes,No,AMA,AMA,PAULGAGN,,11/2/2020
86,,,Automotive working parts - Enter price,0.00,Average,1.00,0.00,0.00,0.00,EA,,Replace,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0,5.00,Percent,0.00,Yes,0.00,Yes,No,AMA,AMAP,PAULGAGN,,11/2/2020
87,,,Trailers - Enter price,0.00,Average,1.00,0.00,0.00,0.00,EA,,Replace,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0,20.00,Percent,0.00,Yes,0.00,Yes,No,AMA,AMAT,PAULGAGN,,11/2/2020
88,,,Motorcycle / Scooter / ATV cover,0.00,Average,1.00,35.00,0.00,35.00,EA,,Replace,0.00,0.00,0.00,35.00,0.00,0.00,None,2.80,37.8,10.00,Percent,0.00,Yes,37.80,Yes,No,AMA,AMMC,PAULGAGN,,11/2/2020
89,,,Motorcycle / Scooter / ATV cover - Standard grade,0.00,Average,1.00,20.00,0.00,20.00,EA,,Replace,0.00,0.00,0.00,20.00,0.00,0.00,None,1.60,21.6,10.00,Percent,0.00,Yes,21.60,Yes,No,AMA,AMMC-,PAULGAGN,,11/2/2020
90,,,Motorcycle / Scooter / ATV cover - High grade,0.00,Average,1.00,115.00,0.00,115.00,EA,,Replace,0.00,0.00,0.00,115.00,0.00,0.00,None,9.20,124.2,10.00,Percent,0.00,Yes,124.20,Yes,No,AMA,AMMC+,PAULGAGN,,11/2/2020
91,,,Motorcycle / Scooter / ATV eyewear,0.00,Average,1.00,40.00,0.00,40.00,EA,,Replace,0.00,0.00,0.00,40.00,0.00,0.00,None,3.20,43.2,10.00,Percent,0.00,Yes,43.20,Yes,No,AMA,AMME,PAULGAGN,,11/2/2020
92,,,Motorcycle / Scooter / ATV eyewear - Standard grade,0.00,Average,1.00,15.00,0.00,15.00,EA,,Replace,0.00,0.00,0.00,15.00,0.00,0.00,None,1.20,16.2,10.00,Percent,0.00,Yes,16.20,Yes,No,AMA,AMME-,PAULGAGN,,11/2/2020
93,,,Motorcycle / Scooter / ATV eyewear - High grade,0.00,Average,1.00,117.00,0.00,117.00,EA,,Replace,0.00,0.00,0.00,117.00,0.00,0.00,None,9.36,126.36,10.00,Percent,0.00,Yes,126.36,Yes,No,AMA,AMME+,PAULGAGN,,11/2/2020
94,,,Motorcycle / Scooter / ATV gloves,0.00,Average,1.00,37.00,0.00,37.00,EA,,Replace,0.00,0.00,0.00,37.00,0.00,0.00,None,2.96,39.96,10.00,Percent,0.00,Yes,39.96,Yes,No,AMA,AMMG,PAULGAGN,,11/2/2020
95,,,Motorcycle / Scooter / ATV gloves - Standard grade,0.00,Average,1.00,18.00,0.00,18.00,EA,,Replace,0.00,0.00,0.00,18.00,0.00,0.00,None,1.44,19.44,10.00,Percent,0.00,Yes,19.44,Yes,No,AMA,AMMG-,PAULGAGN,,11/2/2020
96,,,Motorcycle / Scooter / ATV gloves - High grade,0.00,Average,1.00,120.00,0.00,120.00,EA,,Replace,0.00,0.00,0.00,120.00,0.00,0.00,None,9.60,129.6,10.00,Percent,0.00,Yes,129.60,Yes,No,AMA,AMMG+,PAULGAGN,,11/2/2020
97,,,Motorcycle / Scooter / ATV helmet,0.00,Average,1.00,166.00,0.00,166.00,EA,,Replace,0.00,0.00,0.00,166.00,0.00,0.00,None,13.28,179.28,10.00,Percent,0.00,Yes,179.28,Yes,No,AMA,AMMH,PAULGAGN,,11/2/2020
98,,,Motorcycle / Scooter / ATV helmet - Standard grade,0.00,Average,1.00,75.00,0.00,75.00,EA,,Replace,0.00,0.00,0.00,75.00,0.00,0.00,None,6.00,81,10.00,Percent,0.00,Yes,81.00,Yes,No,AMA,AMMH-,PAULGAGN,,11/2/2020
99,,,Motorcycle / Scooter / ATV helmet - High grade,0.00,Average,1.00,500.00,0.00,500.00,EA,,Replace,0.00,0.00,0.00,500.00,0.00,0.00,None,40.00,540,10.00,Percent,0.00,Yes,540.00,Yes,No,AMA,AMMH+,PAULGAGN,,11/2/2020
