Code,Description,Tax Status,Contractor Supplied,Quantity,Unit,Unit Price,Total,Request third-party pricing
CPSSTOPC>,Portable shipping/cargo storage container - 8'x8'x40' long,Taxable,Yes,2,MO,145,290,
CPSSTOPCD,Portable cargo container - pick up/del. charge - 16'-40',Taxable,Yes,2,EA,210,420,
CPSSTOPM,Portable moving/storage container - 8'x8'x20' long,Taxable,Yes,2,EA,325,650,
CPSSTOPM<,Portable moving/storage container - 8'x8'x16' long,Taxable,Yes,2,EA,305,610,
CPSSTOPM<<,Portable moving/storage container - up to 8'x8'x12' long,Taxable,Yes,2,EA,270,540,
CPSSTOPMD,Portable moving storage container- pick up/del. chg- 12'-20',Taxable,Yes,2,EA,97,194,
CPSSTOR,Storage & insurance - per month,Taxable,Yes,2,SF,2.1,4.2,
CPSSTORC,Storage & insurance - climate controlled - per month,Taxable,Yes,2.004140787,SF,2.415,4.84*,
CPSSTORV,Wooden storage vault - per month,Taxable,Yes,1,MO,160,160,
CPSTR,Moving van (16'-20') and hand truck,Taxable,Yes,0.99997242,DA,145.034,145.03,
CPSTR<,Moving van (14'-15') and hand truck,Taxable,Yes,0.999978443,DA,139.163,139.16,
CPSTR>,Moving van (21'-27') and hand truck,Taxable,Yes,1,DA,229.95,229.95,
CPSTRCV,"Cargo van, hand truck, 50 miles, w/tax & insurance",Taxable,Yes,1,DA,105,105,
CRANE115T,"Crane, 115 ton with operator",Taxable,Yes,95.23809804,HR,510,"48,571.43*",
CRANE14T,"Crane, 14 ton capacity - 65' extension boom with operator",Taxable,Yes,150.05625,HR,200,"30,011.25*",
CRANE50T,"Crane, 50 ton with operator",Taxable,Yes,371.4200983,HR,300,"111,426.03*",
DMOCHIPPER,"Chipper/shredder - 6"" to 8"" - trailer",Taxable,Yes,1.726401766,DA,249,429.87*,
DMOCHUTM,Debris chute mounting hardware,Taxable,Yes,1,EA,30,30,
DMODCHUT,"Debris chute section - 30"" x 4'",Taxable,Yes,1,EA,19,19,
DMODCHUTH,"Debris chute hopper - 30"" x 4'",Taxable,Yes,1,EA,35,35,
DMODTRLR,Tandem axle dump trailer,Taxable,Yes,0.039062249,WK,587.146,22.94*,
DMODUMP,"Dumpster - Approx. 20 yds, 4 ton of debris",Taxable,Yes,1,LO,904.52,904.52,
DMODUMP<,"Dumpster - Approx. 12 yds, 1-3 ton of debris",Taxable,Yes,1,LO,668.53,668.53,
DMODUMP>,"Dumpster - Approx. 30 yds, 5-7 ton of debris",Taxable,Yes,1,LO,1083.42,"1,083.42",
DMODUMP>>,"Dumpster - Approx. 40 yds, 7-8 ton of debris",Taxable,Yes,1,LO,1249.38,"1,249.38",
DMOFEE,Landfill charge - per ton,Taxable,Yes,63.43306237,TN,178,"11,291.09*",
DMOPU,1/2 or 3/4 ton pickup,Taxable,Yes,0.045248221,WK,549,24.84*,
DMOSGR,Stump grinder - walk behind,Taxable,Yes,0.5,DA,247,123.5,
DOZER,Dozer/crawler w/ operator,Taxable,Yes,7.999997983,HR,113.265,906.12,
DTRUCK<,Single axle dump truck,Taxable,Yes,0.450644121,WK,900,405.58*,
DTRUK,Dump truck - 10 ton capacity w/ operator,Taxable,Yes,25.39028442,HR,107.145,"2,720.44*",
ELEMEG,Megohmmeter to check electrical circuits,Taxable,Yes,1.124858116,DA,26.43,29.73*,
EQUBKTRUK,Bucket truck - 50'-60' reach,Taxable,Yes,1.550718286,DA,625.57,970.08*,
EQUBLIFT,Boom or spider lift - 30'-45' reach,Taxable,Yes,2,DA,394.29,788.58,
EQUBTRUK,Boom truck - 20 ton capacity w/ operator,Taxable,Yes,12.99997,HR,106,"1,378.00",
EQUDRV,Mileage charge - per mile,Taxable,Yes,1,EA,0.67,0.67,
EQUSLIFT,Scissor lift - 20' platform height - electric powered,Taxable,Yes,0.249976304,DA,158.255,39.56,
EQUSLIFT>,Scissor lift - 26' platform height - electric powered,Taxable,Yes,9.439872138,DA,205.221,"1,937.26*",
EQUWRIG,Well-drilling rig with cables for pump installation,Taxable,Yes,208.5317592,HR,95,"19,810.52*",
FCWSCREEN,Hardwood floor sander - screen,Taxable,Yes,0.500084966,DA,41.193,20.6,
FEEASBT,Asbestos test fee - full service survey - base fee,Taxable,Yes,2,EA,575,"1,150.00",
FEEASBTPA,Asbestos test fee - post abatement air clearance - base fee,Taxable,Yes,2,EA,375,750,
FEEASBTPAS,Asbestos test fee - post abatement (per sample),Taxable,Yes,2,EA,75,150,
FEEASBTPS,Asbestos test fee - full service survey (per sample),Taxable,Yes,2,EA,35,70,
FEEASBTS,Asbestos test fee (per sample),Taxable,Yes,1.999900527,EA,40.212,80.42,
FEECLPA,California Lumber Products Assessment,Taxable,Yes,1,EA,0,0,
FEEENGEV,Residential structural engineered assessment fee,Taxable,Yes,1,EA,500,500,
FEEFRY,Ferry charge for work truck - per mile / km,Taxable,Yes,1,EA,5.14,5.14,
FEEGAS1,Natural gas service line charge - new line,Taxable,Yes,1,LF,14.9,14.9,
FEELDCNCCR,LEED for new construction - construction review fee,Taxable,Yes,1,EA,775,775,
FEELDCNCDR,"LEED for new const, existing building - design review fee",Taxable,Yes,1,EA,2800,"2,800.00",
FEELDCS,LEED for core and shell - precertification fee,Taxable,Yes,1,EA,4000,"4,000.00",
FEELDEXRC,LEED for existing building - recertification review fee,Taxable,Yes,1,EA,1200,"1,200.00",
FEELDHFSC,LEED for homes - single family certification fee,Taxable,Yes,1,EA,225,225,
FEELDHMFC,LEED for homes - multi family certification fee,Taxable,Yes,1.142857143,SF,0.035,0.04,
FEELDHMFR,LEED for homes - multi family registration fee,Taxable,Yes,1,EA,900,900,
FEELDHSFR,LEED for homes - single family registration fee,Taxable,Yes,1,EA,150,150,
FEELEAD,Lead test fee - full service survey - base fee,Taxable,Yes,2,EA,490,980,
FEELEADS,Lead test fee (per sample),Taxable,Yes,2.000111842,EA,53.647,107.30*,
FEERADON,Radon - House call - take/analyze samples (trip charge),Taxable,Yes,1,EA,260,260,
FEERADONS,Radon test fee (per sample),Taxable,Yes,1,EA,60,60,
FEEWSFBDF,Washington Solid Fuel Burning Device Fee,Taxable,Yes,1,EA,30,30,
FRMSJACK,Shoring post - 8' - 10' adjustable screw jack (2 ton cap.),Taxable,Yes,2.100740741,DA,13.5,28.36*,
HVCACRFEE,Refrigerant recovery charge (disposal fee),Taxable,Yes,1,EA,42.5,42.5,
HYDSDR,Hydroseeding equipment - tank and pump,Taxable,Yes,3.74E-05,DA,267.5,0.01*,
LOADER,Rubber tire front end loader w/ operator,Taxable,Yes,2.199949423,HR,118.63,260.98*,
MASMIX,"Cement/mortar mixer, 6 cubic foot",Taxable,Yes,11.04041916,DA,60.12,663.75*,
MASMIX>,"Cement/mortar mixer, 10 cubic foot",Taxable,Yes,14.1998913,DA,92,"1,306.39*",
PLATE,Plate or tamping foot compactor,Taxable,Yes,0.99999958,DA,126.497,126.5,
PLMLEAK,Fee to locate an underslab leak,Taxable,Yes,1.000009355,EA,320.667,320.67,
PLMSLCAM,Sewer/drain line camera w/ operator,Taxable,Yes,0.999990175,EA,305.333,305.33,
SCFRNTLD,Scaffold - section per day (2 ends/2 x-braces/2 catwalks),Taxable,Yes,0.620682421,DA,24.101,14.96*,
SCFSWSCS,Swing scaffolding setup and dismantle fee,Taxable,Yes,1,EA,3000,"3,000.00",
SKIDSTEER,Skid steer loader,Taxable,Yes,0.133115232,DA,416.932,55.50*,
STLWELDER,Portable welder - 270 amp,Taxable,Yes,2.75,HR,15,41.25,
TILLER,Tiller - walk behind,Taxable,Yes,1,HR,14.53,14.53,
TILSAW,Ceramic tile saw,Taxable,Yes,12.01046154,DA,65,780.68*,
TMPFBMN,Barricade/warning sign - Minimum rental charge,Taxable,Yes,1,EA,52.5,52.5,
TMPHWSMN,Portable hand washing station - Minimum rental charge,Taxable,Yes,1,EA,160,160,
TMPPOWHU,Temporary power post - monthly rental,Taxable,Yes,3.003,MO,60,180.18*,
TMPPOWOHU,Temporary overhead power post - monthly rental,Taxable,Yes,3.003,EA,60,180.18*,
TMPTLTMN,Temporary toilet - Minimum rental charge,Taxable,Yes,1,EA,248,248,
TMPWTRHU,Temporary water - hook-up fee - Commercial,Taxable,Yes,1,EA,500,500,
TRENCH,Trencher - walk behind,Taxable,Yes,1,HR,31.23,31.23,
TRENCH>,Trencher - riding unit,Taxable,Yes,1.00003493,HR,57.258,57.26,
TRUCK12,"Truck, 1 ton - 12' stake side",Taxable,Yes,2,DA,189,378,
WTRDHM,Dehumidifier unit - standard or low capacity,Taxable,Yes,1.000031838,DA,62.818,62.82,
WTRDHM>,Dehumidifier unit - Large - average or mid-range capacity,Taxable,Yes,0.999952121,DA,83.544,83.54,
WTRDHM>>,Dehumidifier unit - XLarge - high capacity,Taxable,Yes,1.000043954,DA,113.755,113.76,
WTRDHM>>>,Dehumidifier unit - XXLarge - extra-high capacity,Taxable,Yes,1.000013795,DA,144.978,144.98,
WTRDHMAC,"Dehumidifier w/environmental control, incl. ducting - 24 hr.",Taxable,Yes,1,DA,124.74,124.74,
WTRDHMB,Dehumidifier performance booster,Taxable,Yes,1,EA,30.45,30.45,
WTRDHMD,Dehumidifier - desiccant - portable - 325 cfm,Taxable,Yes,1,DA,232.81,232.81,
WTRDHMD+,Dehumidifier - desiccant - portable - 900 cfm,Taxable,Yes,1,DA,507.02,507.02,
WTRDHMD-,Dehumidifier - desiccant - portable - 140 cfm,Taxable,Yes,1.000025291,DA,118.617,118.62,
WTRDHMD15K,Dehumidifier - desiccant - 8500-15000 cfm,Taxable,Yes,1,DA,2605.8,"2,605.80",
WTRDHMD2K,Trailer-mounted dehumidifier - 2000 cfm,Taxable,Yes,1,DA,976.67,976.67,
WTRDHMD3K,Dehumidifier - desiccant - 3000-4000 cfm,Taxable,Yes,1,DA,1267.55,"1,267.55",
WTRDHMD5K,Dehumidifier - desiccant - 4500-7500 cfm,Taxable,Yes,1,DA,1580.65,"1,580.65",
WTRDOPT,DOP test/inspection - per piece of equipment,Taxable,Yes,3,EA,65,195,
WTRDRY,Standard air mover - actual CFM > 850,Taxable,Yes,3,DA,38,114,
WTRDRY+,"Axial fan, 0.25 HP, air mover",Taxable,Yes,1,DA,41,41,
WTRDRY++,"Vane axial fan, 1 HP, 12"" air mover",Taxable,Yes,1,DA,45.51,45.51,
WTRDRY-,Mini air mover - actual CFM < 850,Taxable,Yes,1.000084253,DA,11.869,11.87,
WTRDRYMA,Air mover adapter - up to 17 ducts,Taxable,Yes,1,DA,32.15,32.15,
WTRDRYSA,"Air mover snout adapter - 48"" wide",Taxable,Yes,1,DA,10.1,10.1,
WTRHEPAVAC,"Vacuum w/HEPA filter (back pack, cannister, or upright)",Taxable,Yes,0.39254902,DA,25.5,10.01*,
WTRHTBL,Drying blanket/mat - 10' x 7',Taxable,Yes,1,DA,40,40,
WTRHTIP,"Infrared heating panel - 16"" x 48""",Taxable,Yes,1,DA,35,35,
WTRHTSC,Sensored control system - electric heat drying,Taxable,Yes,1,DA,26.15,26.15,
WTRMA5,Multi-port adapter for ducted drying - 5 ports (per day),Taxable,Yes,1,DA,42.15,42.15,
WTRMA9,Multi-port adapter for ducted drying - 9 ports (per day),Taxable,Yes,1,DA,71.2,71.2,
WTRNAFAN,Negative air fan/Air scrubber  - up to 699 cfm (per day),Taxable,Yes,1.999975177,DA,80.571,161.14,
WTRNAFAN>,Negative air fan/Air scrubber - 700-1399 cfm (per day),Taxable,Yes,2.000079621,DA,125.595,251.20*,
WTRNAFAN>>,Neg. air fan/Air scrubber - 1400 cfm and larger (per day),Taxable,Yes,1.999986761,DA,151.071,302.14,
WTRPPERF,Full-face respirator - multi-purpose respirator,Taxable,Yes,2,DA,7.61,15.22,
WTRPPERH,Half-face respirator - multi-purpose respirator,Taxable,Yes,2,DA,1.67,3.34,
WTRPPPAPR,Power Air-Purifying Respirator system w/hood,Taxable,Yes,2,DA,73.25,146.5,
WTRPPSAR,Supply Air Respirator system - 1-man syst. w/hood,Taxable,Yes,2,DA,61.25,122.5,
WTRSSWR,Temporary safety shower,Taxable,Yes,3,EA,90.61,271.83,
WTRTESTATPL,ATP Luminometer for bio-contaminant testing,Taxable,Yes,0.071290323,DA,62,4.42*,
WTRTESTL,Laboratory fees - analysis & report (coliform tests),Taxable,Yes,1,EA,36,36,
WTRZIPP,Tension post for temporary barrier wall,Taxable,Yes,3,DA,3.35,10.05,
ACCANCR,Mobile home anchor - twist in ground type,Taxable,Yes,1,EA,16.1,16.1,
ACCANCR+,Mobile home anchor - crossed bars driven in ground,Taxable,Yes,1,EA,21.55,21.55,
ACCANCRB,Mobile home anchor bolts,Taxable,Yes,2,EA,0.8,1.6,
ACCANCRS,Mobile home anchor strap and clamps,Taxable,Yes,2,EA,4.5,9,
ACCBAXL,Electric brake system,Taxable,Yes,1,EA,198.36,198.36,
ACCDAXL,Drag axle and springs for mobile home,Taxable,Yes,1,EA,165.3,165.3,
ACCDAXL-,Drag axle and springs for mobile home without brakes,Taxable,Yes,1,EA,145,145,
ACCEQL,Equalizers for mobile home suspension systems,Taxable,Yes,1,EA,99,99,
ACCHTCH,"Hitch - ""A"" frame style with coupler",Taxable,Yes,0.999933998,EA,60.604,60.6,
ACCHUBS,Hubs for mobile home axles,Taxable,Yes,0.999981061,EA,52.801,52.8,
ACCJTNG,Tongue jack,Taxable,Yes,1.000016129,EA,61.999,62,
ACCOTRG,"Outriggers - up to 30"" long for mobile home",Taxable,Yes,1,EA,65,65,
ACCRIM,Rim or wheel - doughnut type with no center,Taxable,Yes,1,EA,50,50,
ACCSPNG,Spring - mono or single leaf only,Taxable,Yes,1,EA,62.86,62.86,
ACCTIRE,"Tire for mobile home, 7 x 14.5 or 8 x 14.5 - mounted",Taxable,Yes,1,EA,84.5,84.5,
ACCTIRE+,"Tire and wheel for mobile home, 7x14.5 or 8x14.5 - mounted",Taxable,Yes,1,EA,140,140,
AMAAAGC,Gas can,Taxable,Yes,1,EA,29,29,
AMAAAGC+,Gas can - High grade,Taxable,Yes,1,EA,55,55,
AMAAAGC-,Gas can - Standard grade,Taxable,Yes,1,EA,16,16,
AMAAAMR,Automobile Rim,Taxable,Yes,1,EA,160,160,
AMAAAMR+,Automobile Rim - High grade,Taxable,Yes,1,EA,540,540,
AMAAAMR-,Automobile Rim - Standard grade,Taxable,Yes,1,EA,80,80,
AMAALLOW,Appearance allowance - AMA - Enter price,Taxable,Yes,1,EA,0,0,
AMAAMA,Auto & motorcycle accessories - Enter price,Taxable,Yes,1,EA,0,0,
AMAAMAP,Automotive working parts - Enter price,Taxable,Yes,1,EA,0,0,
AMAAMAT,Trailers - Enter price,Taxable,Yes,1,EA,0,0,
AMAAMMC,Motorcycle / Scooter / ATV cover,Taxable,Yes,1,EA,35,35,
AMAAMMC+,Motorcycle / Scooter / ATV cover - High grade,Taxable,Yes,1,EA,115,115,
AMAAMMC-,Motorcycle / Scooter / ATV cover - Standard grade,Taxable,Yes,1,EA,20,20,
AMAAMME,Motorcycle / Scooter / ATV eyewear,Taxable,Yes,1,EA,40,40,
AMAAMME+,Motorcycle / Scooter / ATV eyewear - High grade,Taxable,Yes,1,EA,117,117,
AMAAMME-,Motorcycle / Scooter / ATV eyewear - Standard grade,Taxable,Yes,1,EA,15,15,
AMAAMMG,Motorcycle / Scooter / ATV gloves,Taxable,Yes,1,EA,37,37,
AMAAMMG+,Motorcycle / Scooter / ATV gloves - High grade,Taxable,Yes,1,EA,120,120,
AMAAMMG-,Motorcycle / Scooter / ATV gloves - Standard grade,Taxable,Yes,1,EA,18,18,
AMAAMMH,Motorcycle / Scooter / ATV helmet,Taxable,Yes,1,EA,166,166,
AMAAMMH+,Motorcycle / Scooter / ATV helmet - High grade,Taxable,Yes,1,EA,500,500,
AMAAMMH-,Motorcycle / Scooter / ATV helmet - Standard grade,Taxable,Yes,1,EA,75,75,
AMAAMVT,Vehicle tire - Enter price,Taxable,Yes,1,EA,0,0,
AMABKC,Car bike carrier / rack,Taxable,Yes,1,EA,200,200,
AMABKC+,Car bike carrier / rack - High grade,Taxable,Yes,1,EA,450,450,
AMABKC-,Car bike carrier / rack - Standard grade,Taxable,Yes,1,EA,70,70,
AMAKCH,Keychain,Taxable,Yes,1,EA,9,9,
AMAKCH+,Keychain - High grade,Taxable,Yes,1,EA,22,22,
AMAKCH-,Keychain - Standard grade,Taxable,Yes,1,EA,4,4,
AMARSTR,Restore and repair - AMA - Enter price,Taxable,Yes,1,EA,0,0,
AMATBTB,Truck tool box,Taxable,Yes,1,EA,350,350,
AMATBTB+,Truck tool box - High grade,Taxable,Yes,1,EA,600,600,
AMATBTB-,Truck tool box - Standard grade,Taxable,Yes,1,EA,195,195,
AMATDRS,Tie-down,Taxable,Yes,1,EA,18,18,
AMATDRS+,Tie-down - High grade,Taxable,Yes,1,EA,45,45,
AMATDRS-,Tie-down / Bungee - Standard grade,Taxable,Yes,1,EA,9,9,
AMATRLO,Open utility trailer <16',Taxable,Yes,1,EA,1300,"1,300.00",
AMATRLO+,Open utility trailer <16' - High grade,Taxable,Yes,1,EA,2650,"2,650.00",
AMATRLO-,Open utility trailer <16' - Standard grade,Taxable,Yes,1,EA,580,580,
ANTAGUN,Antique firearm - Enter price,Taxable,Yes,1,EA,0,0,
ANTBOOK,Antique book - Enter price,Taxable,Yes,1,EA,0,0,
ANTFURN,Antique furniture - Enter price,Taxable,Yes,1,EA,0,0,
APMACPT,Portable air conditioner,Taxable,Yes,1,EA,399.99,399.99,
APMACPT+,Portable air conditioner - High grade,Taxable,Yes,1,EA,600,600,
APMACPT-,Portable air conditioner - Standard grade,Taxable,Yes,1,EA,265,265,
APMACWA,Window air conditioner/heater,Taxable,Yes,1,EA,275,275,
APMACWA+,Window air conditioner/heater - High grade,Taxable,Yes,1,EA,468,468,
APMACWA++,Window air conditioner/heater - Premium grade,Taxable,Yes,1,EA,650,650,
APMACWA-,Window air conditioner/heater - Standard grade,Taxable,Yes,1,EA,175,175,
APMALLOW,Appearance allowance - APM - Enter price,Taxable,Yes,1,EA,0,0,
APMAPM,Major appliances - Enter price,Taxable,Yes,1,EA,0,0,
APMAPMER,Electric ranges / Ovens - Enter price,Taxable,Yes,1,EA,0,0,
APMAPMGR,Gas ranges / Ovens - Enter price,Taxable,Yes,1,EA,0,0,
APMAPMI,Icemakers - Enter price,Taxable,Yes,1,EA,0,0,
APMAPMR,Refrigerators - Enter price,Taxable,Yes,1,EA,0,0,
APMDWPORT,Dishwasher - Portable,Taxable,Yes,1,EA,350,350,
APMDWPORT+,Dishwasher - Portable - High grade,Taxable,Yes,1,EA,599,599,
APMDWPORT-,Dishwasher - Portable - Standard grade,Taxable,Yes,1,EA,250,250,
APMFREC,Freezer - Chest,Taxable,Yes,1,EA,275,275,
APMFREC+,Freezer - Chest - High grade,Taxable,Yes,1,EA,425,425,
APMFREC++,Freezer - Chest - Premium grade,Taxable,Yes,1,EA,625,625,
APMFREC+++,Freezer - Chest - Deluxe grade,Taxable,Yes,1,EA,900,900,
APMFREC-,Freezer - Chest - Standard grade,Taxable,Yes,1,EA,170,170,
APMFREU,Freezer - Upright,Taxable,Yes,1,EA,625,625,
APMFREU+,Freezer - Upright - High grade,Taxable,Yes,1,EA,785,785,
APMFREU++,Freezer - Upright - Premium grade,Taxable,Yes,1,EA,900,900,
APMFREU+++,Freezer - Upright - Deluxe grade,Taxable,Yes,1,EA,1250,"1,250.00",
APMFREU-,Freezer - Upright - Standard grade,Taxable,Yes,1,EA,310,310,
APMRGBI,Range - Built-in/Commercial,Taxable,Yes,1,EA,8000,"8,000.00",
APMRSTR,Restore and repair - APM - Enter price,Taxable,Yes,1,EA,0,0,
APMWSDP,Washer & dryer pedestal,Taxable,Yes,1,EA,230,230,
APMWSDP+,Washer & dryer pedestal - High grade,Taxable,Yes,1,EA,325,325,
APMWSDP-,Washer & dryer pedestal - Standard grade,Taxable,Yes,1,EA,175,175,
APPBBC,Bottle/can box cooler,Taxable,Yes,1,EA,1474.22,"1,474.22",
APPCKFRY,"Deep fat fryer - Commercial - 14"" gas",Taxable,Yes,0.002840985,EA,1721.34,4.89*,
APPCKIT,"Compact Kitchenette - 48"" - Range-Refrigerator-Sink",Taxable,Yes,1,EA,1562.88,"1,562.88",
APPCKIT+,"Compact Kitchenette - 48"" - Range-Frig.-Sink-Wall Cabinets",Taxable,Yes,1,EA,2414.88,"2,414.88",
APPCKIT<,"Compact Kitchenette - 30"" - Range-Refrigerator-Sink",Taxable,Yes,1,EA,923.03,923.03,
APPCKIT<+,"Compact Kitchenette - 30"" - Range-Frig.-Sink-Wall Cabinets",Taxable,Yes,1,EA,1434.1,"1,434.10",
APPCKIT>,"Compact Kitchenette - 60"" - Range-Refrigerator-Sink",Taxable,Yes,1,EA,2107.09,"2,107.09",
APPCKIT>+,"Compact Kitchenette - 60"" - Range-Frig.-Sink-Wall Cabinets",Taxable,Yes,1,EA,3229.03,"3,229.03",
APPCKMIX,"Mixer/blender - Commercial - 30 qt., 1HP",Taxable,Yes,0.002840985,EA,4002.32,11.37*,
APPCKTABS,Steam table - Commercial Kitchen - 6' - electric,Taxable,Yes,0.002840985,EA,1673.2,4.75*,
APPCT,Cooktop - electric,Taxable,Yes,1,EA,449,449,
APPCT+,Cooktop - electric - High grade,Taxable,Yes,1,EA,720.18,720.18,
APPCT++,Cooktop - electric - Premium grade,Taxable,Yes,1,EA,949.99,949.99,
APPCT+++,Cooktop - electric - Deluxe grade,Taxable,Yes,1,EA,1664.1,"1,664.10",
APPCT-,Cooktop - electric - Standard grade,Taxable,Yes,1,EA,359.99,359.99,
APPCTG,Cooktop - gas,Taxable,Yes,1,EA,629.99,629.99,
APPCTG+,Cooktop - gas - High grade,Taxable,Yes,1,EA,799,799,
APPCTG++,Cooktop - gas - Premium grade,Taxable,Yes,1,EA,1049,"1,049.00",
APPCTG+++,Cooktop - gas - Deluxe grade,Taxable,Yes,1,EA,1599,"1,599.00",
APPCTG-,Cooktop - gas - Standard grade,Taxable,Yes,1,EA,419.43,419.43,
APPCTM,Cooktop - mobile home,Taxable,Yes,1,EA,204.49,204.49,
APPDHC,Tumbler dryer - Heavy commercial - 25-35 lb capacity,Taxable,Yes,1,EA,3290.29,"3,290.29",
APPDHC>,Tumbler dryer - Heavy commercial - 40-50 lb capacity,Taxable,Yes,1,EA,3705.94,"3,705.94",
APPDHC>>,Tumbler dryer - Heavy commercial - 60-75 lb capacity,Taxable,Yes,1.000001238,EA,4039.475,"4,039.48",
APPDHC>>>,Tumbler dryer - Heavy commercial - 120 lb capacity,Taxable,Yes,1,EA,8019.6,"8,019.60",
APPDHCS,Tumbler dryer - Heavy commercial - stackable - 30-45 lb,Taxable,Yes,1,EA,6055.25,"6,055.25",
APPDRYC,"Clothes dryer - front load, gas, 5.7cf - Commercial grade",Taxable,Yes,1,EA,607.48,607.48,
APPDRYC>,"Clothes dryer - front load, gas, 7 cf - Commercial grade",Taxable,Yes,1,EA,834.65,834.65,
APPDRYE,Dryer - Electric,Taxable,Yes,1,EA,780,780,
APPDRYE,Dryer - Electric,Taxable,Yes,1,EA,800,800,
APPDRYE+,Dryer - Electric - High grade,Taxable,Yes,1,EA,980,980,
APPDRYE+,Dryer - Electric - High grade,Taxable,Yes,1,EA,1000,"1,000.00",
APPDRYE++,Dryer - Electric - Premium grade,Taxable,Yes,1,EA,1152,"1,152.00",
APPDRYE++,Dryer - Electric - Premium grade,Taxable,Yes,1,EA,1400,"1,400.00",
APPDRYE+++,Dryer - Electric - Deluxe grade,Taxable,Yes,1,EA,1500,"1,500.00",
APPDRYE+++,Dryer - Electric - Deluxe grade,Taxable,Yes,1,EA,2000,"2,000.00",
APPDRYE-,Dryer - Electric - Standard grade,Taxable,Yes,1,EA,500,500,
APPDRYE-,Dryer - Electric - Standard grade,Taxable,Yes,1,EA,515,515,
APPDRYG,Dryer - Gas,Taxable,Yes,1,EA,810,810,
APPDRYG,Dryer - Gas,Taxable,Yes,1,EA,900,900,
APPDRYG+,Dryer - Gas - High grade,Taxable,Yes,1,EA,1050,"1,050.00",
APPDRYG+,Dryer - Gas - High grade,Taxable,Yes,1,EA,1100,"1,100.00",
APPDRYG++,Dryer - Gas - Premium grade,Taxable,Yes,1,EA,1250,"1,250.00",
APPDRYG++,Dryer - Gas - Premium grade,Taxable,Yes,1,EA,1500,"1,500.00",
APPDRYG+++,Dryer - Gas - Deluxe grade,Taxable,Yes,1,EA,1499,"1,499.00",
APPDRYG+++,Dryer - Gas - Deluxe grade,Taxable,Yes,1,EA,1700,"1,700.00",
APPDRYG-,Dryer - Gas - Standard grade,Taxable,Yes,2,EA,600,"1,200.00",
APPDRYS,"Clothes dryer - front load, gas, 3.3 cf - Stack Commercial",Taxable,Yes,1,EA,1518.5,"1,518.50",
APPDW,Dishwasher,Taxable,Yes,1,EA,534,534,
APPDW+,Dishwasher - High grade,Taxable,Yes,1,EA,848.54,848.54,
APPDW++,Dishwasher - Premium grade,Taxable,Yes,1,EA,1108,"1,108.00",
APPDW+++,Dishwasher - Deluxe grade,Taxable,Yes,1,EA,1794,"1,794.00",
